DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ ATL,L 8-5,3,1,0,0,0,0,0,1,1,0,0,.250,.000,.250,.000
Mar 30,@ ATL,W 5-4,4,2,1,0,0,0,0,0,0,0,0,.250,.143,.393,.143
Mar 31,@ ATL,L 15-2,2,0,0,0,0,0,0,0,1,0,0,.200,.111,.311,.111
Apr 3,@ NYM,L 2-0,3,0,0,0,0,0,0,0,1,0,0,.154,.083,.237,.083
Apr 4,@ NYM,L 4-2,3,0,0,0,0,0,0,0,2,0,0,.125,.067,.192,.067
Apr 5,vs MIA,W 5-0,4,0,0,0,0,0,0,0,1,0,0,.100,.053,.153,.053
Apr 7,vs MIA,W 20-1,Did not play
Apr 8,vs MIA,L 6-3,4,0,0,0,0,0,0,0,2,0,0,.083,.043,.126,.043
Apr 9,vs CIN,W 6-5,Did not play
Apr 10,vs CIN,W 6-1,3,0,1,0,0,0,1,0,0,0,0,.111,.077,.188,.077
Apr 11,vs CIN,W 4-3,3,1,1,0,0,1,2,1,0,0,0,.161,.207,.368,.103
Apr 13,@ TB,W 2-1,4,1,1,1,0,0,0,0,1,0,0,.171,.242,.413,.121
Apr 14,@ TB,W 9-4,3,2,2,1,0,1,2,1,0,0,0,.231,.389,.620,.167
Apr 15,@ TB,W 10-4,Did not play
Apr 16,@ ATL,L 2-1,3,0,2,0,0,0,0,0,0,0,0,.262,.410,.672,.205
Apr 17,@ ATL,W 5-1,2,0,0,0,0,0,0,0,1,0,0,.250,.390,.640,.195
Apr 18,@ ATL,L 7-3,3,0,0,0,0,0,0,0,3,0,0,.234,.364,.598,.182
Apr 19,vs PIT,W 7-0,4,1,2,0,0,0,1,0,1,0,0,.255,.375,.630,.208
Apr 20,vs PIT,W 2-1,3,0,0,0,0,0,0,0,1,0,0,.241,.353,.594,.196
Apr 21,vs PIT,W 6-2,Did not play
Apr 22,vs PIT,W 3-2,3,0,0,0,0,0,0,1,1,0,0,.241,.333,.574,.185
Apr 24,vs ARI,L 8-4,Did not play
Apr 25,vs ARI,W 5-3,3,0,1,0,0,0,0,0,1,0,0,.246,.333,.579,.193
Apr 26,vs ARI,L 8-2,3,0,0,0,0,0,0,0,1,0,0,.234,.317,.551,.183
Apr 27,vs ATL,W 7-3,3,1,1,1,0,0,0,0,1,0,0,.250,.333,.583,.190
Apr 28,vs ATL,L 4-1,1,0,0,0,0,0,0,0,0,0,0,.246,.328,.574,.188
Apr 29,vs ATL,L 10-1,Did not play
Apr 30,@ MIA,L 8-4,Did not play
May 1,@ MIA,L 2-1,Did not play
May 2,@ MIA,W 6-0,Did not play
May 4,@ WSH,L 7-3,Did not play
May 5,@ WSH,W 3-1,Did not play
May 6,@ WSH,L 5-4,Did not play
May 7,vs SF,W 11-0,Did not play
May 8,vs SF,W 4-2,Did not play
May 9,vs SF,W 11-3,Did not play
May 10,vs SF,W 6-3,Did not play
May 11,vs NYM,L 3-1,Did not play
May 13,vs NYM,W 4-2,Did not play
May 16,@ BAL,W 4-1,Did not play
May 17,@ STL,W 6-2,Did not play
May 18,@ STL,L 12-4,Did not play
May 19,@ STL,W 7-6,Did not play
May 20,@ STL,L 5-1,Did not play
May 21,vs ATL,W 3-0,Did not play
May 22,vs ATL,L 3-1,Did not play
May 23,vs ATL,W 4-0,Did not play
May 25,vs TOR,L 6-5,Did not play
May 26,vs TOR,W 2-1,Did not play
May 27,vs TOR,L 5-3,Did not play
May 28,@ LAD,L 5-4,Did not play
May 29,@ LAD,W 6-1,Did not play
May 30,@ LAD,L 8-2,Did not play
May 31,@ LAD,W 2-1,Did not play
Jun 1,@ SF,L 4-0,Did not play
Jun 2,@ SF,L 2-0,Did not play
Jun 3,@ SF,L 6-1,Did not play
Jun 5,@ CHC,W 6-1,Did not play
Jun 6,@ CHC,L 7-5,2,0,0,0,0,0,0,0,2,0,0,.239,.318,.557,.182
Jun 7,@ CHC,L 4-3,2,0,1,0,0,0,0,0,0,0,0,.247,.324,.571,.191
Jun 8,vs MIL,L 12-4,2,1,0,0,0,0,0,1,1,0,0,.260,.314,.574,.186
Jun 9,vs MIL,L 12-3,2,0,0,0,0,0,0,0,1,0,0,.263,.306,.569,.181
Jun 10,vs MIL,W 4-3,4,1,2,1,0,0,0,0,1,0,0,.274,.329,.603,.197
Jun 12,vs COL,W 5-4,3,0,1,0,0,0,0,0,2,1,0,.276,.329,.605,.203
Jun 13,vs COL,L 7-2,1,0,0,0,0,0,0,0,1,0,0,.273,.325,.598,.200
Jun 14,vs COL,W 9-3,3,2,1,0,1,0,1,1,0,0,0,.283,.349,.632,.205
Jun 15,@ MIL,L 13-2,2,1,0,0,0,0,0,1,1,0,0,.284,.341,.625,.200
Jun 16,@ MIL,W 4-1,2,0,0,0,0,0,1,3,2,1,0,.300,.333,.633,.195
Jun 17,@ MIL,W 10-9,3,0,0,0,0,0,0,0,1,0,0,.291,.322,.613,.189
Jun 18,vs STL,W 6-5,3,0,1,1,0,0,0,1,2,0,0,.299,.333,.632,.194
Jun 19,vs STL,L 7-6,0,0,0,0,0,0,0,1,0,0,0,.312,.333,.645,.194
Jun 20,vs STL,W 4-3,Did not play
Jun 22,@ WSH,W 12-2,Did not play
Jun 23,@ WSH,W 5-3,Did not play
Jun 24,@ WSH,L 8-6,Did not play
Jun 25,vs NYY,L 4-2,Did not play
Jun 26,vs NYY,L 6-0,Did not play
Jun 27,vs NYY,W 3-0,Did not play
Jun 28,vs WSH,W 4-3,Did not play
Jun 29,vs WSH,L 17-7,Did not play
Jun 30,vs WSH,W 3-2,Did not play
Jul 1,vs WSH,W 4-3,Did not play
Jul 3,vs BAL,W 3-2,Did not play
Jul 4,vs BAL,W 4-1,Did not play
Jul 6,@ PIT,W 17-5,Did not play
Jul 7,@ PIT,W 3-2,Did not play
Jul 8,@ PIT,L 4-1,Did not play
Jul 9,@ NYM,L 4-3,Did not play
Jul 9,@ NYM,W 3-1,Did not play
Jul 10,@ NYM,W 7-3,Did not play
Jul 11,@ NYM,L 3-0,Did not play
Jul 12,@ BAL,W 5-4,Did not play
Jul 13,@ MIA,W 2-0,Did not play
Jul 14,@ MIA,L 2-0,Did not play
Jul 15,@ MIA,L 10-5,Did not play
Jul 20,vs SD,W 11-5,Did not play
Jul 22,vs SD,L 10-2,Did not play
Jul 22,vs SD,W 5-0,Did not play
Jul 23,vs LAD,L 7-6,Did not play
Jul 24,vs LAD,W 7-4,Did not play
