DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ PHI,L 7-4,0.1,1,0,0,0,0,0,1,1,7,2,-,-,-,3.86
Jul 23,@ PHI,W 7-6,1.0,0,0,0,0,0,1,2,0,10,3,-,-,-,3.91
Jul 21,@ MIL,L 4-2,1.2,0,0,0,0,0,1,5,0,18,6,-,-,-,4.09
Jul 14,vs LAA,L 5-4,1.0,0,0,0,0,0,2,1,0,9,3,-,-,-,4.43
Jul 10,@ SD,L 4-1,1.0,0,0,0,0,0,1,1,1,15,3,-,-,-,4.66
Jul 8,@ LAA,L 4-3,0.1,1,1,1,1,0,1,0,1,12,2,-,L(2-2),-,4.91
Jul 3,vs PIT,W 8-3,1.0,0,0,0,0,0,2,0,1,14,3,-,-,-,4.50
May 22,vs COL,W 5-3,1.0,1,1,1,0,1,3,1,0,21,5,-,W(2-1),-,4.76
May 19,@ WSH,W 4-1,1.0,2,0,0,0,0,0,2,2,15,4,-,-,H(4),4.50
May 15,@ MIA,L 4-2,0.2,2,1,1,0,1,1,1,1,22,4,-,-,-,4.80
May 12,vs CIN,L 5-3,0.1,4,3,3,1,0,1,1,3,17,5,-,L(1-1),BlSv(3),4.40
May 9,vs ARI,W 6-3,0.2,2,2,2,0,2,1,1,2,21,6,-,-,H(3),2.57
May 8,vs ARI,L 8-5,1.0,0,0,0,0,2,1,1,0,15,4,-,-,-,1.35
May 3,@ ARI,W 5-2,1.0,0,0,0,0,0,0,3,0,14,3,-,W(1-0),-,1.46
May 1,@ ARI,L 4-3,1.0,0,0,0,0,1,2,0,1,13,4,-,-,-,1.59
Apr 29,@ SF,L 4-2,1.0,0,0,0,0,1,1,2,0,13,4,-,-,-,1.74
Apr 28,@ SF,L 8-3,1.1,1,0,0,0,1,3,0,2,14,6,-,-,-,1.93
Apr 25,vs MIA,L 8-6,1.0,0,0,0,0,0,2,1,0,14,3,-,-,-,2.25
Apr 23,vs MIA,W 2-1,0.1,1,1,1,0,1,0,2,0,12,4,-,-,BlSv(2),2.57
Apr 18,@ SD,W 13-4,1.0,0,0,0,0,0,1,2,0,12,3,-,-,-,1.35
Apr 17,@ SD,W 7-3,1.0,0,0,0,0,1,2,1,0,16,4,-,-,H(2),1.59
Apr 13,vs ARI,L 8-7,1.0,1,1,1,1,0,2,0,2,13,4,-,-,-,1.93
Apr 11,vs OAK,L 16-6,0.1,1,0,0,0,0,0,0,2,5,2,-,-,-,0.00
Apr 8,@ SF,W 2-1,0.2,1,0,0,0,0,0,1,1,7,2,-,-,BlSv(1),0.00
Apr 7,@ SF,L 7-5,1.1,0,0,0,0,0,0,3,1,16,4,-,-,-,0.00
Apr 2,@ ARI,L 8-7,0.1,1,0,0,0,1,1,0,1,13,3,-,-,H(1),0.00
Mar 29,vs SF,L 1-0,1.0,0,0,0,0,0,2,1,0,12,3,-,-,-,0.00
