DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs PIT,L 9-2,3.1,7,1,1,0,0,3,4,10,65,17,-,-,-,4.82
Jul 20,vs PIT,L 12-1,1.0,6,4,4,1,0,1,2,6,28,9,-,-,-,5.11
Jul 11,@ CLE,L 19-4,3.0,3,2,2,1,1,2,5,4,57,12,-,-,-,3.80
Jul 8,@ CHC,L 6-5,0.1,0,1,0,0,3,1,1,0,20,5,-,L(2-2),-,3.48
Jul 3,vs CHW,L 12-8,1.1,2,4,0,0,3,0,4,3,39,10,-,L(2-1),-,3.54
Jul 1,vs MIL,W 8-2,1.0,0,0,0,0,0,0,2,1,13,3,-,-,-,3.79
Jun 29,vs MIL,L 8-2,0.1,3,3,0,1,0,1,0,3,14,4,-,-,-,4.00
Jun 27,@ ATL,W 6-5,1.2,0,0,0,0,0,2,2,2,18,6,-,W(2-0),-,4.08
Jun 24,vs CHC,W 8-6,1.0,1,1,1,1,0,1,2,1,10,4,-,W(1-0),-,4.50
Jun 2,@ SD,L 8-2,2.0,1,0,0,0,0,0,2,4,23,6,-,-,-,4.20
May 28,@ ARI,L 12-5,1.0,2,2,2,1,0,1,0,4,15,5,-,-,-,4.85
May 27,@ COL,L 8-2,1.0,0,0,0,0,0,2,0,1,19,3,-,-,-,3.75
May 23,vs PIT,L 5-4,1.0,0,0,0,0,0,1,2,0,10,3,-,-,-,4.09
May 18,vs CHC,L 8-1,3.1,5,1,1,0,1,2,8,5,56,16,-,-,-,4.50
May 14,@ SF,L 10-7,2.2,1,0,0,0,0,2,4,3,30,9,-,-,-,5.40
May 11,@ LAD,W 6-2,1.0,3,1,1,0,0,2,1,3,28,6,-,-,-,9.00
May 7,vs NYM,L 7-6,2.0,3,1,1,1,1,1,5,3,43,10,-,-,-,9.00
Mar 31,vs WSH,L 13-7,1.0,3,2,2,0,0,1,0,5,26,7,-,-,-,18.00
