DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs SD,L 3-2,8.0,5,3,2,0,2,10,6,13,113,31,70,L(5-5),-,1.71
Jul 11,vs PHI,W 3-0,8.0,5,0,0,0,1,7,11,11,113,30,78,-,-,1.68
Jul 6,vs TB,W 5-1,8.0,4,1,1,1,1,8,8,11,105,29,77,-,-,1.79
Jun 30,@ MIA,L 5-2,6.0,6,3,3,1,1,8,10,5,84,25,55,L(5-4),-,1.84
Jun 23,vs LAD,L 8-3,6.0,5,3,3,1,3,6,7,11,112,27,53,L(5-3),-,1.69
Jun 18,@ COL,W 12-2,8.0,5,2,1,0,1,7,15,6,106,29,72,W(5-2),-,1.51
Jun 13,@ ATL,L 2-0,7.0,7,1,1,0,0,7,9,11,86,27,66,L(4-2),-,1.55
Jun 8,vs NYY,L 4-1,8.0,4,3,2,1,2,8,11,8,101,29,70,L(4-1),-,1.57
Jun 2,vs CHC,L 7-1,7.0,7,1,1,0,2,13,4,11,116,30,70,-,-,1.49
May 28,@ ATL,L 4-3,7.0,5,1,1,1,3,8,8,9,115,28,68,-,-,1.52
May 23,vs MIA,L 2-1,7.0,4,0,0,0,2,8,7,11,109,30,75,-,-,1.54
May 18,vs ARI,W 3-1,7.0,6,1,1,0,0,13,5,8,100,26,74,W(4-0),-,1.75
May 13,@ PHI,L 4-2,1.0,0,0,0,0,3,2,1,0,45,6,-,-,-,1.83
May 2,vs ATL,L 7-0,4.0,2,0,0,0,0,6,2,6,46,14,64,-,-,1.87
Apr 27,@ SD,W 5-1,7.1,5,0,0,0,3,8,8,9,110,28,73,W(3-0),-,2.06
Apr 21,@ ATL,L 4-3,7.0,4,0,0,0,2,10,5,9,97,26,77,-,-,2.53
Apr 16,vs WSH,L 8-6,7.1,6,3,3,1,1,12,9,6,103,28,65,-,-,3.24
Apr 10,@ MIA,W 8-6,6.0,7,4,4,1,1,6,11,8,101,27,47,-,-,3.06
Apr 5,@ WSH,W 8-2,6.0,4,2,1,0,3,5,8,8,86,24,60,W(2-0),-,1.54
Mar 31,vs STL,W 6-2,5.2,4,1,1,0,1,7,7,7,101,22,63,W(1-0),-,1.59
