DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 15,vs WSH,L 6-1,1.0,0,0,0,0,0,2,1,0,17,3,-,-,-,5.74
Jul 12,vs WSH,L 5-4,1.0,1,0,0,0,0,1,0,3,10,4,-,-,-,6.14
Jul 9,vs PHI,L 3-1,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,6.59
Jun 14,@ ARI,L 6-3,1.0,2,2,2,2,0,0,2,3,19,5,-,-,-,6.75
Jun 12,@ ATL,L 8-2,1.0,0,0,0,0,0,1,0,2,8,3,-,-,-,5.84
May 29,@ ATL,L 7-6,1.1,4,3,3,0,1,1,1,6,23,9,-,-,BlSv(1),6.35
May 28,@ ATL,W 8-5,1.0,0,0,0,0,0,2,0,1,15,3,-,-,H(2),4.50
May 26,@ MIL,L 17-6,1.0,2,2,2,0,1,2,1,2,22,6,-,L(0-1),-,5.00
May 24,@ MIL,W 5-0,1.0,1,0,0,0,0,0,2,1,16,3,-,-,-,3.38
May 22,vs MIA,L 5-1,1.0,0,0,0,0,0,0,1,2,16,3,-,-,-,3.86
May 16,vs TOR,L 12-1,1.1,1,0,0,0,1,0,0,5,26,6,-,-,-,4.50
May 15,vs TOR,W 12-2,1.0,0,0,0,0,0,1,0,2,9,3,-,-,-,5.79
Apr 10,@ MIA,W 8-6,0.2,3,2,2,1,0,0,3,2,9,5,-,-,-,7.36
Apr 8,@ WSH,W 6-5,1.0,1,0,0,0,0,1,2,1,19,4,-,-,Sv(1),3.00
Apr 7,@ WSH,W 3-2,0.1,0,0,0,0,0,0,1,0,6,1,-,-,H(1),4.50
Apr 1,vs STL,L 5-1,1.2,2,1,1,1,1,1,1,5,30,8,-,-,-,5.40
