DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs PIT,L 13-10,2,1,2,0,0,0,0,1,0,0,0,1.000,1.000,2.000,1.000
Apr 1,vs PIT,L 1-0,Did not play
Apr 1,vs PIT,L 8-6,4,0,1,0,0,0,0,0,1,0,0,.571,.500,1.071,.500
Apr 2,vs KC,W 6-1,Did not play
Apr 3,vs KC,L 1-0,Did not play
Apr 5,@ CHW,W 9-7,0,0,0,0,0,0,0,0,0,0,0,.571,.500,1.071,.500
Apr 7,@ CHW,W 6-1,3,0,0,0,0,0,0,1,0,2,0,.500,.333,.833,.333
Apr 8,@ CHW,W 1-0,Did not play
Apr 9,@ CLE,L 2-0,0,0,0,0,0,0,0,0,0,0,0,.538,.333,.871,.333
Apr 10,@ CLE,L 2-1,1,0,0,0,0,0,0,0,1,0,0,.500,.300,.800,.300
Apr 11,@ CLE,L 5-1,0,0,0,0,0,0,0,0,0,0,0,.500,.300,.800,.300
Apr 12,@ CLE,L 9-3,3,0,0,0,0,0,0,1,1,0,0,.444,.231,.675,.231
Apr 13,vs NYY,L 8-6,4,0,0,0,0,0,0,0,2,0,0,.364,.176,.540,.176
Apr 17,vs BAL,W 4-2,0,0,0,0,0,0,0,0,0,0,0,.364,.176,.540,.176
Apr 18,vs BAL,W 6-5,4,0,2,0,0,0,0,0,1,0,0,.385,.238,.623,.238
Apr 19,vs BAL,W 13-8,5,2,2,0,0,0,0,0,1,0,0,.387,.269,.656,.269
Apr 20,vs KC,W 3-2,4,2,2,1,0,1,2,0,1,1,0,.400,.433,.833,.300
Apr 20,vs KC,L 3-2,2,1,1,0,1,0,1,0,0,0,0,.395,.500,.895,.313
Apr 21,vs KC,W 12-4,5,1,1,0,0,1,1,0,1,0,0,.372,.541,.913,.297
Apr 22,vs KC,L 8-5,4,0,1,0,0,0,1,0,0,0,0,.362,.512,.874,.293
