DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs LAD,W 7-3,6.0,5,3,2,1,2,6,6,5,95,24,56,W(8-6),-,3.45
Jul 20,vs SD,W 11-5,3.1,6,5,4,0,3,2,3,10,82,18,29,-,-,3.47
Jul 13,@ MIA,W 2-0,7.0,3,0,0,0,3,3,9,8,95,23,71,W(7-6),-,3.23
Jul 7,@ PIT,W 3-2,7.0,6,2,2,1,1,8,9,10,101,28,64,W(6-6),-,3.47
Jul 1,vs WSH,W 4-3,5.0,4,3,2,0,2,2,13,3,71,20,49,-,-,3.54
Jun 26,vs NYY,L 6-0,5.0,9,6,3,2,1,5,9,11,81,26,35,L(5-6),-,3.54
Jun 20,vs STL,W 4-3,6.0,4,3,3,2,2,5,8,9,92,24,-,-,-,3.42
Jun 15,@ MIL,L 13-2,3.1,7,8,4,1,2,1,9,8,73,21,21,L(5-5),-,3.33
Jun 9,vs MIL,L 12-3,5.1,4,5,4,1,3,4,9,6,106,25,43,L(5-4),-,2.97
Jun 3,@ SF,L 6-1,6.0,8,5,5,1,0,4,10,9,79,23,40,L(5-3),-,2.66
May 29,@ LAD,W 6-1,7.0,6,0,0,0,2,5,12,8,103,27,68,W(5-2),-,2.16
May 23,vs ATL,W 4-0,6.2,7,0,0,0,1,7,9,9,109,26,66,W(4-2),-,2.45
May 18,@ STL,L 12-4,3.0,5,4,2,0,2,1,7,6,64,16,36,L(3-2),-,2.82
May 11,vs NYM,L 3-1,7.1,5,0,0,0,2,5,9,11,101,27,71,-,-,2.59
May 6,@ WSH,L 5-4,6.0,2,1,1,1,2,2,8,8,75,20,-,-,-,3.15
Apr 30,@ MIA,L 8-4,3.2,8,6,6,0,2,2,9,8,79,21,21,L(3-1),-,3.49
Apr 25,vs ARI,W 5-3,7.0,4,3,1,0,2,2,14,9,107,27,61,W(3-0),-,1.82
Apr 19,vs PIT,W 7-0,7.0,1,0,0,0,2,10,7,5,97,24,83,W(2-0),-,2.04
Apr 14,@ TB,W 9-4,6.2,7,3,2,0,2,1,19,5,88,27,49,W(1-0),-,3.38
Apr 8,vs MIA,L 6-3,4.0,3,3,2,1,2,5,4,6,74,18,49,-,-,4.50
