DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Jun 7,vs SEA,L 5-4,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Jun 8,vs SEA,L 4-3,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Jun 9,vs SEA,W 7-3,4,1,2,1,0,0,0,0,1,0,0,.167,.250,.417,.167
Jun 10,vs SEA,L 5-4,4,0,1,1,0,0,1,0,1,0,0,.188,.313,.501,.188
Jun 11,vs TOR,W 8-4,3,3,2,1,0,1,2,2,0,0,0,.333,.579,.912,.263
Jun 12,vs TOR,W 4-1,3,0,1,0,0,0,0,1,1,0,0,.360,.545,.905,.273
Jun 13,vs TOR,W 1-0,4,0,2,0,0,0,0,0,0,0,0,.379,.538,.917,.308
Jun 14,@ NYY,L 4-3,3,1,0,0,0,0,0,1,2,0,0,.364,.483,.847,.276
Jun 15,@ NYY,L 5-0,4,0,0,0,0,0,0,0,3,0,0,.324,.424,.748,.242
Jun 16,@ NYY,L 4-1,3,0,2,0,1,0,0,1,1,0,1,.366,.500,.866,.278
Jun 17,@ NYY,W 3-1,4,0,0,0,0,0,0,1,2,0,0,.348,.450,.798,.250
Jun 18,@ HOU,L 5-4,2,2,1,1,0,0,0,2,1,0,0,.380,.476,.856,.262
Jun 19,@ HOU,W 2-1,4,0,0,0,0,0,0,0,1,0,0,.352,.435,.787,.239
Jun 20,@ HOU,L 5-1,2,0,1,1,0,0,0,2,1,0,0,.379,.458,.837,.250
Jun 22,vs NYY,W 2-1,2,0,0,0,0,0,0,2,0,0,0,.387,.440,.827,.240
Jun 23,vs NYY,W 4-0,3,0,1,1,0,0,1,1,0,0,0,.394,.453,.847,.245
Jun 24,vs NYY,W 7-6,6,2,2,0,1,1,1,0,1,0,0,.389,.525,.914,.254
Jun 25,vs WSH,W 11-0,5,2,4,1,0,0,1,0,1,0,0,.416,.563,.979,.297
Jun 26,vs WSH,W 1-0,3,0,0,0,0,0,1,1,0,1,0,.407,.537,.944,.284
Jun 28,vs HOU,L 1-0,3,0,0,0,0,0,0,1,1,0,0,.400,.514,.914,.271
Jun 29,vs HOU,W 3-2,2,0,0,0,0,0,0,2,0,0,0,.404,.500,.904,.264
Jun 30,vs HOU,W 5-2,3,1,1,0,0,0,0,1,1,0,0,.409,.493,.902,.267
Jul 1,vs HOU,W 3-2,3,0,0,0,0,0,0,0,2,0,0,.402,.474,.876,.256
Jul 2,@ MIA,L 3-2,1,1,0,0,0,0,0,0,0,0,0,.398,.468,.866,.253
Jul 3,@ MIA,W 9-6,8,1,2,1,0,0,2,0,3,0,0,.387,.460,.847,.253
Jul 4,@ MIA,L 3-0,4,0,0,0,0,0,0,0,1,0,0,.373,.440,.813,.242
Jul 6,@ NYM,L 5-1,4,0,0,0,0,0,0,0,1,0,0,.360,.421,.781,.232
Jul 7,@ NYM,W 3-0,2,0,0,0,0,0,0,0,1,0,0,.353,.412,.765,.227
Jul 8,@ NYM,W 9-0,3,3,2,1,0,1,1,2,0,0,0,.372,.460,.832,.240
Jul 9,vs DET,W 10-9,4,2,1,0,0,0,1,1,0,1,0,.373,.452,.825,.240
Jul 10,vs DET,W 5-2,4,0,1,1,0,0,0,0,1,0,0,.369,.454,.823,.241
Jul 11,vs DET,W 4-2,3,0,0,0,0,0,0,1,1,0,0,.366,.441,.807,.234
Jul 12,@ MIN,L 5-1,4,0,3,1,0,0,0,0,0,0,0,.377,.461,.838,.252
Jul 13,@ MIN,L 11-8,5,2,2,1,0,1,3,0,1,0,0,.378,.492,.870,.258
Jul 14,@ MIN,W 19-6,5,4,2,1,0,1,4,1,1,0,0,.383,.520,.903,.264
Jul 15,@ MIN,L 11-7,6,0,0,0,0,0,0,0,1,0,0,.368,.496,.864,.252
Jul 20,vs MIA,L 6-5,5,0,1,0,0,0,0,0,1,0,0,.363,.485,.848,.250
Jul 21,vs MIA,L 3-2,4,0,0,0,0,0,0,0,3,0,0,.354,.471,.825,.243
Jul 22,vs MIA,W 6-4,4,1,1,1,0,0,0,0,1,0,0,.351,.472,.823,.243
Jul 23,vs NYY,W 7-6,4,2,2,1,0,1,3,0,2,0,0,.355,.500,.855,.250
Jul 24,vs NYY,L 4-0,3,0,0,0,0,0,0,0,1,0,0,.349,.490,.839,.245
Jul 25,vs NYY,W 3-2,4,0,1,0,0,0,0,0,2,1,0,.346,.484,.830,.245
