DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs MIN,L 12-6,0.2,1,4,4,0,2,0,2,0,22,6,-,L(1-1),-,4.64
Jul 23,vs MIN,L 8-3,1.0,0,0,0,0,0,2,0,1,14,3,-,-,-,3.05
Jul 22,vs BAL,W 5-4,1.0,1,0,0,0,0,3,0,1,16,4,-,-,-,3.20
Jul 15,@ BOS,L 5-2,1.0,0,0,0,0,0,0,1,1,8,2,-,-,-,3.38
Jul 13,@ BOS,W 13-7,2.0,2,0,0,0,1,1,4,2,36,8,-,W(1-0),-,3.57
Jul 11,@ ATL,L 9-5,1.1,0,0,0,0,1,2,1,1,20,5,-,-,-,4.02
Jul 7,vs NYY,L 8-5,2.1,1,1,0,0,1,2,3,3,40,9,-,-,-,4.40
Jul 3,vs NYM,W 8-6,2.2,2,2,2,1,1,1,5,3,34,10,-,-,-,5.25
Jul 1,vs DET,L 9-1,1.0,0,0,0,0,1,0,1,1,12,3,-,-,-,4.82
May 28,@ BOS,L 8-3,1.0,0,0,0,0,0,0,2,1,8,3,-,-,-,5.40
May 23,vs LAA,L 5-4,0.2,1,0,0,0,0,1,1,1,15,3,-,-,-,6.14
May 20,vs OAK,L 9-2,0.1,2,3,0,0,0,0,4,0,22,4,-,-,-,6.75
May 17,vs OAK,L 10-5,1.0,2,1,0,0,0,0,3,2,15,5,-,-,-,7.11
May 15,@ NYM,L 12-2,1.0,6,3,3,0,0,0,4,5,31,9,-,-,-,8.44
May 12,vs BOS,L 5-2,0.0,2,0,0,0,0,0,2,0,8,2,-,-,-,4.15
May 10,vs SEA,L 9-3,1.2,2,1,1,1,2,1,3,2,37,8,-,-,-,4.15
May 8,vs SEA,L 5-0,1.1,0,0,0,0,0,2,1,1,15,4,-,-,-,3.38
May 4,@ TB,L 6-2,1.1,3,1,1,0,0,2,2,3,30,7,-,-,-,6.75
