DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs PIT,L 13-10,6,1,2,1,0,0,2,1,1,0,0,.429,.500,.929,.333
Apr 1,vs PIT,L 1-0,Did not play
Apr 1,vs PIT,L 8-6,3,0,1,0,0,0,1,1,0,0,0,.455,.444,.899,.333
Apr 2,vs KC,W 6-1,4,0,1,0,0,0,1,0,0,0,0,.400,.385,.785,.308
Apr 3,vs KC,L 1-0,3,0,0,0,0,0,0,0,0,0,0,.333,.313,.646,.250
Apr 5,@ CHW,W 9-7,5,0,1,0,0,0,0,0,1,0,0,.304,.286,.590,.238
Apr 7,@ CHW,W 6-1,3,1,0,0,0,0,1,1,0,0,0,.321,.250,.571,.208
Apr 8,@ CHW,W 1-0,Did not play
Apr 9,@ CLE,L 2-0,3,0,0,0,0,0,0,0,3,0,0,.290,.222,.512,.185
Apr 10,@ CLE,L 2-1,4,0,0,0,0,0,0,0,0,0,0,.257,.194,.451,.161
Apr 11,@ CLE,L 5-1,3,0,0,0,0,0,0,0,1,0,0,.237,.176,.413,.147
Apr 12,@ CLE,L 9-3,Did not play
Apr 13,vs NYY,L 8-6,3,1,2,0,0,1,3,0,0,0,0,.262,.297,.559,.189
Apr 17,vs BAL,W 4-2,4,0,1,0,0,0,0,0,0,0,0,.261,.293,.554,.195
Apr 18,vs BAL,W 6-5,Did not play
Apr 19,vs BAL,W 13-8,5,2,1,0,0,0,0,0,1,0,0,.255,.283,.538,.196
Apr 20,vs KC,W 3-2,4,1,2,1,0,0,0,0,0,0,0,.273,.320,.593,.220
Apr 20,vs KC,L 3-2,Did not play
Apr 21,vs KC,W 12-4,3,1,1,0,0,0,0,2,1,0,0,.300,.321,.621,.226
Apr 22,vs KC,L 8-5,3,0,1,0,0,0,1,0,1,0,0,.297,.321,.618,.232
Apr 25,@ PIT,W 13-10,6,1,2,1,0,1,1,0,0,0,0,.300,.387,.687,.242
Apr 25,@ PIT,L 8-3,Did not play
Apr 26,@ PIT,L 1-0,4,0,1,1,0,0,0,0,0,0,0,.297,.394,.691,.242
Apr 27,@ BAL,L 6-0,3,0,0,0,0,0,0,0,0,0,0,.286,.377,.663,.232
Apr 28,@ BAL,W 9-5,5,0,3,0,0,0,1,0,1,0,0,.305,.392,.697,.257
Apr 29,@ BAL,L 5-3,Did not play
Apr 30,vs TB,L 3-2,4,0,0,0,0,0,0,0,2,0,0,.291,.372,.663,.244
May 1,vs TB,W 2-1,3,1,1,0,0,0,0,0,0,0,0,.292,.370,.662,.247
May 2,vs TB,W 3-2,4,1,2,0,0,1,1,0,2,0,0,.301,.412,.713,.259
May 3,@ KC,L 10-6,4,0,1,0,0,0,1,1,3,0,0,.306,.404,.710,.258
May 4,@ KC,L 4-2,4,0,2,0,0,0,0,0,0,0,1,.314,.409,.723,.269
May 5,@ KC,W 3-2,4,0,2,0,0,0,0,0,0,0,0,.321,.412,.733,.278
May 6,@ KC,L 4-2,Did not play
May 7,@ TEX,L 7-6,5,0,1,0,0,0,0,0,2,0,0,.315,.402,.717,.275
May 8,@ TEX,W 7-4,3,0,1,1,0,0,0,1,1,0,0,.322,.410,.732,.276
May 9,@ TEX,L 5-4,3,0,1,0,0,0,1,1,1,0,0,.328,.407,.735,.278
May 12,vs SEA,W 4-3,3,0,1,0,0,0,0,1,0,0,0,.333,.405,.738,.279
May 12,vs SEA,L 9-5,4,1,1,1,0,0,0,0,1,0,0,.331,.409,.740,.278
May 13,vs SEA,W 5-4,4,0,0,0,0,0,0,0,0,0,0,.321,.395,.716,.269
May 14,vs CLE,W 6-3,2,1,0,0,0,0,0,2,1,0,0,.326,.388,.714,.264
May 15,vs CLE,W 9-8,4,1,2,2,0,0,1,0,1,0,0,.331,.408,.739,.272
May 16,vs CLE,L 6-0,Did not play
May 17,@ SEA,W 3-2,3,0,0,0,0,0,0,1,1,0,0,.329,.398,.727,.266
May 18,@ SEA,L 5-4,4,0,1,0,0,0,0,0,1,0,0,.327,.394,.721,.265
