DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 12,@ LAA,L 11-2,0.2,3,3,3,2,0,1,1,3,17,5,35,L(8-4),-,3.70
Jul 7,vs COL,L 5-1,7.0,7,4,4,1,1,9,8,11,98,29,55,L(8-3),-,3.49
Jul 1,vs KC,W 1-0,8.0,2,0,0,0,2,11,7,8,110,28,87,W(8-2),-,3.39
Jun 26,@ BAL,W 3-2,7.0,6,2,2,1,1,10,5,9,92,25,66,W(7-2),-,3.65
Jun 21,@ NYY,L 4-3,5.0,7,4,4,2,3,9,6,7,107,25,43,L(6-2),-,3.72
Jun 15,vs BOS,W 7-6,2.1,7,6,6,1,1,4,6,5,74,16,22,-,-,3.53
Jun 10,@ TB,W 5-4,7.0,5,3,3,1,0,10,7,9,103,26,65,W(6-1),-,3.02
Jun 5,@ HOU,W 7-1,7.2,9,1,1,0,1,6,12,11,108,30,62,W(5-1),-,2.95
May 30,vs TEX,L 7-6,5.0,4,2,2,0,4,5,3,10,89,22,52,-,-,3.13
May 25,vs MIN,W 2-1,7.0,3,1,1,1,0,11,9,4,103,24,78,W(4-1),-,3.10
May 19,vs DET,W 7-2,9.0,3,2,2,1,1,8,8,13,117,30,80,W(3-1),-,3.30
May 13,@ DET,L 5-4,6.0,6,3,3,1,0,4,5,15,104,24,52,-,-,3.52
May 8,@ TOR,W 5-0,9.0,0,0,0,0,3,7,10,9,99,29,91,W(2-1),-,3.40
May 2,vs OAK,L 3-2,7.0,5,0,0,0,1,16,0,10,105,27,82,-,-,4.19
Apr 26,@ CLE,W 5-4,6.0,5,2,2,1,3,10,4,9,100,26,61,-,-,5.12
Apr 21,@ TEX,W 9-7,4.0,6,5,5,0,3,6,5,7,96,21,-,-,-,5.61
Apr 16,vs HOU,W 2-1,6.0,3,1,1,1,3,7,6,8,106,24,66,W(1-1),-,4.57
Apr 11,@ KC,W 4-2,6.0,6,2,2,0,1,10,6,7,102,25,-,-,-,5.74
Apr 5,@ MIN,L 4-2,5.0,4,2,2,1,1,7,3,10,98,21,57,-,-,7.45
Mar 31,vs CLE,L 6-5,4.2,6,6,6,2,4,4,4,12,104,24,28,L(0-1),-,11.57
