DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs DET,L 5-4,1.0,2,0,0,0,1,0,2,2,10,5,-,-,-,6.12
Jul 20,vs MIN,W 6-5,1.0,2,1,1,0,0,0,1,4,21,5,-,-,-,6.18
Jul 14,@ CHW,W 5-0,1.0,2,0,0,0,0,0,3,2,17,5,-,-,-,6.15
Jul 10,@ MIN,W 9-4,2.0,3,2,2,0,0,2,3,4,31,9,-,-,-,6.21
Jul 6,vs BOS,L 10-5,2.0,9,8,8,3,1,0,3,12,58,16,5,L(2-11),-,6.16
Jun 30,@ SEA,L 6-4,6.0,13,6,6,1,0,4,10,16,94,30,26,L(2-10),-,5.56
Jun 24,@ HOU,L 11-3,4.0,6,9,7,1,5,3,2,14,88,25,-,L(2-9),-,5.34
Jun 19,vs TEX,L 4-1,5.2,9,4,3,0,4,4,13,8,94,29,-,L(2-8),-,4.88
Jun 13,vs CIN,L 7-0,7.1,7,3,2,0,0,3,8,18,94,29,57,L(2-7),-,4.89
Jun 7,@ OAK,L 4-1,6.0,8,4,4,1,1,6,5,15,93,27,-,L(2-6),-,5.12
Jun 2,vs OAK,W 5-4,6.0,7,3,3,1,2,3,6,15,105,27,47,-,-,5.05
May 27,@ TEX,W 5-3,5.1,4,0,0,0,2,10,4,6,102,22,68,W(2-5),-,5.10
May 22,@ STL,W 5-1,7.0,9,1,0,0,0,6,9,13,89,29,-,W(1-5),-,5.55
May 16,vs TB,L 5-3,6.0,10,5,5,1,0,2,10,15,73,28,34,L(0-5),-,6.28
May 11,@ CLE,W 10-9,3.2,6,9,9,3,3,1,6,10,89,20,11,-,-,6.13
May 5,vs DET,L 3-2,6.2,10,3,3,0,1,5,6,18,100,30,46,L(0-4),-,4.78
Apr 30,@ BOS,L 10-6,4.2,8,8,8,2,3,2,10,10,107,25,-,L(0-3),-,4.91
Apr 25,vs MIL,L 6-2,6.2,5,4,3,0,2,1,13,12,109,28,49,L(0-2),-,3.38
Apr 20,@ DET,L 3-2,9.0,5,2,2,0,2,4,10,16,101,32,71,-,-,3.20
Apr 13,vs LAA,L 5-4,5.1,8,2,2,1,0,4,9,11,95,24,48,-,-,3.86
Apr 8,@ CLE,L 3-1,6.0,3,0,0,0,2,5,9,7,88,23,69,-,-,4.09
Apr 2,@ DET,L 6-1,5.0,7,5,5,0,3,3,8,12,88,26,33,L(0-1),-,9.00
