DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ SEA,L 2-1,3,0,1,0,0,0,0,1,1,0,0,.500,.333,.833,.333
Mar 31,@ SEA,W 6-5,4,1,2,1,0,0,0,0,0,0,0,.500,.571,1.071,.429
Apr 1,@ SEA,L 5-4,4,0,0,0,0,0,0,0,2,0,0,.333,.364,.697,.273
Apr 2,@ LAA,W 6-0,5,0,0,0,0,0,0,0,1,0,0,.235,.250,.485,.188
Apr 3,@ LAA,L 13-2,3,0,0,0,0,0,0,0,0,0,0,.200,.211,.411,.158
Apr 4,@ LAA,L 3-2,4,0,1,0,0,0,1,2,0,0,0,.269,.217,.486,.174
Apr 6,vs KC,W 3-2,3,1,0,0,0,0,0,1,0,0,0,.267,.192,.459,.154
Apr 7,vs KC,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.235,.167,.402,.133
Apr 8,vs KC,W 3-1,4,0,0,0,0,0,0,0,2,0,0,.211,.147,.358,.118
Apr 9,vs DET,W 2-0,3,0,0,0,0,0,0,1,2,0,0,.214,.135,.349,.108
Apr 10,vs DET,W 2-1,4,0,0,0,0,0,0,0,2,0,0,.196,.122,.318,.098
Apr 11,vs DET,W 5-1,5,1,1,1,0,0,0,0,2,0,0,.196,.152,.348,.109
Apr 12,vs DET,W 9-3,4,1,3,1,0,0,2,0,0,0,0,.236,.220,.456,.160
Apr 13,vs TOR,L 8-4,5,0,1,1,0,0,1,0,1,0,0,.233,.236,.469,.164
Apr 17,@ MIN,W 6-1,4,1,1,0,0,0,0,1,1,0,0,.246,.237,.483,.169
Apr 18,@ MIN,L 2-1,7,0,1,0,0,0,0,0,0,0,0,.236,.227,.463,.167
Apr 20,@ BAL,L 3-1,3,1,1,0,0,0,0,1,2,0,0,.250,.232,.482,.174
Apr 21,@ BAL,W 4-0,3,1,1,0,0,0,0,1,1,0,0,.263,.236,.499,.181
Apr 22,@ BAL,W 7-3,5,1,1,0,0,0,0,0,2,0,0,.259,.234,.493,.182
Apr 23,@ BAL,W 2-1,4,0,0,0,0,0,0,0,2,0,0,.247,.222,.469,.173
Apr 24,vs CHC,L 10-3,4,0,0,0,0,0,1,1,1,0,0,.245,.212,.457,.165
Apr 25,vs CHC,W 4-1,3,0,0,0,0,0,0,0,1,0,0,.237,.205,.442,.159
Apr 26,vs SEA,L 5-4,4,1,2,1,0,0,1,1,1,0,0,.255,.228,.483,.174
Apr 27,vs SEA,W 6-5,5,1,1,1,0,0,0,0,2,0,0,.252,.237,.489,.175
Apr 28,vs SEA,L 12-4,4,0,0,0,0,0,0,0,0,0,0,.243,.228,.471,.168
Apr 29,vs SEA,L 10-4,1,1,0,0,0,0,0,1,1,0,0,.248,.225,.473,.167
Apr 30,vs TEX,W 7-5,5,0,2,1,0,0,1,0,2,0,0,.254,.243,.497,.178
May 1,vs TEX,L 8-6,5,1,2,1,0,0,2,1,0,0,0,.266,.259,.525,.188
May 2,vs TEX,W 12-4,4,2,2,1,0,1,3,0,0,0,0,.279,.302,.581,.198
May 3,vs TOR,L 13-11,3,0,0,0,0,0,0,0,0,0,0,.273,.294,.567,.193
May 3,vs TOR,W 13-4,5,2,2,0,0,0,0,1,0,0,0,.283,.298,.581,.202
May 4,@ NYY,L 7-6,5,1,0,0,0,0,0,0,1,0,0,.273,.287,.560,.194
May 5,@ NYY,L 5-2,4,0,0,0,0,0,0,0,2,0,0,.265,.278,.543,.188
May 6,@ NYY,L 7-4,3,0,0,0,0,0,1,0,2,0,0,.258,.272,.530,.184
May 8,@ MIL,L 3-2,3,0,0,0,0,0,0,1,1,0,0,.258,.266,.524,.180
May 9,@ MIL,W 6-2,5,0,1,0,0,0,0,0,1,0,0,.256,.264,.520,.181
May 11,vs KC,L 10-9,3,1,0,0,0,0,0,1,0,0,0,.256,.259,.515,.177
May 12,vs KC,W 6-2,3,0,0,0,0,0,0,1,0,0,0,.256,.253,.509,.173
May 13,vs KC,W 11-2,Did not play
May 14,@ DET,L 6-3,3,0,0,0,0,0,0,1,0,0,0,.256,.248,.504,.170
May 15,@ DET,L 9-8,4,0,1,0,0,0,0,1,0,0,0,.260,.248,.508,.172
May 16,@ DET,W 6-0,4,1,1,1,0,0,1,0,1,0,0,.260,.255,.515,.174
May 18,@ HOU,L 4-1,3,0,0,0,0,0,0,1,1,0,0,.259,.250,.509,.171
May 19,@ HOU,W 5-4,3,0,1,1,0,0,1,1,0,0,1,.265,.257,.522,.174
May 20,@ HOU,L 3-1,3,0,1,0,0,0,0,0,0,0,0,.266,.259,.525,.176
May 22,@ CHC,W 10-1,4,0,1,0,0,0,2,1,0,0,0,.269,.259,.528,.178
May 23,@ CHC,W 1-0,4,0,1,0,0,0,0,0,0,0,0,.269,.258,.527,.180
May 24,vs HOU,L 8-2,3,0,0,0,0,0,0,1,1,0,0,.268,.254,.522,.177
May 25,vs HOU,L 11-2,4,0,1,0,0,0,1,0,2,0,0,.268,.254,.522,.178
May 26,vs HOU,W 8-6,4,1,2,0,0,1,2,0,0,0,0,.272,.275,.547,.185
May 27,vs HOU,W 10-9,6,2,2,0,0,0,1,0,1,0,0,.274,.277,.551,.190
May 28,vs CHW,W 9-6,4,0,1,1,0,0,0,0,2,0,0,.274,.281,.555,.191
May 29,vs CHW,W 7-3,4,1,2,0,0,1,1,0,0,0,0,.278,.300,.578,.197
May 30,vs CHW,W 9-1,4,0,0,0,0,0,0,1,2,0,0,.276,.295,.571,.193
May 31,@ MIN,W 9-8,4,1,2,1,0,0,0,0,0,0,0,.283,.303,.586,.199
Jun 1,@ MIN,L 7-4,4,0,0,0,0,0,0,0,2,0,0,.278,.298,.576,.195
Jun 2,@ MIN,L 7-1,4,0,1,0,0,0,0,0,0,1,0,.278,.297,.575,.196
Jun 3,@ MIN,L 7-5,4,0,2,0,0,0,0,0,1,1,0,.281,.300,.581,.202
Jun 5,vs MIL,W 3-2,3,0,2,1,0,0,0,0,0,0,0,.286,.310,.596,.208
Jun 6,vs MIL,W 3-1,3,0,0,0,0,0,0,1,2,0,0,.285,.306,.591,.205
Jun 8,@ DET,W 4-1,4,1,1,0,0,1,3,0,2,0,0,.285,.318,.603,.206
Jun 9,@ DET,L 4-2,5,0,0,0,0,0,0,0,1,0,0,.279,.311,.590,.202
Jun 10,@ DET,W 9-2,Did not play
Jun 11,@ CHW,W 4-0,Did not play
Jun 12,@ CHW,L 5-1,4,0,0,0,0,0,0,0,1,0,0,.275,.306,.581,.198
Jun 13,@ CHW,L 3-2,4,0,1,0,0,0,0,0,2,0,0,.275,.305,.580,.199
Jun 14,@ CHW,W 5-2,Did not play
Jun 15,vs MIN,L 6-3,3,0,0,0,0,0,0,1,0,0,0,.274,.301,.575,.197
Jun 16,vs MIN,L 9-3,3,1,1,0,0,0,0,1,0,0,0,.278,.302,.580,.198
Jun 17,vs MIN,W 4-1,Did not play
Jun 18,vs CHW,W 6-2,4,2,3,0,0,1,2,0,0,0,0,.284,.320,.604,.207
Jun 19,vs CHW,W 6-3,4,0,1,0,0,0,0,0,0,0,0,.284,.319,.603,.208
Jun 20,vs CHW,W 12-0,5,1,1,0,0,1,3,0,0,0,0,.282,.328,.610,.208
Jun 22,vs DET,W 10-0,4,1,1,1,0,0,0,0,1,0,0,.282,.331,.613,.208
Jun 23,vs DET,W 4-1,1,0,0,0,0,0,0,2,1,0,0,.286,.330,.616,.207
Jun 24,vs DET,W 12-2,3,2,2,0,0,1,1,1,0,0,0,.292,.344,.636,.212
Jun 25,@ STL,L 4-0,3,0,1,0,0,0,0,1,0,0,0,.294,.344,.638,.214
Jun 26,@ STL,L 11-2,4,0,1,0,0,0,1,0,1,0,0,.294,.343,.637,.214
Jun 27,@ STL,W 5-1,4,1,2,0,0,0,1,0,1,0,0,.297,.345,.642,.218
Jun 29,@ OAK,L 3-1,4,0,1,0,0,0,0,0,1,0,0,.296,.344,.640,.219
Jun 30,@ OAK,L 7-2,2,0,0,0,0,0,0,1,2,0,0,.296,.341,.637,.217
Jul 1,@ OAK,W 15-3,4,1,1,1,0,0,1,0,1,0,0,.298,.344,.642,.218
Jul 2,@ KC,W 9-3,5,0,0,0,0,0,0,0,1,0,0,.293,.338,.631,.214
Jul 3,@ KC,W 6-4,Did not play
Jul 4,@ KC,W 3-2,3,1,1,1,0,0,0,1,0,0,0,.296,.341,.637,.215
Jul 6,vs OAK,W 10-4,1,0,1,0,0,0,1,2,0,1,0,.302,.343,.645,.218
Jul 7,vs OAK,L 6-3,2,0,0,0,0,0,0,1,1,0,0,.302,.341,.643,.216
Jul 8,vs OAK,L 6-0,Did not play
Jul 9,vs CIN,L 7-5,4,1,2,1,0,1,2,0,0,0,0,.305,.356,.661,.220
Jul 10,vs CIN,L 7-4,2,1,0,0,0,0,0,2,1,0,0,.307,.354,.661,.219
Jul 11,vs CIN,W 19-4,3,2,2,0,0,1,2,2,1,0,0,.314,.366,.680,.223
Jul 12,vs NYY,L 7-4,4,0,0,0,0,0,0,0,1,0,0,.310,.362,.672,.220
Jul 13,vs NYY,W 6-5,4,0,0,0,0,0,0,0,1,0,0,.307,.357,.664,.217
Jul 14,vs NYY,L 5-4,Did not play
Jul 15,vs NYY,W 5-2,3,0,2,0,0,0,0,1,1,1,0,.312,.360,.672,.222
Jul 20,@ TEX,W 9-8,5,1,2,0,0,1,3,0,0,0,0,.313,.370,.683,.224
Jul 21,@ TEX,W 16-3,5,0,0,0,0,0,0,0,0,0,0,.309,.364,.673,.221
Jul 22,@ TEX,L 5-0,3,0,0,0,0,0,0,1,1,0,0,.308,.361,.669,.219
Jul 23,vs PIT,L 7-0,2,0,1,0,0,0,0,0,0,0,0,.309,.362,.671,.221
Jul 24,vs PIT,L 9-4,4,0,1,0,0,0,0,0,1,0,0,.308,.360,.668,.221
Jul 25,vs PIT,W 4-0,3,0,1,0,1,0,0,0,0,0,0,.309,.366,.675,.222
