DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs LAA,W 6-5,5,0,2,0,0,0,0,0,1,0,0,.400,.400,.800,.400
Mar 30,vs LAA,L 2-1,4,0,1,0,0,0,0,0,1,0,0,.333,.333,.666,.333
Mar 31,vs LAA,L 8-3,4,1,1,0,0,0,0,1,1,0,0,.357,.308,.665,.308
Apr 1,vs LAA,L 7-4,4,0,0,0,0,0,0,0,0,0,0,.278,.235,.513,.235
Apr 2,vs TEX,W 3-1,4,0,1,1,0,0,2,0,0,0,0,.273,.286,.559,.238
Apr 3,vs TEX,L 4-1,4,0,0,0,0,0,0,0,3,0,0,.231,.240,.471,.200
Apr 4,vs TEX,W 6-2,3,0,2,1,0,0,2,1,0,0,0,.300,.321,.621,.250
Apr 5,vs TEX,L 6-3,4,0,3,1,0,0,1,1,0,0,0,.371,.406,.777,.313
Apr 6,@ LAA,L 13-9,5,1,3,0,0,1,1,0,1,0,0,.400,.514,.914,.351
Apr 7,@ LAA,W 7-3,4,1,1,0,0,1,1,1,3,0,0,.400,.561,.961,.341
Apr 8,@ LAA,L 6-1,3,0,1,0,0,0,0,1,1,0,0,.408,.545,.953,.341
Apr 10,@ LAD,L 4-0,4,0,0,0,0,0,0,0,1,0,0,.377,.500,.877,.313
Apr 11,@ LAD,W 16-6,6,2,3,0,0,1,4,0,0,0,0,.390,.556,.946,.333
Apr 13,@ SEA,L 7-4,4,1,0,0,0,0,0,0,1,0,0,.365,.517,.882,.310
Apr 14,@ SEA,L 10-8,4,1,3,0,0,0,1,1,0,0,0,.397,.532,.929,.339
Apr 15,@ SEA,W 2-1,4,1,2,0,0,1,2,0,1,0,0,.403,.576,.979,.348
Apr 16,vs CHW,W 8-1,4,0,1,0,0,0,3,1,1,0,0,.403,.557,.960,.343
Apr 17,vs CHW,W 10-2,4,1,2,0,0,1,1,0,0,0,0,.407,.595,1.002,.351
Apr 18,vs CHW,W 12-11,7,2,2,0,0,1,3,1,1,0,0,.404,.605,1.009,.346
Apr 20,vs BOS,L 7-3,5,1,4,2,0,0,1,0,0,0,0,.426,.640,1.066,.372
Apr 21,vs BOS,W 3-0,4,0,1,1,0,0,1,0,1,0,0,.418,.633,1.051,.367
Apr 22,vs BOS,W 4-1,4,0,0,0,0,0,0,0,3,0,0,.402,.606,1.008,.351
Apr 23,@ TEX,W 9-4,4,1,2,1,0,0,0,1,0,0,0,.411,.612,1.023,.357
Apr 24,@ TEX,W 3-2,4,0,2,1,0,0,1,1,1,0,0,.420,.618,1.038,.363
Apr 25,@ TEX,L 4-2,3,0,0,0,0,0,0,1,0,0,0,.414,.600,1.014,.352
Apr 27,@ HOU,W 8-1,4,0,1,0,1,0,2,0,0,0,0,.408,.606,1.014,.349
Apr 28,@ HOU,L 11-0,2,0,0,0,0,0,0,0,2,0,0,.402,.595,.997,.342
Apr 29,@ HOU,L 8-4,4,0,1,0,0,0,1,0,1,0,0,.397,.583,.980,.339
May 1,@ SEA,L 6-3,4,1,1,0,0,1,1,0,0,0,0,.392,.597,.989,.336
