DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ MIL,L 5-4,5.0,7,3,3,1,1,3,11,7,79,23,43,-,-,3.44
Jul 15,@ NYM,W 6-1,6.0,2,1,1,0,2,6,6,7,73,22,68,W(4-1),-,3.29
Jul 10,@ PIT,W 5-1,5.0,2,0,0,0,1,3,8,6,67,18,65,W(3-1),-,3.47
Jul 5,vs MIA,W 14-12,4.0,9,9,8,2,1,2,9,11,75,24,11,-,-,3.81
Jun 30,@ PHI,L 3-2,4.2,7,3,3,1,2,4,3,14,98,23,40,L(2-1),-,2.63
Jun 3,@ ATL,L 4-2,0.1,0,1,0,0,0,0,2,0,4,2,49,-,-,2.28
May 29,@ BAL,W 3-2,5.0,6,2,2,1,0,3,5,10,81,20,50,W(2-0),-,2.30
May 22,vs SD,W 2-1,5.1,5,1,1,1,1,5,8,7,75,21,58,-,-,2.13
May 13,@ ARI,W 6-4,5.0,3,1,1,0,1,5,8,4,61,18,61,-,-,2.20
May 8,@ SD,W 4-0,6.2,2,0,0,0,0,8,7,7,91,22,78,W(1-0),-,2.28
May 3,vs PIT,W 3-1,5.2,3,0,0,0,0,4,8,7,61,19,67,-,-,3.00
Apr 28,vs ARI,L 4-3,5.1,5,2,2,2,1,1,8,10,57,20,-,-,-,4.11
Apr 22,@ LAD,L 4-3,5.1,3,3,3,0,2,5,9,5,93,21,53,-,-,4.50
Apr 16,@ NYM,W 8-6,4.2,7,2,2,0,1,3,6,11,88,21,44,-,-,3.86
