DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 15,vs WSH,L 6-1,0.1,1,1,1,0,0,0,0,1,12,3,-,-,-,5.01
Jul 12,vs WSH,L 5-4,0.2,1,1,1,1,1,1,0,2,11,4,-,-,-,4.70
Jul 9,vs PHI,L 3-1,1.2,1,0,0,0,1,2,1,3,27,7,-,-,-,4.43
Jul 4,@ TOR,W 6-3,0.2,1,0,0,0,0,1,1,1,11,3,-,-,H(5),4.79
Jun 29,@ MIA,L 8-2,1.1,0,0,0,0,0,1,1,2,19,4,-,-,-,4.95
Jun 24,vs LAD,L 8-7,2.0,2,2,2,2,0,3,0,5,29,8,47,-,-,5.30
Jun 22,vs LAD,L 5-2,0.1,0,0,0,0,0,0,0,1,5,1,-,-,-,4.86
Jun 21,@ COL,L 6-4,0.2,0,0,0,0,1,1,0,1,12,3,-,-,-,4.96
Jun 15,@ ARI,L 7-3,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,5.17
Jun 14,@ ARI,L 6-3,0.0,1,0,0,0,0,0,0,1,6,2,-,-,-,5.28
Jun 13,@ ATL,L 2-0,1.0,1,1,1,1,0,1,0,3,17,4,-,-,-,5.28
Jun 9,vs NYY,L 4-3,1.0,0,0,0,0,1,1,1,0,14,3,-,-,-,5.02
Jun 2,vs CHC,L 7-1,1.0,1,0,0,0,2,2,1,1,27,6,-,-,-,5.40
May 31,vs CHC,L 5-1,1.0,2,1,1,0,0,1,0,4,17,5,-,-,-,5.84
May 29,@ ATL,L 7-6,1.2,2,1,1,0,1,0,1,6,30,8,-,-,-,5.56
May 27,@ MIL,L 8-7,0.0,1,1,1,0,0,0,0,1,4,1,-,L(1-1),-,INF
May 26,@ MIL,L 17-6,1.1,0,0,0,0,1,0,1,3,26,5,-,-,-,4.66
May 25,@ MIL,L 4-3,0.0,1,0,0,0,0,0,0,1,3,1,-,-,-,5.40
May 21,vs MIA,W 2-0,0.0,0,0,0,0,1,0,0,0,6,1,-,-,-,5.40
May 20,vs ARI,W 4-1,0.1,0,0,0,0,0,1,0,0,4,1,-,-,H(4),5.40
May 8,@ CIN,L 7-2,0.1,0,0,0,0,0,0,0,1,8,1,-,-,-,5.63
May 6,vs COL,L 3-2,0.2,0,0,0,0,0,1,0,1,12,2,-,-,-,5.87
May 3,vs ATL,L 11-0,1.1,0,0,0,0,0,1,0,3,17,4,-,-,-,6.43
May 1,vs ATL,L 3-2,0.2,1,0,0,0,0,0,2,1,5,3,-,-,-,7.94
Apr 28,@ SD,L 12-2,1.0,0,0,0,0,1,0,0,3,19,4,-,-,-,9.00
Apr 27,@ SD,W 5-1,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,11.25
Apr 21,@ ATL,L 4-3,0.1,1,0,0,0,0,1,0,1,6,2,-,-,H(3),12.27
Apr 19,@ ATL,L 12-4,0.2,3,4,4,0,1,0,2,3,18,6,-,-,-,13.50
Apr 16,vs WSH,L 8-6,0.0,1,1,1,0,0,0,1,0,4,1,-,-,-,INF
Apr 15,vs MIL,W 3-2,0.1,0,0,0,0,0,0,1,0,3,1,-,-,-,0.00
Apr 13,vs MIL,W 6-5,0.0,1,0,0,0,0,0,0,1,4,1,-,-,-,0.00
Apr 11,@ MIA,W 4-1,0.1,0,0,0,0,0,0,0,1,4,1,-,-,H(2),0.00
Apr 9,@ MIA,W 4-2,0.1,0,0,0,0,0,0,0,1,3,1,-,-,H(1),0.00
Apr 8,@ WSH,W 6-5,0.1,0,0,0,0,0,0,0,0,4,0,-,-,-,0.00
Apr 7,@ WSH,W 3-2,0.0,0,0,0,0,1,0,0,0,5,1,-,-,-,0.00
Apr 5,@ WSH,W 8-2,0.2,0,0,0,0,0,2,0,0,11,2,-,-,-,0.00
Apr 3,vs PHI,W 2-0,0.1,0,0,0,0,0,0,0,1,3,1,-,W(1-0),-,0.00
Apr 1,vs STL,L 5-1,0.1,0,0,0,0,2,0,0,1,15,3,-,-,-,0.00
