DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 29,vs ATL,L 10-1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 30,@ MIA,L 8-4,Did not play
May 1,@ MIA,L 2-1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
May 2,@ MIA,W 6-0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
May 4,@ WSH,L 7-3,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
May 5,@ WSH,W 3-1,Did not play
May 6,@ WSH,L 5-4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
May 7,vs SF,W 11-0,1,0,1,0,0,0,0,0,0,0,0,.250,.250,.500,.250
May 8,vs SF,W 4-2,Did not play
May 9,vs SF,W 11-3,1,0,0,0,0,0,0,0,0,0,0,.200,.200,.400,.200
May 10,vs SF,W 6-3,Did not play
May 11,vs NYM,L 3-1,Did not play
May 13,vs NYM,W 4-2,Did not play
May 16,@ BAL,W 4-1,3,0,0,0,0,0,0,0,1,0,0,.125,.125,.250,.125
May 17,@ STL,W 6-2,Did not play
May 18,@ STL,L 12-4,3,0,0,0,0,0,0,0,2,0,0,.091,.091,.182,.091
May 19,@ STL,W 7-6,Did not play
May 20,@ STL,L 5-1,Did not play
May 21,vs ATL,W 3-0,Did not play
May 22,vs ATL,L 3-1,Did not play
May 23,vs ATL,W 4-0,Did not play
May 25,vs TOR,L 6-5,1,0,0,0,0,0,0,0,1,0,0,.083,.083,.166,.083
May 26,vs TOR,W 2-1,Did not play
May 27,vs TOR,L 5-3,Did not play
May 28,@ LAD,L 5-4,Did not play
May 29,@ LAD,W 6-1,Did not play
May 30,@ LAD,L 8-2,1,0,1,0,0,0,0,0,0,0,0,.154,.154,.308,.154
May 31,@ LAD,W 2-1,1,0,0,0,0,0,0,0,1,0,0,.143,.143,.286,.143
