DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ MIA,L 9-3,1.0,1,0,0,0,0,0,3,1,19,4,-,-,-,2.61
Jul 20,@ WSH,W 8-5,2.0,2,2,2,1,0,1,3,4,26,8,-,-,-,2.68
Jul 15,vs ARI,W 5-1,0.2,0,0,0,0,0,1,1,0,6,2,-,-,H(3),2.31
Jul 13,vs ARI,L 2-1,0.2,1,0,0,0,0,1,0,2,12,3,-,-,-,2.36
Jul 10,vs TOR,L 6-2,0.1,0,0,0,0,0,0,1,0,6,1,-,-,-,2.41
Jul 6,@ MIL,L 5-4,2.0,1,0,0,0,0,3,3,1,31,7,-,-,-,2.43
Jul 2,@ NYY,W 5-3,2.0,3,0,0,0,1,4,2,2,31,9,-,W(2-0),-,2.59
Jul 1,@ STL,W 6-5,0.1,0,1,1,0,1,0,1,0,7,2,-,-,-,2.76
Jun 29,@ STL,W 5-1,0.2,0,0,0,0,0,0,0,2,6,2,-,-,H(2),2.48
Jun 25,vs CIN,W 5-4,1.0,1,0,0,0,2,0,2,2,19,6,-,-,-,2.54
Jun 24,vs BAL,W 7-3,1.0,0,0,0,0,1,0,2,0,8,3,-,-,H(1),2.63
Jun 22,vs BAL,L 10-7,3.0,0,0,0,0,0,3,4,2,29,9,-,-,-,2.73
Jun 19,@ TOR,W 11-4,1.0,0,0,0,0,0,1,2,0,10,3,-,-,-,3.09
Jun 12,vs NYM,W 8-2,0.1,1,2,1,0,2,0,2,1,19,5,-,-,BlSv(1),3.22
Jun 8,@ LAD,L 7-3,1.0,1,1,1,1,0,2,1,1,24,4,-,-,-,2.86
Jun 6,@ SD,L 3-1,1.0,0,0,0,0,1,0,0,2,12,3,-,-,-,2.57
Jun 2,vs WSH,L 5-3,3.0,1,0,0,0,2,8,0,2,50,13,-,-,-,2.70
May 28,vs NYM,W 4-3,2.0,1,0,0,0,1,1,3,2,31,7,-,-,-,3.18
May 26,@ BOS,L 8-6,1.0,1,1,1,1,0,0,2,2,17,4,-,-,-,3.60
May 25,@ BOS,L 6-2,0.2,1,1,1,0,0,1,1,1,7,3,-,-,-,3.21
May 23,@ PHI,L 4-0,0.1,0,0,0,0,0,1,0,0,7,1,-,-,-,2.70
May 21,@ PHI,L 3-0,1.0,0,0,0,0,1,1,1,1,13,4,-,-,-,2.77
May 19,vs MIA,W 8-1,1.0,1,0,0,0,0,0,2,2,19,4,-,-,-,3.00
May 13,@ MIA,W 4-3,0.0,2,2,2,0,0,0,1,1,5,2,-,-,-,INF
May 11,@ MIA,L 6-3,2.0,2,0,0,0,0,1,4,2,15,7,-,-,-,1.64
May 6,vs SF,L 4-3,0.2,1,0,0,0,0,0,1,2,13,3,-,-,-,2.00
May 4,vs SF,L 9-4,1.0,2,2,2,1,1,2,1,2,25,6,-,-,-,2.16
May 3,@ NYM,W 11-0,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,0.00
Apr 29,@ PHI,W 10-1,2.0,0,0,0,0,1,5,1,0,29,7,-,-,-,0.00
Apr 25,@ CIN,W 5-4,2.0,3,0,0,0,1,2,4,2,31,9,-,-,-,0.00
Apr 23,@ CIN,L 10-4,1.1,1,0,0,0,1,1,3,1,23,6,-,-,-,0.00
Apr 21,vs NYM,W 4-3,1.0,0,0,0,0,1,0,3,0,15,4,-,W(1-0),-,0.00
