DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ SD,W 2-1,0,0,0,0,0,0,0,0,0,0,0,1.000,.000,1.000,.000
Mar 30,@ SD,W 8-6,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,1.000
Mar 31,@ SD,W 7-3,1,1,0,0,0,0,0,0,0,0,0,.667,.500,1.167,.500
Apr 2,vs STL,L 8-4,1,0,0,0,0,0,0,0,0,0,0,.500,.333,.833,.333
Apr 3,vs STL,W 5-4,0,0,0,0,0,0,0,1,0,0,0,.600,.333,.933,.333
Apr 4,vs STL,L 6-0,1,0,0,0,0,0,0,0,0,0,0,.500,.250,.750,.250
Apr 5,vs CHC,L 8-0,4,0,3,1,0,0,0,0,1,0,0,.600,.625,1.225,.500
Apr 6,vs CHC,W 5-4,0,0,0,0,0,0,0,1,0,0,0,.636,.625,1.261,.500
Apr 7,vs CHC,L 5-2,Did not play
Apr 8,vs CHC,L 3-0,3,0,0,0,0,0,0,1,1,0,0,.533,.455,.988,.364
Apr 9,@ STL,W 5-4,Did not play
Apr 10,@ STL,L 5-3,1,0,0,0,0,0,0,0,0,0,0,.500,.417,.917,.333
Apr 11,@ STL,W 3-2,Did not play
Apr 13,@ NYM,L 6-5,4,1,3,1,0,0,0,0,0,0,0,.550,.563,1.113,.438
Apr 14,@ NYM,W 5-1,Did not play
Apr 15,@ NYM,L 3-2,3,1,1,0,0,0,0,0,0,0,0,.522,.526,1.048,.421
Apr 16,vs CIN,L 10-4,4,1,1,0,0,0,0,0,2,0,0,.481,.478,.959,.391
Apr 17,vs CIN,W 2-0,1,0,0,0,0,0,0,0,0,0,0,.464,.458,.922,.375
Apr 18,vs CIN,W 2-0,Did not play
Apr 19,vs MIA,W 12-3,5,2,3,2,0,0,3,0,0,0,0,.485,.552,1.037,.414
Apr 20,vs MIA,W 8-0,1,0,0,0,0,0,0,0,0,0,0,.471,.533,1.004,.400
Apr 21,vs MIA,W 6-5,1,1,1,0,0,1,1,0,0,0,0,.486,.645,1.131,.419
Apr 22,vs MIA,W 4-2,4,0,2,0,0,0,1,0,1,0,0,.487,.629,1.116,.429
Apr 24,@ KC,W 5-2,0,0,0,0,0,0,0,0,0,0,0,.487,.629,1.116,.429
Apr 25,@ KC,W 6-2,3,0,1,0,0,0,2,0,0,0,0,.465,.605,1.070,.421
Apr 26,@ CHC,L 1-0,1,0,0,0,0,0,0,0,1,0,0,.455,.590,1.045,.410
Apr 27,@ CHC,L 3-2,3,0,0,0,0,0,1,0,1,0,0,.417,.548,.965,.381
Apr 28,@ CHC,L 3-0,Did not play
Apr 29,@ CHC,L 2-0,2,0,0,0,0,0,0,1,1,0,0,.412,.523,.935,.364
Apr 30,@ CIN,W 6-5,1,0,1,0,0,0,0,0,0,0,0,.423,.533,.956,.378
May 1,@ CIN,W 7-6,4,1,1,0,0,1,1,0,2,0,0,.411,.571,.982,.367
May 2,@ CIN,W 3-1,4,1,2,0,0,0,0,0,1,0,0,.417,.566,.983,.377
May 4,vs PIT,L 6-4,3,1,1,0,0,0,1,1,2,0,0,.422,.554,.976,.375
May 5,vs PIT,W 5-3,3,0,0,0,0,0,0,1,0,0,0,.412,.525,.937,.356
May 6,vs PIT,L 9-0,1,0,0,0,0,0,0,0,1,0,0,.406,.517,.923,.350
May 8,vs CLE,W 3-2,Did not play
May 9,vs CLE,L 6-2,3,0,1,0,0,0,1,0,1,0,0,.397,.508,.905,.349
May 10,@ COL,W 5-2,2,1,1,1,0,0,0,2,0,0,0,.423,.523,.946,.354
May 11,@ COL,W 11-10,4,1,1,1,0,0,0,2,1,0,0,.429,.522,.951,.348
May 12,@ COL,L 4-0,4,0,1,0,0,0,0,0,3,0,0,.420,.507,.927,.342
May 13,@ COL,W 7-3,5,1,1,0,0,1,3,0,2,0,0,.409,.526,.935,.333
May 14,@ ARI,W 7-2,5,0,0,0,0,0,0,0,2,0,0,.388,.494,.882,.313
May 15,@ ARI,L 2-1,4,0,1,1,0,0,0,0,2,0,0,.382,.494,.876,.310
May 16,@ ARI,W 8-2,4,1,1,0,0,0,0,0,0,0,0,.377,.484,.861,.308
May 18,@ MIN,W 8-3,4,3,3,0,0,2,3,1,0,0,0,.396,.558,.954,.326
May 19,@ MIN,W 5-4,3,1,1,0,0,1,2,0,0,0,0,.391,.582,.973,.327
May 20,@ MIN,L 3-1,4,1,2,0,0,1,1,0,1,0,0,.395,.608,1.003,.333
May 21,vs ARI,W 4-2,4,0,0,0,0,0,0,0,2,0,0,.382,.585,.967,.321
May 22,vs ARI,W 1-0,Did not play
May 23,vs ARI,W 9-2,5,1,2,0,0,0,3,0,1,0,0,.383,.577,.960,.324
May 24,vs NYM,L 5-0,3,0,0,0,0,0,0,1,1,0,0,.379,.561,.940,.316
May 25,vs NYM,W 4-3,4,0,0,0,0,0,0,0,2,0,0,.368,.542,.910,.305
May 26,vs NYM,W 17-6,5,2,3,0,0,1,3,1,2,0,0,.380,.569,.949,.317
May 27,vs NYM,W 8-7,3,2,2,0,0,1,4,1,1,0,0,.390,.595,.985,.325
May 28,vs STL,W 8-3,4,0,0,0,0,0,0,0,2,0,0,.380,.577,.957,.315
May 29,vs STL,L 6-1,3,0,0,0,0,0,0,1,1,0,0,.377,.564,.941,.308
May 30,vs STL,W 3-2,4,1,1,0,0,0,0,1,1,0,0,.377,.555,.932,.307
Jun 1,@ CHW,L 8-3,5,0,0,0,0,0,0,0,2,0,0,.366,.535,.901,.296
Jun 2,@ CHW,W 5-0,3,1,3,1,0,1,2,1,0,0,0,.381,.572,.953,.310
Jun 3,@ CHW,L 6-1,4,0,1,0,0,0,0,0,0,0,0,.378,.564,.942,.309
Jun 5,@ CLE,L 3-2,4,0,0,0,0,0,0,0,3,0,0,.369,.549,.918,.301
Jun 6,@ CLE,L 3-1,3,0,0,0,0,0,0,1,1,0,0,.367,.538,.905,.295
Jun 8,@ PHI,W 12-4,4,2,1,1,0,0,2,1,2,0,0,.368,.538,.906,.294
Jun 9,@ PHI,W 12-3,5,2,2,1,0,1,3,0,1,0,0,.368,.558,.926,.297
Jun 10,@ PHI,L 4-3,4,0,0,0,0,0,0,0,4,0,0,.361,.544,.905,.290
Jun 11,vs CHC,L 7-2,3,0,0,0,0,0,0,0,1,0,0,.355,.535,.890,.285
Jun 12,vs CHC,W 4-0,Did not play
Jun 13,vs CHC,W 1-0,3,0,1,0,0,0,0,0,0,0,0,.355,.531,.886,.286
Jun 15,vs PHI,W 13-2,4,1,1,0,0,1,3,0,0,0,0,.351,.542,.893,.285
Jun 16,vs PHI,L 4-1,Did not play
Jun 17,vs PHI,L 10-9,5,1,3,0,0,1,2,0,0,0,0,.357,.560,.917,.293
Jun 18,@ PIT,L 1-0,1,0,0,0,0,0,0,0,0,0,0,.355,.557,.912,.292
Jun 19,@ PIT,W 3-2,3,1,2,1,0,1,3,1,1,0,0,.363,.580,.943,.298
Jun 21,vs STL,W 11-3,5,1,2,1,0,0,2,0,1,0,0,.364,.580,.944,.301
Jun 22,vs STL,W 2-1,4,2,2,0,0,2,2,0,0,0,0,.366,.609,.975,.305
Jun 23,vs STL,L 3-2,3,0,0,0,0,0,1,0,1,0,0,.360,.600,.960,.300
Jun 24,vs STL,L 8-2,1,0,0,0,0,0,0,0,1,0,0,.358,.597,.955,.299
Jun 26,vs KC,W 5-1,4,1,2,1,0,1,1,0,2,0,0,.361,.615,.976,.302
Jun 27,vs KC,L 5-4,2,1,1,0,0,1,1,2,1,0,0,.367,.628,.995,.304
Jun 28,@ CIN,W 6-4,4,1,3,0,0,1,2,0,0,0,0,.373,.645,1.018,.313
Jun 29,@ CIN,W 8-2,5,1,2,0,0,0,0,0,1,0,0,.374,.639,1.013,.315
Jun 30,@ CIN,L 12-3,4,0,0,0,0,0,0,0,3,0,0,.368,.627,.995,.309
Jul 1,@ CIN,L 8-2,Did not play
Jul 2,vs MIN,W 6-5,4,0,2,0,0,0,1,1,0,0,0,.373,.625,.998,.313
Jul 3,vs MIN,W 2-0,3,0,0,0,0,0,0,1,3,0,0,.371,.617,.988,.308
Jul 4,vs MIN,W 3-2,4,0,0,0,0,0,0,0,2,0,0,.365,.606,.971,.303
Jul 5,vs ATL,W 7-2,3,0,0,0,0,0,1,0,2,0,0,.360,.598,.958,.299
Jul 6,vs ATL,W 5-4,4,1,3,1,0,1,3,0,1,0,0,.365,.618,.983,.307
Jul 7,vs ATL,L 5-1,3,0,0,0,0,0,0,0,2,0,0,.364,.610,.974,.303
Jul 8,vs ATL,W 10-3,4,3,2,0,0,2,4,1,0,0,0,.368,.633,1.001,.306
Jul 9,@ MIA,L 4-3,4,1,1,0,0,1,1,1,2,0,0,.368,.639,1.007,.305
Jul 10,@ MIA,W 8-4,3,1,0,0,0,0,0,2,1,0,0,.369,.631,1.000,.302
Jul 11,@ MIA,L 5-4,5,0,3,2,0,0,3,1,1,0,0,.375,.638,1.013,.307
Jul 12,@ PIT,L 6-3,4,1,1,0,0,1,1,1,0,0,0,.375,.644,1.019,.307
Jul 13,@ PIT,L 7-3,4,0,0,0,0,0,0,0,2,0,0,.370,.634,1.004,.302
Jul 14,@ PIT,L 2-1,1,0,0,0,0,0,0,0,1,0,0,.369,.632,1.001,.301
Jul 14,@ PIT,L 6-2,4,0,1,0,0,0,2,1,2,0,0,.370,.626,.996,.300
Jul 15,@ PIT,L 7-6,2,1,0,0,0,0,0,2,0,0,0,.373,.621,.994,.298
Jul 20,vs LAD,L 6-4,4,1,1,0,0,1,1,1,1,0,0,.374,.627,1.001,.297
Jul 21,vs LAD,W 4-2,4,0,0,0,0,0,0,0,2,0,0,.369,.618,.987,.293
Jul 22,vs LAD,L 11-2,Did not play
Jul 23,vs WSH,W 6-1,Did not play
Jul 24,vs WSH,W 5-4,4,0,0,0,0,0,0,1,1,0,0,.367,.609,.976,.289
Jul 25,vs WSH,L 7-3,3,0,0,0,0,0,0,0,0,0,0,.363,.603,.966,.286
