DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs SF,L 1-0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 30,vs SF,L 1-0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 31,vs SF,W 5-0,Did not play
Apr 1,vs SF,W 9-0,4,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000
Apr 2,@ ARI,L 8-7,7,1,2,1,0,0,1,1,0,0,0,.214,.231,.445,.154
Apr 3,@ ARI,L 6-1,Did not play
Apr 4,@ ARI,L 3-0,Did not play
Apr 7,@ SF,L 7-5,1,0,0,0,0,0,0,1,0,0,0,.250,.214,.464,.143
Apr 8,@ SF,W 2-1,1,0,0,0,0,0,0,0,0,0,0,.235,.200,.435,.133
Apr 10,vs OAK,W 4-0,1,0,0,0,0,0,0,0,1,0,0,.222,.188,.410,.125
Apr 11,vs OAK,L 16-6,5,1,1,1,0,0,0,0,1,0,0,.217,.238,.455,.143
Apr 13,vs ARI,L 8-7,0,0,0,0,0,0,0,1,0,0,0,.250,.238,.488,.143
Apr 14,vs ARI,L 9-1,4,0,1,0,0,0,1,0,0,0,0,.250,.240,.490,.160
Apr 15,vs ARI,W 7-2,1,0,0,0,0,0,0,0,0,0,0,.241,.231,.472,.154
Apr 16,@ SD,W 10-3,1,1,0,0,0,0,0,2,0,0,0,.281,.222,.503,.148
Apr 17,@ SD,W 7-3,0,0,0,0,0,0,0,0,0,0,0,.281,.222,.503,.148
Apr 18,@ SD,W 13-4,5,2,2,0,0,0,1,0,1,0,0,.297,.250,.547,.188
Apr 20,vs WSH,L 5-2,2,1,0,0,0,0,0,1,1,0,0,.300,.235,.535,.176
Apr 21,vs WSH,W 4-0,4,1,2,0,0,1,1,0,2,0,1,.318,.342,.660,.211
Apr 22,vs WSH,W 4-3,2,0,0,0,0,0,0,0,0,0,0,.304,.325,.629,.200
Apr 23,vs MIA,W 2-1,1,0,0,0,0,0,0,0,1,0,0,.298,.317,.615,.195
Apr 24,vs MIA,L 3-2,1,1,0,0,0,0,0,1,0,0,0,.306,.310,.616,.190
Apr 25,vs MIA,L 8-6,4,0,2,0,0,0,1,0,2,0,0,.321,.326,.647,.217
Apr 27,@ SF,L 6-4,2,0,1,0,0,0,0,1,0,0,1,.339,.333,.672,.229
Apr 28,@ SF,W 15-6,5,0,4,1,1,0,4,1,0,0,0,.387,.434,.821,.283
Apr 28,@ SF,L 8-3,2,1,0,0,0,0,0,2,0,0,0,.394,.418,.812,.273
Apr 29,@ SF,L 4-2,1,0,1,0,0,0,1,0,0,1,0,.403,.429,.832,.286
Apr 30,@ ARI,L 8-5,3,0,1,0,1,0,2,0,2,0,0,.394,.458,.852,.288
May 1,@ ARI,L 4-3,2,0,0,0,0,0,0,2,1,0,0,.408,.443,.851,.279
May 2,@ ARI,W 2-1,3,0,0,0,0,0,0,1,0,0,0,.400,.422,.822,.266
May 3,@ ARI,W 5-2,1,0,0,0,0,0,0,0,1,0,0,.395,.415,.810,.262
May 4,@ SD,W 4-0,2,0,0,0,0,0,0,0,1,0,0,.386,.403,.789,.254
May 5,@ SD,L 7-4,4,1,2,1,0,0,0,0,1,0,0,.391,.423,.814,.268
May 6,@ SD,L 3-0,1,0,1,0,0,0,0,0,0,0,0,.398,.431,.829,.278
May 8,vs ARI,L 8-5,5,0,0,0,0,0,0,1,0,0,0,.383,.403,.786,.260
May 9,vs ARI,W 6-3,Did not play
May 10,vs CIN,L 4-1,2,1,0,0,0,0,0,1,0,0,0,.381,.392,.773,.253
May 11,vs CIN,L 6-2,4,0,0,0,0,0,0,0,0,0,0,.366,.373,.739,.241
May 12,vs CIN,L 5-3,4,0,2,0,0,0,1,0,0,0,0,.371,.379,.750,.253
May 13,vs CIN,L 5-3,4,0,0,0,0,0,0,0,2,0,0,.358,.363,.721,.242
May 15,@ MIA,L 4-2,2,0,0,0,0,0,0,0,0,0,0,.351,.355,.706,.237
May 16,@ MIA,L 6-5,5,1,1,1,0,0,0,0,0,0,0,.345,.357,.702,.235
May 17,@ MIA,W 7-0,1,0,0,0,0,0,0,0,0,0,0,.342,.354,.696,.232
May 19,@ WSH,W 4-1,5,1,2,0,1,0,0,0,1,0,0,.344,.375,.719,.240
May 19,@ WSH,W 5-4,3,1,1,1,0,0,0,1,1,0,0,.349,.383,.732,.243
May 20,@ WSH,W 7-2,1,1,1,1,0,0,1,0,0,0,0,.354,.398,.752,.250
May 21,vs COL,L 2-1,4,0,0,0,0,0,0,0,1,0,0,.344,.384,.728,.241
May 22,vs COL,W 5-3,0,0,0,0,0,0,0,0,0,0,0,.344,.384,.728,.241
May 23,vs COL,W 3-0,1,0,1,1,0,0,0,0,0,0,0,.348,.398,.746,.248
May 25,vs SD,W 4-1,0,0,0,0,0,0,0,0,0,0,0,.348,.398,.746,.248
May 26,vs SD,L 7-5,4,0,1,0,0,0,1,0,1,0,0,.346,.393,.739,.248
May 27,vs SD,W 6-1,1,0,0,0,0,0,0,0,0,0,0,.343,.390,.733,.246
May 28,vs PHI,W 5-4,3,1,1,1,0,0,1,0,0,0,0,.343,.397,.740,.248
May 29,vs PHI,L 6-1,1,0,0,0,0,0,0,0,0,0,0,.340,.393,.733,.246
May 30,vs PHI,W 8-2,4,1,2,0,0,0,1,0,0,0,0,.342,.397,.739,.254
May 31,vs PHI,L 2-1,4,0,0,0,0,0,0,0,2,0,0,.333,.385,.718,.246
Jun 1,@ COL,W 11-8,1,0,0,0,0,0,0,0,0,0,0,.331,.382,.713,.244
Jun 2,@ COL,W 12-4,5,4,4,1,0,2,2,0,0,0,0,.346,.449,.795,.265
Jun 3,@ COL,W 10-7,2,0,0,0,0,0,0,0,0,0,0,.342,.442,.784,.261
Jun 5,@ PIT,W 5-0,4,1,1,0,0,1,2,0,0,0,0,.340,.458,.798,.261
Jun 6,@ PIT,L 11-9,0,0,0,0,0,0,0,0,0,0,0,.340,.458,.798,.261
Jun 7,@ PIT,W 8-7,5,3,3,1,0,2,3,0,1,0,0,.347,.510,.857,.272
Jun 8,vs ATL,W 7-3,4,1,1,0,0,1,1,0,1,0,0,.345,.523,.868,.272
Jun 9,vs ATL,L 5-3,2,0,1,1,0,0,0,0,0,0,0,.347,.529,.876,.275
Jun 10,vs ATL,W 7-2,Did not play
Jun 12,vs TEX,W 12-5,4,2,3,2,0,1,2,0,0,0,0,.356,.567,.923,.287
Jun 13,vs TEX,W 3-2,3,0,0,0,0,0,0,0,1,0,0,.350,.556,.906,.281
Jun 15,vs SF,W 3-2,0,0,0,0,0,0,0,0,0,0,0,.350,.556,.906,.281
Jun 16,vs SF,W 3-1,0,0,0,0,0,0,0,0,0,0,0,.350,.556,.906,.281
Jun 17,vs SF,L 4-1,3,0,0,0,0,0,0,0,0,0,0,.344,.546,.890,.276
Jun 19,@ CHC,W 4-3,3,1,1,0,0,1,1,1,0,0,0,.348,.560,.908,.277
Jun 19,@ CHC,L 2-1,0,0,0,0,0,0,0,1,0,0,0,.351,.560,.911,.277
Jun 20,@ CHC,L 4-0,Did not play
Jun 22,@ NYM,W 5-2,3,1,0,0,0,0,0,1,1,0,0,.349,.550,.899,.272
Jun 23,@ NYM,W 8-3,4,0,1,0,0,0,0,1,1,0,0,.350,.543,.893,.272
Jun 24,@ NYM,W 8-7,4,1,1,0,0,1,1,1,0,0,0,.351,.554,.905,.271
Jun 25,vs CHC,W 2-1,4,0,0,0,0,0,0,0,2,0,0,.345,.541,.886,.265
Jun 26,vs CHC,L 9-4,1,0,0,0,0,0,0,0,1,0,0,.343,.538,.881,.264
Jun 27,vs CHC,W 7-5,3,1,1,0,0,1,2,2,0,0,0,.349,.551,.900,.265
Jun 28,vs CHC,L 11-5,1,0,0,0,0,0,0,0,0,0,0,.347,.548,.895,.263
Jun 29,vs COL,L 3-1,Did not play
Jun 30,vs COL,L 3-1,4,0,0,0,0,0,0,0,1,0,0,.341,.537,.878,.258
Jul 1,vs COL,W 6-4,4,0,3,1,0,0,0,0,0,0,1,.348,.546,.894,.268
Jul 2,vs PIT,W 17-1,6,1,1,0,0,1,1,0,0,0,0,.344,.550,.894,.265
Jul 3,vs PIT,W 8-3,3,1,1,0,0,1,1,0,1,0,0,.346,.562,.908,.266
Jul 4,vs PIT,W 6-4,4,0,0,0,0,0,0,1,1,0,0,.343,.551,.894,.261
Jul 6,@ LAA,L 3-2,4,0,0,0,0,0,0,0,2,0,0,.338,.540,.878,.256
Jul 7,@ LAA,W 3-1,3,0,0,0,0,0,0,0,2,0,0,.333,.533,.866,.252
Jul 8,@ LAA,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.332,.530,.862,.251
Jul 9,@ SD,W 8-2,5,0,0,0,0,0,1,0,1,0,0,.325,.518,.843,.245
Jul 10,@ SD,L 4-1,Did not play
