DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 28,vs DET,L 9-5,2,1,0,0,0,0,0,2,0,0,0,.500,.000,.500,.000
Apr 29,vs DET,W 5-3,3,1,1,0,0,0,0,1,1,0,0,.500,.200,.700,.200
May 13,vs TB,W 17-1,5,3,3,0,0,2,5,0,1,0,0,.538,1.000,1.538,.400
May 16,vs PHI,L 4-1,Did not play
May 17,@ BOS,L 6-2,3,0,0,0,0,0,0,0,1,0,0,.438,.769,1.207,.308
May 18,@ BOS,W 7-4,4,0,1,1,0,0,0,0,1,0,0,.400,.706,1.106,.294
May 19,@ BOS,L 6-3,Did not play
May 20,@ BOS,L 5-0,4,0,2,0,0,0,0,0,0,0,0,.417,.667,1.084,.333
May 21,@ CHW,W 3-2,3,0,1,0,0,0,0,0,2,0,0,.407,.625,1.032,.333
May 22,@ CHW,L 3-2,0,0,0,0,0,0,0,0,0,0,0,.407,.625,1.032,.333
May 23,@ CHW,L 11-1,4,0,0,0,0,0,0,0,1,0,0,.355,.536,.891,.286
May 24,@ CHW,W 9-3,0,0,0,0,0,0,0,0,0,0,0,.355,.536,.891,.286
May 25,@ TB,W 2-0,3,0,1,0,0,0,0,0,1,0,0,.353,.516,.869,.290
May 26,@ TB,L 5-1,3,0,0,0,0,0,0,0,2,0,0,.324,.471,.795,.265
May 27,@ TB,L 8-3,Did not play
May 28,vs WSH,L 6-0,4,0,1,0,0,0,0,0,1,0,0,.317,.447,.764,.263
May 29,vs WSH,L 3-2,4,0,2,0,0,0,0,0,1,0,0,.333,.452,.785,.286
May 30,vs WSH,L 2-0,3,0,0,0,0,0,0,0,2,0,0,.313,.422,.735,.267
Jun 1,vs NYY,L 4-1,2,0,0,0,0,0,0,0,1,0,0,.300,.404,.704,.255
Jun 2,vs NYY,L 8-5,5,1,1,0,0,1,1,0,1,0,0,.291,.442,.733,.250
Jun 5,@ NYM,W 2-1,0,0,0,0,0,0,0,0,0,0,0,.291,.442,.733,.250
Jun 6,@ NYM,W 1-0,0,0,0,0,0,0,0,0,0,0,0,.304,.442,.746,.250
Jun 7,@ TOR,L 5-4,1,0,0,0,0,0,0,0,0,0,0,.298,.434,.732,.245
Jun 8,@ TOR,L 5-1,4,0,0,0,0,0,0,0,0,0,0,.279,.404,.683,.228
Jun 9,@ TOR,L 4-3,Did not play
Jun 10,@ TOR,L 13-3,3,0,0,0,0,0,0,1,1,0,0,.277,.383,.660,.217
Jun 11,vs BOS,L 2-0,3,0,0,0,0,0,0,1,0,0,0,.275,.365,.640,.206
Jun 12,vs BOS,L 6-4,4,2,1,0,0,1,1,1,0,0,0,.284,.403,.687,.209
Jun 13,vs BOS,L 5-1,5,0,0,0,0,0,0,0,1,0,0,.266,.375,.641,.194
Jun 15,vs MIA,L 2-0,Did not play
Jun 16,vs MIA,L 5-4,4,0,0,0,0,0,0,0,1,0,0,.253,.355,.608,.184
Jun 17,vs MIA,W 10-4,1,1,1,0,0,0,0,0,0,0,0,.262,.364,.626,.195
Jun 19,@ WSH,L 9-7,1,1,1,0,0,1,1,0,0,0,0,.271,.410,.681,.205
Jun 20,@ WSH,W 3-0,1,0,0,0,0,0,0,0,1,0,0,.267,.405,.672,.203
Jul 4,@ PHI,L 4-1,1,0,0,0,0,0,0,1,0,0,0,.273,.400,.673,.200
Jul 5,@ MIN,L 5-2,Did not play
Jul 6,@ MIN,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.261,.381,.642,.190
Jul 7,@ MIN,L 5-4,Did not play
Jul 8,@ MIN,L 10-1,1,0,0,0,0,0,0,0,0,0,0,.258,.376,.634,.188
Jul 9,vs NYY,W 5-4,4,0,2,0,0,0,0,0,2,1,0,.268,.382,.650,.202
Jul 9,vs NYY,L 10-2,2,1,1,0,0,0,0,1,0,0,0,.280,.385,.665,.209
Jul 10,vs NYY,W 6-5,4,0,1,1,0,0,2,0,1,0,0,.279,.389,.668,.211
Jul 11,vs NYY,L 9-0,3,0,1,0,0,0,0,0,1,0,0,.280,.388,.668,.214
Jul 12,vs PHI,L 5-4,Did not play
Jul 13,vs TEX,L 5-4,Did not play
Jul 14,vs TEX,W 1-0,0,0,0,0,0,0,0,0,0,0,0,.280,.388,.668,.214
Jul 15,vs TEX,W 6-5,3,1,0,0,0,0,0,1,0,0,0,.279,.376,.655,.208
Jul 20,@ TOR,L 8-7,Did not play
Jul 21,@ TOR,L 4-1,3,0,0,0,0,0,0,0,2,0,0,.272,.365,.637,.202
Jul 22,@ TOR,L 5-4,5,0,0,0,0,0,0,0,1,0,0,.261,.349,.610,.193
Jul 23,vs BOS,L 5-3,Did not play
Jul 24,vs BOS,W 7-6,0,0,0,0,0,0,0,0,0,0,0,.261,.349,.610,.193
