DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 14,vs SEA,W 4-1,7.1,5,1,1,0,1,6,13,7,93,27,69,W(8-7),-,5.44
Jun 28,@ SF,W 9-8,4.0,7,5,5,1,2,7,5,7,71,21,33,-,-,5.77
Jun 22,vs MIA,W 11-3,7.0,8,1,1,1,0,12,10,7,99,29,69,W(7-7),-,5.52
Jun 17,@ TEX,L 13-12,5.0,6,6,5,1,1,9,5,7,92,22,41,-,-,5.89
Jun 12,@ PHI,L 5-4,6.0,3,4,4,1,4,10,5,6,108,25,56,L(6-7),-,5.68
Jun 6,@ CIN,W 6-3,5.0,7,3,3,0,3,5,4,13,101,25,43,W(6-6),-,5.66
May 30,vs SF,L 7-4,3.1,6,4,4,0,3,5,8,4,91,20,34,-,-,5.68
May 25,vs CIN,W 5-4,6.0,6,4,4,1,3,8,10,6,100,28,49,W(5-6),-,5.40
May 19,@ SF,L 9-4,3.2,9,5,5,0,1,4,8,8,78,21,26,L(4-6),-,5.34
May 13,vs MIL,L 7-3,5.1,10,6,6,1,1,10,6,10,101,27,33,L(4-5),-,4.85
May 8,vs LAA,W 4-2,7.0,4,0,0,0,1,8,13,4,99,26,76,W(4-4),-,4.24
May 1,@ CHC,W 3-1,7.0,3,1,1,1,1,6,10,8,96,25,72,W(3-4),-,4.99
Apr 25,vs SD,W 5-2,6.0,3,0,0,0,1,11,2,6,101,20,-,W(2-4),-,5.79
Apr 20,vs CHC,L 16-5,5.0,8,7,6,1,3,1,11,11,82,26,-,L(1-4),-,7.09
Apr 14,@ WSH,L 6-2,5.2,8,5,5,1,1,6,4,14,94,25,40,L(1-3),-,6.23
Apr 9,vs SD,L 7-6,5.0,10,7,7,2,1,6,10,8,83,25,24,L(1-2),-,5.63
Apr 4,@ SD,W 5-2,7.0,4,0,0,0,0,7,7,11,93,26,76,W(1-1),-,2.45
Mar 29,@ ARI,L 8-2,4.0,6,3,3,0,3,4,8,6,86,21,39,L(0-1),-,6.75
