DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs NYY,W 3-2,0.1,0,0,0,0,0,0,1,0,4,1,-,-,H(5),3.86
Jun 24,vs NYY,W 7-6,0.0,1,0,0,0,0,0,1,0,2,1,-,-,-,3.95
Jun 23,vs NYY,W 4-0,0.0,1,0,0,0,0,0,1,0,2,1,-,-,-,3.95
Jun 18,@ HOU,L 5-4,1.0,1,0,0,0,0,2,1,1,18,4,-,-,-,3.95
Jun 15,@ NYY,L 5-0,0.2,1,0,0,0,0,1,1,1,11,3,-,-,-,4.26
Jun 12,vs TOR,W 4-1,0.1,0,0,0,0,1,0,1,0,5,2,-,-,-,4.50
Jun 11,vs TOR,W 8-4,1.0,0,0,0,0,1,1,1,0,15,3,-,-,-,4.63
Jun 6,@ WSH,L 11-2,0.1,3,5,5,0,2,1,1,2,23,6,24,L(1-1),-,5.06
Jun 3,@ SEA,L 2-1,0.1,0,0,0,0,0,0,1,0,3,1,-,-,H(4),0.87
Jun 1,@ SEA,L 4-3,1.0,0,0,0,0,0,0,1,2,10,3,-,-,-,0.90
May 29,@ OAK,W 4-3,0.1,0,0,0,0,0,0,1,0,3,1,-,-,H(3),1.00
May 28,@ OAK,W 1-0,0.1,0,0,0,0,0,1,0,0,7,1,-,-,Sv(1),1.04
May 25,vs BAL,L 2-0,0.1,0,0,0,0,0,0,1,0,5,1,-,-,-,1.08
May 18,@ LAA,W 8-3,1.2,1,0,0,0,1,3,1,2,30,7,-,-,-,1.13
May 15,@ KC,W 6-5,0.2,1,0,0,0,0,1,1,1,9,3,-,W(1-0),-,1.42
May 14,@ KC,W 2-1,0.1,0,0,0,0,0,0,1,0,4,1,-,-,H(2),1.59
May 12,@ BAL,W 10-3,1.0,0,0,0,0,0,0,3,0,16,3,-,-,-,1.69
May 11,@ BAL,L 9-4,1.0,1,1,1,1,0,1,2,1,13,4,-,-,-,2.08
May 8,vs ATL,L 1-0,1.0,0,0,0,0,0,0,3,0,7,3,-,-,-,0.00
May 1,@ DET,L 2-1,1.0,1,0,0,0,1,0,4,0,9,5,-,-,-,0.00
Apr 29,@ BOS,L 4-3,1.0,0,0,0,0,0,0,1,2,9,3,-,-,-,0.00
Apr 25,@ BAL,W 8-4,0.1,0,0,0,0,0,0,1,0,4,1,-,-,H(1),0.00
