DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ ATL,L 8-5,Did not play
Mar 30,@ ATL,W 5-4,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Mar 31,@ ATL,L 15-2,3,0,1,0,0,0,0,1,2,0,0,.400,.250,.650,.250
Apr 3,@ NYM,L 2-0,3,0,0,0,0,0,0,0,3,0,0,.250,.143,.393,.143
Apr 4,@ NYM,L 4-2,Did not play
Apr 5,vs MIA,W 5-0,2,0,0,0,0,0,0,2,1,0,0,.333,.111,.444,.111
Apr 7,vs MIA,W 20-1,5,2,3,0,0,1,2,0,2,0,0,.412,.500,.912,.286
Apr 8,vs MIA,L 6-3,Did not play
Apr 9,vs CIN,W 6-5,4,0,0,0,0,0,0,0,1,0,0,.333,.389,.722,.222
Apr 10,vs CIN,W 6-1,1,0,0,0,0,0,0,0,0,0,0,.348,.368,.716,.211
Apr 11,vs CIN,W 4-3,5,0,0,0,0,0,0,0,3,0,0,.286,.292,.578,.167
Apr 13,@ TB,W 2-1,4,0,2,0,0,0,1,0,2,0,0,.313,.321,.634,.214
Apr 14,@ TB,W 9-4,4,0,1,0,0,0,0,0,1,0,0,.306,.313,.619,.219
Apr 15,@ TB,W 10-4,Did not play
Apr 16,@ ATL,L 2-1,3,0,0,0,0,0,0,0,1,0,0,.282,.286,.568,.200
Apr 17,@ ATL,W 5-1,1,0,0,0,0,0,0,0,1,0,0,.275,.278,.553,.194
Apr 18,@ ATL,L 7-3,Did not play
Apr 19,vs PIT,W 7-0,4,0,0,0,0,0,0,0,3,0,0,.250,.250,.500,.175
Apr 20,vs PIT,W 2-1,Did not play
Apr 21,vs PIT,W 6-2,3,0,1,0,0,0,0,1,0,0,0,.271,.256,.527,.186
Apr 22,vs PIT,W 3-2,Did not play
Apr 24,vs ARI,L 8-4,4,0,0,0,0,0,0,0,3,0,0,.250,.234,.484,.170
Apr 25,vs ARI,W 5-3,Did not play
Apr 26,vs ARI,L 8-2,2,0,0,0,0,0,0,0,1,0,0,.241,.224,.465,.163
Apr 27,vs ATL,W 7-3,4,1,3,0,0,1,3,0,0,0,0,.276,.321,.597,.208
Apr 28,vs ATL,L 4-1,4,0,0,0,0,0,0,0,2,0,0,.258,.298,.556,.193
Apr 29,vs ATL,L 10-1,Did not play
Apr 30,@ MIA,L 8-4,4,1,2,0,0,1,2,0,1,0,0,.273,.361,.634,.213
May 1,@ MIA,L 2-1,4,1,2,0,0,0,0,0,2,0,0,.286,.369,.655,.231
May 2,@ MIA,W 6-0,3,0,1,0,0,0,0,1,2,0,0,.297,.368,.665,.235
May 4,@ WSH,L 7-3,4,0,0,0,0,0,0,0,3,0,0,.282,.347,.629,.222
May 5,@ WSH,W 3-1,Did not play
May 6,@ WSH,L 5-4,4,0,0,0,0,0,0,0,3,0,0,.268,.329,.597,.211
May 7,vs SF,W 11-0,3,0,1,0,0,0,0,1,0,0,0,.279,.329,.608,.215
May 8,vs SF,W 4-2,2,1,1,0,0,1,1,1,1,0,0,.292,.370,.662,.222
May 9,vs SF,W 11-3,Did not play
May 10,vs SF,W 6-3,4,0,0,0,0,0,0,0,2,0,0,.280,.353,.633,.212
May 11,vs NYM,L 3-1,3,0,1,0,0,0,0,0,0,0,0,.281,.352,.633,.216
May 13,vs NYM,W 4-2,4,0,3,0,0,0,0,0,1,0,0,.300,.370,.670,.239
May 16,@ BAL,W 4-1,Did not play
May 17,@ STL,W 6-2,4,2,2,0,0,0,0,0,1,0,0,.308,.375,.683,.250
May 18,@ STL,L 12-4,1,0,1,1,0,0,0,1,0,0,0,.321,.392,.713,.258
May 19,@ STL,W 7-6,1,0,1,0,0,0,1,0,0,0,0,.327,.398,.725,.265
May 20,@ STL,L 5-1,4,0,0,0,0,0,0,0,2,0,0,.315,.382,.697,.255
May 21,vs ATL,W 3-0,4,0,1,1,0,0,0,0,2,0,0,.313,.387,.700,.255
May 22,vs ATL,L 3-1,4,0,0,0,0,0,0,0,0,0,0,.303,.373,.676,.245
May 23,vs ATL,W 4-0,4,1,1,0,0,0,0,0,2,0,0,.301,.368,.669,.246
May 25,vs TOR,L 6-5,4,1,1,0,0,0,0,0,3,0,0,.299,.364,.663,.246
May 26,vs TOR,W 2-1,3,0,0,0,0,0,0,0,1,0,0,.292,.355,.647,.240
May 27,vs TOR,L 5-3,1,0,0,0,0,0,0,0,0,0,0,.290,.352,.642,.238
May 28,@ LAD,L 5-4,4,1,2,1,0,0,0,0,2,0,0,.296,.365,.661,.246
May 29,@ LAD,W 6-1,4,1,2,2,0,0,1,0,1,0,0,.302,.385,.687,.254
May 30,@ LAD,L 8-2,3,1,1,1,0,0,0,0,1,0,0,.308,.391,.699,.256
May 31,@ LAD,W 2-1,3,0,2,1,0,0,2,0,1,0,0,.315,.404,.719,.265
Jun 1,@ SF,L 4-0,Did not play
Jun 2,@ SF,L 2-0,3,0,1,0,1,0,0,0,1,0,0,.315,.417,.732,.266
Jun 3,@ SF,L 6-1,4,0,0,0,0,0,0,0,2,0,0,.307,.406,.713,.259
Jun 5,@ CHC,W 6-1,4,0,1,0,0,0,0,0,0,0,0,.306,.401,.707,.259
Jun 6,@ CHC,L 7-5,3,0,0,0,0,0,0,0,2,0,0,.304,.393,.697,.253
Jun 7,@ CHC,L 4-3,1,0,0,0,0,0,0,0,1,0,0,.302,.391,.693,.252
Jun 8,vs MIL,L 12-4,4,0,1,0,0,0,0,0,1,0,0,.301,.387,.688,.252
Jun 9,vs MIL,L 12-3,3,0,1,0,0,0,0,0,2,0,0,.302,.386,.688,.253
Jun 10,vs MIL,W 4-3,Did not play
Jun 12,vs COL,W 5-4,3,0,0,0,0,0,0,0,2,0,0,.297,.379,.676,.248
Jun 13,vs COL,L 7-2,4,1,1,0,0,1,1,0,1,0,0,.295,.394,.689,.248
Jun 14,vs COL,W 9-3,Did not play
Jun 15,@ MIL,L 13-2,4,0,0,0,0,0,0,0,1,0,0,.289,.385,.674,.243
Jun 16,@ MIL,W 4-1,Did not play
Jun 17,@ MIL,W 10-9,5,1,1,1,0,0,0,0,2,0,0,.286,.385,.671,.241
Jun 18,vs STL,W 6-5,Did not play
Jun 19,vs STL,L 7-6,4,0,1,0,0,0,0,0,1,0,0,.286,.382,.668,.242
Jun 20,vs STL,W 4-3,4,1,1,1,0,0,0,0,1,0,0,.285,.385,.670,.242
Jun 22,@ WSH,W 12-2,Did not play
Jun 23,@ WSH,W 5-3,3,0,1,0,0,0,1,1,1,0,0,.289,.384,.673,.243
Jun 24,@ WSH,L 8-6,1,0,0,0,0,0,0,0,0,0,0,.288,.382,.670,.242
Jun 25,vs NYY,L 4-2,4,0,1,0,0,0,0,0,3,0,0,.287,.379,.666,.242
Jun 26,vs NYY,L 6-0,Did not play
Jun 27,vs NYY,W 3-0,3,1,1,0,0,0,0,0,2,0,0,.288,.378,.666,.244
Jun 28,vs WSH,W 4-3,3,0,2,0,0,0,0,1,0,0,0,.297,.383,.680,.250
Jun 29,vs WSH,L 17-7,Did not play
Jun 30,vs WSH,W 3-2,3,1,1,1,0,0,1,0,1,0,0,.297,.387,.684,.251
Jul 1,vs WSH,W 4-3,5,1,1,0,0,0,0,0,1,0,0,.295,.382,.677,.250
Jul 3,vs BAL,W 3-2,Did not play
Jul 4,vs BAL,W 4-1,3,0,0,0,0,0,1,0,1,0,0,.291,.377,.668,.246
Jul 6,@ PIT,W 17-5,1,0,0,0,0,0,0,0,1,0,0,.290,.375,.665,.245
Jul 7,@ PIT,W 3-2,4,0,1,1,0,0,1,0,3,0,0,.289,.377,.666,.245
Jul 8,@ PIT,L 4-1,Did not play
Jul 9,@ NYM,L 4-3,Did not play
Jul 9,@ NYM,W 3-1,3,0,0,0,0,0,0,0,1,0,0,.285,.372,.657,.242
Jul 10,@ NYM,W 7-3,2,1,1,0,0,0,0,0,1,0,0,.293,.373,.666,.244
Jul 11,@ NYM,L 3-0,Did not play
Jul 12,@ BAL,W 5-4,4,2,3,1,0,1,3,0,0,0,0,.301,.398,.699,.253
Jul 13,@ MIA,W 2-0,4,0,1,0,0,0,0,0,2,0,0,.300,.396,.696,.253
Jul 14,@ MIA,L 2-0,3,0,1,1,0,0,0,0,1,0,0,.300,.399,.699,.254
