DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Jun 29,@ SEA,L 4-1,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Jun 30,@ SEA,L 6-4,4,0,2,0,0,0,0,0,0,0,0,.286,.286,.572,.286
Jul 1,@ SEA,L 1-0,2,0,0,0,0,0,0,1,1,0,0,.300,.222,.522,.222
Jul 2,vs CLE,L 9-3,4,0,2,0,0,0,1,0,0,0,0,.357,.308,.665,.308
Jul 3,vs CLE,L 6-4,3,0,1,1,0,0,0,1,0,0,0,.389,.375,.764,.313
Jul 4,vs CLE,L 3-2,4,0,0,0,0,0,0,0,2,0,0,.318,.300,.618,.250
Jul 6,vs BOS,L 10-5,4,1,2,1,0,0,0,0,1,0,0,.346,.375,.721,.292
Jul 7,vs BOS,L 15-4,3,1,1,1,0,0,0,1,1,0,0,.367,.407,.774,.296
Jul 8,vs BOS,L 7-4,5,0,2,1,0,0,2,0,1,0,0,.371,.438,.809,.313
Jul 9,@ MIN,L 3-1,4,0,1,0,0,0,0,0,2,0,0,.359,.417,.776,.306
Jul 10,@ MIN,W 9-4,Did not play
Jul 11,@ MIN,L 8-5,5,1,1,0,0,0,0,0,3,0,0,.341,.390,.731,.293
Jul 13,@ CHW,L 9-6,4,1,1,1,0,0,2,0,2,0,0,.347,.400,.747,.289
Jul 14,@ CHW,W 5-0,4,2,2,0,1,1,3,0,0,0,0,.358,.510,.868,.306
Jul 15,@ CHW,L 10-1,3,0,0,0,0,0,0,1,2,0,0,.351,.481,.832,.288
Jul 20,vs MIN,W 6-5,3,1,0,0,0,0,0,1,1,0,0,.344,.455,.799,.273
Jul 21,vs MIN,W 4-2,2,0,0,0,0,0,0,3,1,0,0,.364,.439,.803,.263
Jul 22,vs MIN,W 5-3,4,0,0,0,0,0,0,0,2,0,0,.343,.410,.753,.246
Jul 23,vs DET,L 5-4,3,1,1,1,0,0,0,1,0,0,0,.351,.422,.773,.250
Jul 24,vs DET,W 5-4,4,1,1,1,0,0,0,0,2,0,0,.346,.426,.772,.250
Jul 25,vs DET,L 8-4,4,0,0,0,0,0,0,0,0,0,0,.329,.403,.732,.236
