DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs NYY,W 3-2,1.1,2,1,1,0,1,1,1,2,22,7,-,-,H(20),2.57
Jul 23,vs NYY,W 7-6,1.1,1,0,0,0,2,0,4,1,21,7,-,-,Sv(4),2.43
Jul 21,vs MIA,L 3-2,1.0,0,0,0,0,0,1,0,2,11,3,-,-,-,2.52
Jul 10,vs DET,W 5-2,2.0,0,0,0,0,0,3,1,2,29,6,-,W(1-3),-,2.58
Jul 9,vs DET,W 10-9,0.1,1,1,0,0,0,0,1,1,5,2,-,-,H(19),2.72
Jul 7,@ NYM,W 3-0,0.1,1,0,0,0,0,0,0,2,5,2,-,-,H(18),2.75
Jul 6,@ NYM,L 5-1,0.2,0,0,0,0,0,1,1,1,11,3,-,-,-,2.78
Jul 3,@ MIA,W 9-6,0.2,0,0,0,0,1,0,2,0,14,3,-,-,Sv(3),2.83
Jun 30,vs HOU,W 5-2,1.1,0,0,0,0,1,2,2,0,21,5,-,-,H(17),2.88
Jun 29,vs HOU,W 3-2,0.1,0,0,0,0,0,0,1,0,1,1,-,-,Sv(2),3.00
Jun 26,vs WSH,W 1-0,0.0,2,0,0,0,1,0,0,2,11,3,-,-,-,3.03
Jun 24,vs NYY,W 7-6,1.1,0,1,1,0,1,2,1,1,25,5,-,-,-,3.03
Jun 22,vs NYY,W 2-1,1.1,0,0,0,0,0,0,1,3,15,4,-,-,H(16),2.87
Jun 19,@ HOU,W 2-1,0.1,1,0,0,0,0,0,0,2,7,2,-,-,H(15),3.00
Jun 18,@ HOU,L 5-4,0.1,2,0,0,0,0,1,2,0,10,3,-,-,H(14),3.03
Jun 17,@ NYY,W 3-1,0.1,1,0,0,0,2,1,1,0,19,4,-,-,-,3.07
Jun 12,vs TOR,W 4-1,1.2,0,0,0,0,0,1,3,1,23,5,-,-,H(13),3.10
Jun 10,vs SEA,L 5-4,1.0,1,2,2,1,1,2,1,1,20,5,-,L(0-3),-,3.29
Jun 6,@ WSH,L 11-2,1.0,2,1,0,0,0,0,3,2,22,5,-,-,-,2.73
Jun 3,@ SEA,L 2-1,1.0,2,2,1,0,1,3,2,1,21,7,-,L(0-2),BlSv(2),2.84
Jun 1,@ SEA,L 4-3,1.2,2,0,0,0,1,2,3,2,26,8,-,-,-,2.59
May 28,@ OAK,W 1-0,1.1,1,0,0,0,1,1,2,2,23,6,-,-,-,2.78
May 23,vs BOS,L 4-1,1.2,0,0,0,0,0,4,0,1,30,5,-,-,-,2.95
May 20,@ LAA,L 5-2,1.1,1,1,1,0,2,1,0,4,28,8,-,-,-,3.20
May 15,@ KC,W 6-5,1.2,2,2,2,0,1,1,5,1,28,8,-,-,H(12),2.95
May 14,@ KC,W 2-1,0.1,0,0,0,0,0,0,0,1,3,1,-,-,H(11),2.16
May 12,@ BAL,W 10-3,1.1,0,0,0,0,1,1,1,1,19,4,-,-,H(10),2.20
May 5,vs TOR,W 5-3,0.1,0,0,0,0,0,0,1,0,3,1,-,-,H(9),2.40
May 2,@ DET,L 3-2,0.2,0,0,0,0,0,0,0,2,8,2,-,-,-,2.45
Apr 30,@ DET,W 3-2,0.2,1,0,0,0,1,0,2,1,21,4,-,-,Sv(1),2.57
Apr 28,@ BOS,W 12-6,1.1,1,0,0,0,0,2,3,0,16,5,-,-,H(8),2.70
Apr 26,@ BAL,W 9-5,1.0,0,0,0,0,0,0,2,0,8,2,-,-,H(7),3.00
Apr 25,@ BAL,W 8-4,1.0,0,0,0,0,0,1,1,1,15,3,-,-,-,3.27
Apr 22,vs MIN,W 8-6,1.1,2,2,2,0,0,1,3,1,14,5,-,-,H(6),3.60
Apr 20,vs MIN,W 8-7,0.2,0,1,1,0,1,2,0,0,14,3,-,-,H(5),2.08
Apr 18,vs TEX,W 4-2,1.0,0,0,0,0,0,1,2,0,11,3,-,-,H(4),1.13
Apr 13,vs PHI,L 2-1,0.2,1,0,0,0,1,2,0,1,9,4,-,-,BlSv(1),1.29
Apr 11,@ CHW,L 2-1,1.0,0,0,0,0,1,2,1,1,20,5,-,-,H(3),1.42
Apr 9,@ CHW,W 5-4,0.1,1,0,0,0,0,0,1,1,7,2,-,-,H(2),1.69
Apr 8,@ BOS,L 8-7,1.0,0,0,0,0,1,0,2,1,15,4,-,-,-,1.80
Apr 5,@ BOS,L 3-2,1.0,0,0,0,0,0,2,1,0,8,3,-,-,H(1),2.25
Apr 4,@ NYY,L 7-2,1.0,0,0,0,0,0,1,2,0,8,3,-,-,-,3.00
Apr 1,vs BOS,L 2-1,1.0,1,1,1,0,0,1,2,1,17,4,-,L(0-1),-,4.50
Mar 30,vs BOS,L 1-0,1.0,2,0,0,0,0,1,3,0,16,4,-,-,-,0.00
