DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs CHW,L 5-3,0.2,1,0,0,0,0,1,1,1,13,3,-,-,-,3.24
Jul 21,vs HOU,L 7-0,0.0,2,3,3,1,1,0,1,1,12,3,-,-,-,INF
Jul 20,vs HOU,L 3-1,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,2.63
Jul 14,@ LAD,W 5-4,1.1,1,0,0,0,1,1,0,4,21,6,-,W(4-3),-,2.66
Jul 13,@ LAD,L 3-2,1.0,2,0,0,0,0,0,3,2,16,5,-,-,-,2.75
Jul 10,vs SEA,W 9-3,0.2,1,0,0,0,0,1,1,2,18,4,-,-,-,2.82
Jul 7,vs LAD,L 3-1,0.2,0,0,0,0,1,0,2,0,10,3,-,-,-,2.87
Jul 5,@ SEA,L 4-1,0.1,0,0,0,0,0,0,1,0,3,1,-,-,-,2.92
Jul 4,@ SEA,W 7-4,0.0,1,0,0,0,1,0,0,1,9,2,-,-,-,2.95
Jun 30,@ BAL,W 6-2,1.0,1,0,0,0,0,0,1,3,14,4,-,-,-,2.95
Jun 28,@ BOS,L 4-2,0.2,1,0,0,0,2,0,1,1,14,4,-,-,-,3.03
Jun 27,@ BOS,L 9-6,1.0,2,2,2,0,1,0,2,3,26,6,-,L(3-3),-,3.09
Jun 24,vs TOR,L 7-6,1.0,1,0,0,0,0,0,2,2,22,4,-,-,-,2.65
Jun 23,vs TOR,L 4-1,1.1,0,0,0,0,1,1,1,2,11,5,-,-,-,2.73
Jun 19,vs ARI,W 5-4,1.0,1,1,1,0,1,1,1,2,30,5,-,W(3-2),-,2.84
Jun 17,@ OAK,L 6-5,0.1,0,0,0,0,0,1,0,0,4,1,-,-,H(6),2.64
Jun 13,@ SEA,L 8-6,1.0,1,1,1,0,0,1,3,0,13,4,-,-,-,2.67
Jun 12,@ SEA,L 6-3,0.0,2,1,1,0,0,0,0,2,6,2,-,-,-,INF
Jun 11,@ SEA,L 5-3,1.0,0,0,0,0,0,2,1,0,12,3,-,-,-,2.15
Jun 8,@ MIN,W 4-2,1.1,1,0,0,0,0,1,2,2,21,5,-,-,H(5),2.22
Jun 6,vs KC,W 4-3,1.0,0,0,0,0,0,2,1,0,15,3,-,-,H(4),2.33
Jun 4,vs KC,W 9-6,0.1,0,0,0,0,0,0,0,1,1,1,-,-,-,2.42
Jun 2,vs TEX,L 3-2,1.0,2,1,1,0,1,1,2,2,27,6,-,L(2-2),-,2.45
Jun 1,vs TEX,W 6-0,1.0,0,0,0,0,0,0,1,2,7,3,-,-,-,2.19
May 29,@ DET,W 9-2,0.2,0,0,0,0,0,0,1,1,5,2,-,-,-,2.28
May 27,@ NYY,L 3-1,1.2,1,0,0,0,0,3,2,1,30,7,-,-,-,2.35
May 25,@ NYY,L 2-1,0.1,0,0,0,0,0,0,1,0,1,1,-,-,-,2.53
May 24,@ TOR,W 8-1,1.1,0,0,0,0,0,1,2,1,13,4,-,-,-,2.57
May 18,vs TB,L 8-3,1.0,1,1,0,0,0,1,2,2,24,5,-,-,-,2.75
May 15,vs HOU,L 5-3,0.1,3,3,3,0,1,0,0,4,24,5,-,L(2-1),BlSv(3),2.89
May 10,vs MIN,W 7-4,1.0,1,1,1,1,0,3,0,1,22,4,-,W(2-0),BlSv(2),1.47
May 9,@ COL,W 8-0,1.0,2,0,0,0,0,3,0,2,19,5,-,-,-,1.04
May 6,@ SEA,W 8-2,2.0,0,0,0,0,1,0,3,2,19,6,-,-,-,1.10
May 5,@ SEA,L 9-8,0.2,1,1,1,0,0,0,2,1,8,3,-,-,H(3),1.26
May 1,vs BAL,W 3-2,0.2,0,0,0,0,0,0,1,1,15,2,-,-,H(2),0.66
Apr 29,vs NYY,L 2-1,1.0,0,0,0,0,0,0,1,2,12,3,-,-,-,0.69
Apr 28,vs NYY,L 11-1,1.0,0,0,0,0,0,2,1,0,11,3,-,-,-,0.75
Apr 24,@ HOU,W 8-7,0.1,2,1,1,1,0,0,1,2,11,3,-,-,BlSv(1),0.82
Apr 22,vs SF,L 4-2,1.0,2,0,0,0,0,2,1,2,20,5,-,-,-,0.00
Apr 21,vs SF,W 4-3,0.1,0,0,0,0,0,0,0,1,3,1,-,-,H(1),0.00
Apr 19,vs BOS,L 8-2,0.0,2,0,0,0,0,0,0,2,3,2,-,-,-,0.00
Apr 18,vs BOS,L 9-0,1.1,1,0,0,0,0,2,2,1,19,5,-,-,-,0.00
Apr 14,@ KC,W 5-3,1.0,1,0,0,0,0,3,1,0,21,4,-,-,-,0.00
Apr 13,@ KC,W 5-4,0.1,0,0,0,0,0,0,1,0,4,1,-,-,-,0.00
Apr 11,@ TEX,W 7-2,1.2,0,0,0,0,1,2,2,1,23,6,-,-,-,0.00
Apr 9,@ TEX,W 8-3,0.2,0,0,0,0,0,0,0,2,7,2,-,W(1-0),-,0.00
Apr 6,vs OAK,W 13-9,1.1,0,0,0,0,1,1,2,1,24,5,-,-,-,0.00
Apr 4,vs CLE,W 3-2,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,0.00
Apr 2,vs CLE,L 6-0,1.2,0,0,0,0,1,1,3,1,24,6,-,-,-,0.00
Mar 31,@ OAK,W 8-3,0.2,2,0,0,0,0,0,3,1,13,4,-,-,-,0.00
Mar 29,@ OAK,L 6-5,0.1,0,0,0,0,0,1,0,0,4,1,-,-,-,0.00
