DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ TOR,W 5-0,7.0,4,0,0,0,1,9,8,7,102,25,77,W(10-7),-,3.48
Jul 14,vs TB,L 19-6,6.0,6,6,6,0,3,5,7,11,94,27,-,-,-,3.68
Jul 9,vs KC,W 3-1,7.0,6,1,1,0,0,8,10,8,111,27,69,W(9-7),-,3.41
Jul 4,@ MIL,L 3-2,7.0,5,3,3,3,2,3,7,15,97,27,56,L(8-7),-,3.54
Jun 29,@ CHC,L 10-6,4.1,6,6,6,2,4,2,7,9,78,23,25,L(8-6),-,3.52
Jun 24,vs TEX,W 2-0,7.0,3,0,0,0,2,12,5,6,107,25,-,W(8-5),-,3.15
Jun 19,vs BOS,W 6-2,6.1,5,1,1,1,3,6,7,11,101,28,62,-,-,3.38
Jun 13,@ DET,L 5-2,6.0,7,1,1,1,1,7,8,10,98,27,-,-,-,3.51
Jun 7,vs CHW,W 7-2,9.0,6,2,2,0,0,10,6,15,109,31,77,W(7-5),-,3.66
Jun 1,vs CLE,W 7-4,6.0,5,4,4,1,1,7,7,9,99,24,52,W(6-5),-,3.86
May 27,@ SEA,L 3-1,7.1,8,2,2,1,1,8,7,14,106,30,61,L(5-5),-,3.67
May 21,vs DET,W 4-2,8.0,3,2,2,1,2,9,6,11,107,28,75,W(5-4),-,3.82
May 15,vs STL,W 4-1,7.1,2,1,1,0,1,10,8,6,102,26,79,W(4-4),-,4.05
May 10,@ LAA,L 7-4,5.1,7,5,5,2,1,2,7,12,78,24,35,L(3-4),-,4.50
May 4,@ CHW,W 6-4,6.0,6,4,4,2,2,2,9,13,99,26,-,W(3-3),-,3.98
Apr 29,vs CIN,L 8-2,3.0,5,4,4,0,3,0,6,8,60,17,30,L(2-3),-,3.63
Apr 24,@ NYY,L 8-3,4.0,6,5,5,2,2,7,5,6,93,21,35,L(2-2),-,2.84
Apr 18,vs CLE,W 2-1,7.0,3,0,0,0,0,5,8,11,84,24,76,-,-,1.63
Apr 12,vs CHW,W 4-0,7.0,3,0,0,0,0,11,7,5,99,24,82,W(2-1),-,2.18
Apr 7,vs SEA,L 11-4,4.2,6,5,5,1,0,7,5,8,77,20,39,L(1-1),-,3.29
Apr 1,@ BAL,W 7-0,9.0,3,0,0,0,1,6,11,13,107,31,86,W(1-0),-,0.00
