DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
May 20,vs TB,W 5-2,Did not play
May 22,@ TOR,L 5-3,Did not play
May 23,@ TOR,W 5-4,Did not play
May 24,@ TOR,W 8-1,Did not play
May 25,@ NYY,L 2-1,Did not play
May 26,@ NYY,W 11-4,4,2,2,0,0,1,2,1,2,0,0,.600,1.250,1.850,.500
May 27,@ NYY,L 3-1,Did not play
May 28,@ DET,L 9-3,1,0,0,0,0,0,0,0,0,0,0,.500,1.000,1.500,.400
May 29,@ DET,W 9-2,Did not play
May 30,@ DET,L 6-1,Did not play
May 31,@ DET,L 6-2,4,1,2,0,0,1,1,0,1,0,0,.500,1.111,1.611,.444
Jun 1,vs TEX,W 6-0,Did not play
Jun 2,vs TEX,L 3-2,Did not play
Jun 3,vs TEX,W 3-1,3,0,0,0,0,0,0,0,0,0,0,.385,.833,1.218,.333
Jun 4,vs KC,W 9-6,0,0,0,0,0,0,0,0,0,0,0,.385,.833,1.218,.333
Jun 5,vs KC,W 1-0,Did not play
Jun 6,vs KC,W 4-3,Did not play
Jun 8,@ MIN,W 4-2,Did not play
Jun 9,@ MIN,W 2-1,3,0,0,0,0,0,0,0,0,0,0,.313,.667,.980,.267
Jun 10,@ MIN,L 7-5,Did not play
Jun 11,@ SEA,L 5-3,Did not play
Jun 12,@ SEA,L 6-3,Did not play
Jun 13,@ SEA,L 8-6,Did not play
Jun 15,@ OAK,W 8-4,4,1,3,1,0,0,1,0,1,0,0,.400,.737,1.137,.368
Jun 16,@ OAK,L 6-4,Did not play
Jun 17,@ OAK,L 6-5,Did not play
Jun 18,vs ARI,L 7-4,1,0,1,0,0,0,0,0,0,0,0,.429,.750,1.179,.400
Jun 19,vs ARI,W 5-4,Did not play
Jun 21,vs TOR,W 8-5,Did not play
Jun 22,vs TOR,W 2-1,Did not play
Jun 23,vs TOR,L 4-1,4,0,1,0,0,0,0,0,1,0,0,.400,.667,1.067,.375
Jun 24,vs TOR,L 7-6,Did not play
Jun 25,@ KC,L 2-0,Did not play
Jun 26,@ BOS,L 9-1,0,0,0,0,0,0,0,0,0,0,0,.400,.667,1.067,.375
Jun 27,@ BOS,L 9-6,Did not play
Jun 28,@ BOS,L 4-2,3,0,0,0,0,0,0,0,2,0,0,.357,.593,.950,.333
Jun 29,@ BAL,W 7-1,Did not play
Jun 30,@ BAL,W 6-2,Did not play
Jul 1,@ BAL,L 8-2,3,0,0,0,0,0,0,0,1,0,0,.323,.533,.856,.300
Jul 3,@ SEA,L 4-1,Did not play
Jul 4,@ SEA,W 7-4,Did not play
Jul 5,@ SEA,L 4-1,Did not play
Jul 6,vs LAD,W 3-2,3,0,1,0,0,0,0,0,2,0,0,.324,.515,.839,.303
Jul 7,vs LAD,L 3-1,Did not play
Jul 8,vs LAD,W 4-3,Did not play
Jul 10,vs SEA,W 9-3,Did not play
Jul 11,vs SEA,L 3-0,Did not play
Jul 12,vs SEA,W 11-2,Did not play
Jul 13,@ LAD,L 3-2,4,0,1,0,0,0,0,0,2,0,0,.316,.486,.802,.297
Jul 14,@ LAD,W 5-4,Did not play
Jul 15,@ LAD,L 5-3,Did not play
Jul 20,vs HOU,L 3-1,Did not play
Jul 21,vs HOU,L 7-0,1,0,1,0,0,0,0,0,0,0,0,.333,.500,.833,.316
Jul 22,vs HOU,W 14-5,4,0,0,0,0,0,0,0,3,0,0,.302,.452,.754,.286
Jul 23,vs CHW,L 5-3,0,0,0,0,0,0,0,0,0,0,0,.302,.452,.754,.286
Jul 24,vs CHW,L 4-2,Did not play
