DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 4,@ OAK,L 4-2,0.2,0,1,1,0,1,1,0,1,20,3,-,L(1-2),-,2.84
Jul 1,vs PIT,L 7-5,1.0,0,0,0,0,0,2,0,1,18,3,-,-,-,2.25
Jun 29,vs PIT,L 6-3,1.0,1,0,0,0,0,0,1,2,11,3,-,-,-,2.45
Jun 27,@ TEX,L 5-2,0.2,1,1,1,1,1,0,0,3,14,4,-,-,-,2.70
Jun 23,@ SF,L 5-3,0.2,0,0,0,0,0,1,0,1,9,2,-,-,-,1.93
Jun 22,@ SF,W 6-2,0.1,0,0,0,0,0,0,0,1,1,1,-,-,H(2),2.08
Jun 21,@ SF,L 3-0,1.0,0,0,0,0,0,1,1,1,18,3,-,-,-,2.16
Jun 19,vs OAK,L 4-2,0.0,1,0,0,0,0,0,0,1,5,1,-,-,-,2.45
Jun 17,@ ATL,L 4-1,1.1,2,2,2,0,1,1,2,3,24,7,-,L(1-1),-,2.45
Jun 15,@ ATL,W 9-3,2.0,0,0,0,0,1,3,1,2,25,7,-,-,-,0.00
Jun 13,@ STL,W 4-2,1.1,0,0,0,0,0,4,0,0,19,4,-,-,H(1),0.00
Jun 6,vs ATL,W 3-1,1.2,1,0,0,0,0,2,2,2,25,7,-,W(1-0),-,0.00
Jun 2,vs CIN,W 8-2,1.0,0,0,0,0,0,3,0,0,16,3,-,-,-,0.00
