DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs STL,W 9-4,Did not play
Mar 31,vs STL,W 6-2,Did not play
Apr 1,vs STL,L 5-1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 3,vs PHI,W 2-0,2,0,0,0,0,0,0,1,0,0,1,.250,.000,.250,.000
Apr 4,vs PHI,W 4-2,Did not play
Apr 5,@ WSH,W 8-2,4,0,0,0,0,0,0,0,0,0,0,.125,.000,.125,.000
Apr 7,@ WSH,W 3-2,1,0,0,0,0,0,0,0,0,0,0,.111,.000,.111,.000
Apr 8,@ WSH,W 6-5,1,0,0,0,0,0,0,0,1,0,0,.100,.000,.100,.000
Apr 9,@ MIA,W 4-2,1,0,0,0,0,0,0,0,0,0,0,.091,.000,.091,.000
Apr 10,@ MIA,W 8-6,Did not play
Apr 11,@ MIA,W 4-1,1,0,0,0,0,0,0,0,0,0,0,.083,.000,.083,.000
Apr 13,vs MIL,W 6-5,1,0,0,0,0,0,0,0,0,0,0,.077,.000,.077,.000
Apr 14,vs MIL,L 5-1,Did not play
Apr 15,vs MIL,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.059,.000,.059,.000
Apr 16,vs WSH,L 8-6,0,0,0,0,0,0,0,0,0,0,0,.059,.000,.059,.000
Apr 17,vs WSH,L 5-2,1,0,0,0,0,0,0,0,1,0,0,.056,.000,.056,.000
Apr 18,vs WSH,W 11-5,1,0,0,0,0,0,0,0,0,0,0,.053,.000,.053,.000
Apr 19,@ ATL,L 12-4,2,0,0,0,0,0,0,0,0,0,0,.048,.000,.048,.000
Apr 20,@ ATL,W 5-3,Did not play
Apr 21,@ ATL,L 4-3,4,1,3,0,0,0,0,0,0,1,0,.160,.125,.285,.125
Apr 24,@ STL,W 6-5,0,0,0,0,0,0,0,0,0,0,0,.160,.125,.285,.125
Apr 25,@ STL,L 9-1,Did not play
Apr 26,@ STL,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.154,.120,.274,.120
Apr 27,@ SD,W 5-1,Did not play
Apr 28,@ SD,L 12-2,1,0,0,0,0,0,0,0,0,0,0,.148,.115,.263,.115
Apr 29,@ SD,W 14-2,5,3,2,0,0,1,1,1,0,1,0,.212,.258,.470,.161
May 1,vs ATL,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.206,.250,.456,.156
May 2,vs ATL,L 7-0,Did not play
May 3,vs ATL,L 11-0,4,0,0,0,0,0,0,0,0,0,0,.184,.222,.406,.139
May 4,vs COL,L 8-7,0,0,0,0,0,0,0,0,0,0,0,.184,.222,.406,.139
May 5,vs COL,L 2-0,Did not play
May 6,vs COL,L 3-2,0,0,0,0,0,0,0,0,0,0,0,.184,.222,.406,.139
May 7,@ CIN,W 7-6,0,0,0,0,0,0,0,0,0,0,0,.184,.222,.406,.139
May 8,@ CIN,L 7-2,4,0,0,0,0,0,0,0,1,0,0,.167,.200,.367,.125
May 9,@ CIN,L 2-1,1,0,0,0,0,0,0,0,0,0,0,.163,.195,.358,.122
May 11,@ PHI,W 3-1,2,0,1,0,0,0,0,0,0,0,0,.178,.209,.387,.140
May 13,@ PHI,L 4-2,0,0,0,0,0,0,0,0,0,0,0,.178,.209,.387,.140
May 15,vs TOR,W 12-2,5,1,1,0,0,0,0,0,1,0,0,.180,.208,.388,.146
May 16,vs TOR,L 12-1,1,0,0,0,0,0,0,0,1,0,0,.176,.204,.380,.143
May 18,vs ARI,W 3-1,0,0,0,0,0,0,0,1,0,0,0,.192,.204,.396,.143
May 19,vs ARI,W 5-4,4,0,0,0,0,0,0,0,0,0,0,.179,.189,.368,.132
May 20,vs ARI,W 4-1,Did not play
May 21,vs MIA,W 2-0,Did not play
May 22,vs MIA,L 5-1,2,0,1,0,0,0,0,1,0,0,0,.203,.200,.403,.145
May 23,vs MIA,L 2-1,0,0,0,0,0,0,0,0,0,0,0,.203,.200,.403,.145
May 24,@ MIL,W 5-0,Did not play
May 25,@ MIL,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.200,.196,.396,.143
May 26,@ MIL,L 17-6,3,0,1,1,0,0,2,1,0,0,0,.219,.220,.439,.153
May 27,@ MIL,L 8-7,Did not play
May 28,@ ATL,L 4-3,Did not play
May 28,@ ATL,W 8-5,5,1,1,0,0,0,0,0,2,0,0,.217,.219,.436,.156
May 29,@ ATL,L 7-6,4,0,0,0,0,0,0,0,1,0,0,.205,.206,.411,.147
May 30,@ ATL,W 4-1,Did not play
May 31,vs CHC,L 5-1,1,0,0,0,0,0,0,0,0,0,0,.203,.203,.406,.145
Jun 1,vs CHC,L 7-4,1,0,0,0,0,0,0,1,0,0,0,.211,.200,.411,.143
Jun 2,vs CHC,L 7-1,1,0,0,0,0,0,0,0,0,0,0,.208,.197,.405,.141
Jun 3,vs CHC,L 2-0,Did not play
Jun 5,vs BAL,L 2-1,Did not play
Jun 6,vs BAL,L 1-0,0,0,0,0,0,0,0,0,0,0,0,.208,.197,.405,.141
Jun 8,vs NYY,L 4-1,Did not play
Jun 9,vs NYY,L 4-3,1,0,0,0,0,0,0,0,0,0,0,.205,.194,.399,.139
Jun 10,vs NYY,W 2-0,2,1,1,0,0,0,0,0,0,0,0,.213,.203,.416,.149
Jun 12,@ ATL,L 8-2,Did not play
Jun 13,@ ATL,L 2-0,Did not play
Jun 14,@ ARI,L 6-3,Did not play
Jun 15,@ ARI,L 7-3,1,1,1,1,0,0,0,0,0,0,0,.222,.227,.449,.160
Jun 16,@ ARI,W 5-1,1,0,0,0,0,0,0,0,0,0,0,.220,.224,.444,.158
Jun 17,@ ARI,W 5-3,3,1,1,0,0,0,0,1,0,1,0,.233,.228,.461,.165
Jun 18,@ COL,W 12-2,1,1,0,0,0,0,0,0,0,0,0,.230,.225,.455,.163
Jun 19,@ COL,L 10-8,0,1,0,0,0,0,0,1,0,0,0,.239,.225,.464,.163
Jun 20,@ COL,L 10-8,3,1,1,1,0,0,0,2,0,0,0,.258,.241,.499,.169
Jun 21,@ COL,L 6-4,3,0,1,0,0,0,1,1,1,0,0,.268,.244,.512,.174
Jun 22,vs LAD,L 5-2,1,0,1,0,0,0,0,0,0,0,0,.276,.253,.529,.184
Jun 23,vs LAD,L 8-3,2,0,0,0,0,0,0,0,0,0,0,.270,.247,.517,.180
Jun 24,vs LAD,L 8-7,5,0,0,0,0,0,0,0,0,0,0,.257,.234,.491,.170
Jun 25,vs PIT,L 6-4,4,1,2,1,0,0,0,0,1,0,0,.266,.255,.521,.184
Jun 26,vs PIT,W 4-3,4,0,1,0,0,0,0,0,0,1,0,.265,.255,.520,.186
Jun 27,vs PIT,L 5-3,Did not play
Jun 29,@ MIA,L 8-2,1,0,0,0,0,0,0,0,1,0,0,.263,.252,.515,.184
Jun 30,@ MIA,L 5-2,1,0,0,0,0,0,0,0,0,0,0,.261,.250,.511,.183
Jul 1,@ MIA,W 5-2,2,0,0,0,0,0,0,0,1,0,0,.256,.245,.501,.179
Jul 3,@ TOR,L 8-6,0,0,0,0,0,0,0,0,0,0,0,.256,.245,.501,.179
Jul 4,@ TOR,W 6-3,4,0,0,0,0,0,0,0,2,0,0,.248,.236,.484,.173
Jul 6,vs TB,W 5-1,Did not play
Jul 7,vs TB,L 3-0,1,0,1,1,0,0,0,0,0,0,0,.254,.252,.506,.180
Jul 8,vs TB,L 9-0,3,0,0,0,0,0,0,0,1,0,0,.248,.246,.494,.175
Jul 9,vs PHI,W 4-3,2,0,0,0,0,0,0,0,1,0,0,.244,.241,.485,.172
Jul 9,vs PHI,L 3-1,3,0,0,0,0,0,0,0,2,0,0,.238,.235,.473,.168
Jul 10,vs PHI,L 7-3,3,1,1,0,0,0,0,1,1,0,0,.246,.238,.484,.172
Jul 11,vs PHI,W 3-0,3,1,0,0,0,0,0,1,0,0,0,.246,.232,.478,.168
Jul 12,vs WSH,L 5-4,3,0,0,0,0,0,0,1,0,0,0,.246,.227,.473,.164
Jul 13,vs WSH,W 4-2,2,0,0,0,0,0,0,0,1,0,0,.243,.223,.466,.162
Jul 14,vs WSH,W 7-4,4,1,2,0,0,0,1,0,1,0,0,.250,.231,.481,.172
Jul 15,vs WSH,L 6-1,4,0,2,1,0,0,1,0,1,0,0,.257,.246,.503,.181
