DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs WSH,W 6-1,0.1,1,0,0,0,0,1,1,0,10,2,-,-,H(16),1.43
Jul 21,vs LAD,W 4-2,2.0,1,0,0,0,0,4,0,3,33,7,-,-,H(15),1.44
Jul 15,@ PIT,L 7-6,1.2,0,0,0,0,0,4,1,0,22,5,-,-,-,1.50
Jul 9,@ MIA,L 4-3,1.2,4,2,2,2,1,2,3,3,35,9,-,-,BlSv(3),1.55
Jul 3,vs MIN,W 2-0,3.0,0,0,0,0,1,2,3,4,36,10,-,-,H(14),1.21
Jun 29,@ CIN,W 8-2,1.0,0,0,0,0,1,1,1,0,18,3,-,-,H(13),1.30
Jun 27,vs KC,L 5-4,0.2,2,1,1,0,0,0,1,3,13,4,-,-,-,1.33
Jun 26,vs KC,W 5-1,0.1,0,0,0,0,0,0,0,1,2,1,-,-,Sv(7),1.13
Jun 22,vs STL,W 2-1,1.0,0,0,0,0,0,3,0,0,15,3,-,-,-,1.13
Jun 18,@ PIT,L 1-0,0.2,1,0,0,0,1,2,1,0,16,4,-,-,-,1.16
Jun 13,vs CHC,W 1-0,1.0,1,0,0,0,0,3,0,1,18,4,-,-,H(12),1.18
Jun 11,vs CHC,L 7-2,1.2,1,1,1,0,2,2,0,4,35,8,-,-,BlSv(2),1.22
Jun 9,@ PHI,W 12-3,1.0,0,0,0,0,0,1,1,1,13,3,-,-,H(11),1.02
Jun 2,@ CHW,W 5-0,1.1,0,0,0,0,1,3,0,1,21,5,-,-,H(10),1.05
May 30,vs STL,W 3-2,1.2,2,0,0,0,2,4,2,1,33,9,-,-,H(9),1.09
May 25,vs NYM,W 4-3,2.0,0,0,0,0,1,4,2,0,31,7,-,-,H(8),1.15
May 22,vs ARI,W 1-0,2.0,1,0,0,0,2,2,0,3,30,7,-,-,H(7),1.23
May 19,@ MIN,W 5-4,2.1,0,0,0,0,1,6,1,0,32,8,-,W(2-0),-,1.32
May 14,@ ARI,W 7-2,2.0,2,0,0,0,0,2,1,5,31,8,-,-,H(6),1.44
May 11,@ COL,W 11-10,1.0,0,0,0,0,0,2,0,1,19,3,-,-,Sv(6),1.57
May 8,vs CLE,W 3-2,2.0,0,0,0,0,0,3,0,3,26,6,-,-,Sv(5),1.64
May 5,vs PIT,W 5-3,2.0,1,2,2,1,1,4,0,3,39,8,-,W(1-0),BlSv(1),1.80
Apr 30,@ CIN,W 6-5,2.2,0,0,0,0,1,8,0,0,37,9,-,-,Sv(4),1.00
Apr 25,@ KC,W 6-2,0.2,0,0,0,0,0,2,0,0,11,2,-,-,H(5),1.17
Apr 22,vs MIA,W 4-2,2.0,1,1,0,0,1,3,0,3,34,7,-,-,Sv(3),1.23
Apr 21,vs MIA,W 6-5,1.0,0,0,0,0,0,1,1,1,12,3,-,-,-,1.42
Apr 17,vs CIN,W 2-0,2.0,1,0,0,0,0,3,0,4,29,7,-,-,Sv(2),1.54
Apr 14,@ NYM,W 5-1,2.0,0,0,0,0,0,5,0,1,23,6,-,-,Sv(1),1.86
Apr 11,@ STL,W 3-2,1.1,1,1,1,1,0,3,1,1,20,5,-,-,H(4),2.35
Apr 9,@ STL,W 5-4,1.1,0,0,0,0,1,4,0,0,30,5,-,-,H(3),1.42
Apr 6,vs CHC,W 5-4,2.0,0,1,1,0,1,3,1,2,41,7,-,-,-,1.80
Mar 31,@ SD,W 7-3,2.0,0,0,0,0,0,4,0,2,29,6,-,-,H(2),0.00
Mar 29,@ SD,W 2-1,1.0,1,0,0,0,1,3,1,0,21,5,-,-,H(1),0.00
