DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ LAA,W 4-2,0.0,1,0,0,0,1,0,0,1,14,3,-,-,-,3.32
Jul 23,@ LAA,W 5-3,0.1,1,0,0,0,0,1,1,0,10,2,-,-,H(4),3.32
Jul 20,@ SEA,L 3-1,0.1,1,0,0,0,0,0,2,0,11,3,-,-,-,3.38
Jul 13,vs KC,W 9-6,0.1,0,0,0,0,0,0,0,1,3,1,-,-,H(3),3.44
Jul 11,vs STL,W 4-0,0.1,0,0,0,0,0,1,0,0,5,1,-,-,H(2),3.50
Jul 7,@ HOU,L 12-6,0.2,1,0,0,0,2,0,1,1,20,4,-,-,-,3.57
Jul 5,@ HOU,L 4-3,1.1,0,0,0,0,1,1,2,1,28,5,-,-,-,3.71
Jul 4,@ CIN,L 7-4,0.1,0,0,0,0,0,0,1,0,4,1,-,-,-,4.02
Jul 2,@ CIN,L 5-3,0.0,0,0,0,0,1,0,0,0,4,1,-,-,-,4.11
Jun 30,@ TEX,L 13-4,1.1,1,1,0,0,0,3,2,0,17,5,-,-,-,4.11
Jun 29,@ TEX,L 11-3,1.1,0,0,0,0,0,2,3,0,16,5,-,-,-,4.50
Jun 27,vs MIN,W 6-1,0.2,1,1,1,0,2,0,2,1,28,5,-,-,-,4.97
Jun 26,vs MIN,W 8-4,0.1,0,0,0,0,0,0,1,0,1,1,-,-,H(1),4.50
Jun 23,vs OAK,L 7-6,1.0,2,1,1,0,0,2,2,1,25,5,-,L(0-2),-,4.63
Jun 22,vs OAK,L 11-2,2.0,1,0,0,0,0,2,1,4,31,7,-,-,-,4.22
Jun 20,@ CLE,L 12-0,1.0,1,0,0,0,0,1,3,0,19,5,-,-,-,5.19
Jun 18,@ CLE,L 6-2,1.1,1,0,0,0,0,2,2,1,30,5,-,-,-,5.87
Jun 15,vs DET,L 4-3,2.0,1,1,1,0,1,4,2,2,45,9,-,L(0-1),-,7.11
Jun 14,vs CLE,L 5-2,1.0,1,1,0,0,1,1,3,1,25,6,-,-,-,8.31
May 3,vs MIN,W 6-5,0.1,0,0,0,0,0,0,1,0,6,1,-,-,-,10.80
Apr 28,@ KC,L 5-2,2.0,1,1,1,0,4,4,0,3,49,11,-,-,-,12.00
Apr 3,@ TOR,L 14-5,0.1,1,0,0,0,0,0,0,2,12,2,-,-,-,18.00
Mar 29,@ KC,W 14-7,0.2,1,2,2,0,1,1,1,1,24,4,-,-,-,27.00
