DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs SF,W 3-2,0.2,1,0,0,0,0,1,1,0,11,3,-,-,BlSv(6),5.77
Jul 24,vs SF,L 4-3,1.0,0,0,0,0,0,2,1,0,14,3,-,-,-,5.87
Jul 22,vs CHW,W 8-2,0.1,0,0,0,0,0,1,0,0,5,1,-,-,H(18),6.03
Jul 15,@ COL,L 4-3,1.0,1,1,1,0,0,1,2,1,18,4,-,-,BlSv(5),6.08
Jul 14,@ COL,L 4-1,1.0,1,0,0,0,0,1,1,2,13,4,-,-,-,6.00
Jul 12,@ LAA,L 11-2,1.0,2,1,1,0,1,2,2,1,21,6,-,-,-,6.17
Jul 7,vs COL,L 5-1,1.0,3,1,1,0,0,1,1,4,18,6,-,-,-,6.09
Jun 30,vs KC,W 6-4,1.0,1,1,0,0,0,1,2,2,20,5,-,-,H(17),6.00
Jun 28,@ BAL,W 4-2,1.0,0,0,0,0,0,0,1,2,7,3,-,-,Sv(1),6.19
Jun 27,@ BAL,W 8-7,1.0,1,0,0,0,0,1,1,2,22,4,-,-,H(16),6.39
Jun 22,@ BOS,L 14-10,0.1,4,5,5,0,1,1,2,2,25,6,-,L(1-4),BlSv(4),6.60
Jun 20,@ NYY,L 7-5,1.0,0,0,0,0,0,1,0,2,12,5,-,-,H(15),5.16
Jun 6,@ HOU,L 7-5,0.0,4,4,3,0,0,0,1,3,13,4,-,L(1-3),BlSv(3),INF
Jun 5,@ HOU,W 7-1,0.1,0,0,0,0,0,0,1,0,1,1,-,-,-,4.40
Jun 1,vs TB,W 4-3,1.0,1,0,0,0,0,3,0,1,21,4,-,-,-,4.45
May 31,vs TEX,W 6-1,1.0,0,0,0,0,0,2,0,1,17,3,-,-,-,4.61
May 30,vs TEX,L 7-6,1.2,1,0,0,0,0,4,1,1,29,6,-,-,-,4.78
May 26,vs MIN,W 4-3,2.0,0,0,0,0,0,5,0,1,29,6,-,-,-,5.11
May 23,@ OAK,W 1-0,1.0,1,0,0,0,0,1,0,2,15,3,-,-,H(14),5.56
May 20,vs DET,W 3-2,1.0,0,0,0,0,0,1,2,0,14,3,-,-,-,5.82
May 18,vs DET,W 5-4,1.0,0,0,0,0,0,0,1,2,17,3,-,-,H(13),6.10
May 15,vs TEX,W 9-8,0.2,2,1,1,0,1,1,1,2,23,5,-,-,-,6.41
May 13,@ DET,L 5-4,0.0,3,1,1,0,0,0,3,0,19,3,-,L(1-2),-,INF
May 12,@ DET,W 9-5,1.0,0,0,0,0,0,1,2,0,12,3,-,-,-,5.68
May 9,@ TOR,L 5-2,0.1,5,4,4,0,0,0,0,5,21,5,-,L(1-1),BlSv(2),6.00
May 5,vs LAA,W 9-8,1.0,4,1,1,0,0,0,3,3,15,6,-,-,-,4.08
May 3,vs OAK,W 4-1,1.0,1,0,0,0,0,3,0,1,22,4,-,-,H(12),3.78
May 2,vs OAK,L 3-2,1.0,2,2,2,1,0,0,0,5,9,5,-,-,BlSv(1),4.02
May 1,vs OAK,W 6-3,1.0,0,0,0,0,0,2,0,1,14,3,-,-,H(11),3.07
Apr 29,@ CLE,W 10-4,1.0,1,0,0,0,0,1,3,0,10,4,-,-,-,3.29
Apr 26,@ CLE,W 5-4,1.0,0,0,0,0,0,1,1,1,9,3,-,-,H(10),3.55
Apr 25,@ CHW,W 4-3,1.0,0,0,0,0,0,3,0,0,16,3,-,-,H(9),3.86
Apr 24,@ CHW,W 1-0,1.0,0,0,0,0,0,1,0,2,15,3,-,-,H(8),4.22
Apr 20,@ TEX,W 6-2,1.0,1,0,0,0,0,0,2,1,12,3,-,W(1-0),-,4.66
Apr 16,vs HOU,W 2-1,1.0,0,0,0,0,0,0,1,2,12,3,-,-,H(7),5.19
Apr 14,vs OAK,W 10-8,1.0,1,1,1,1,0,2,0,2,18,4,-,-,H(6),5.87
Apr 13,vs OAK,W 7-4,1.0,1,1,1,1,0,1,0,3,23,4,-,-,-,5.40
Apr 11,@ KC,W 4-2,1.0,1,0,0,0,1,1,1,2,21,5,-,-,H(5),4.76
Apr 7,@ MIN,W 11-4,1.2,0,0,0,0,0,2,0,3,20,5,-,-,H(4),5.79
Apr 3,@ SF,W 6-4,1.0,3,1,1,0,0,0,3,3,24,6,-,-,H(3),9.00
Apr 1,vs CLE,W 5-4,1.0,2,2,2,1,0,1,1,3,21,5,-,-,H(2),9.00
Mar 29,vs CLE,W 2-1,1.0,0,0,0,0,0,1,0,2,17,3,-,-,H(1),0.00
