DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs HOU,L 4-1,Did not play
Mar 30,vs HOU,W 5-1,Did not play
Mar 31,vs HOU,L 9-3,0,0,0,0,0,0,0,1,0,0,0,1.000,.000,1.000,.000
Apr 1,vs HOU,L 8-2,3,0,0,0,0,0,0,0,1,0,0,.250,.000,.250,.000
Apr 2,@ OAK,L 3-1,0,0,0,0,0,0,0,1,0,0,0,.400,.000,.400,.000
Apr 3,@ OAK,W 4-1,Did not play
Apr 4,@ OAK,L 6-2,3,0,0,0,0,0,0,0,0,0,0,.250,.000,.250,.000
Apr 5,@ OAK,W 6-3,Did not play
Apr 6,vs TOR,L 8-5,1,0,0,0,0,0,0,0,0,0,0,.222,.000,.222,.000
Apr 7,vs TOR,W 5-1,3,1,2,1,0,0,1,1,0,0,0,.385,.300,.685,.200
Apr 8,vs TOR,L 7-4,3,0,0,0,0,0,0,1,1,0,0,.353,.231,.584,.154
Apr 9,vs LAA,L 8-3,2,0,0,0,0,0,0,2,1,0,0,.381,.200,.581,.133
Apr 10,vs LAA,L 11-1,4,0,0,0,0,0,0,1,0,0,0,.346,.158,.504,.105
Apr 11,vs LAA,L 7-2,5,0,2,0,0,0,1,0,0,1,0,.355,.208,.563,.167
Apr 13,@ HOU,L 3-2,4,0,1,0,0,0,0,0,2,0,0,.343,.214,.557,.179
Apr 14,@ HOU,W 6-5,3,2,2,1,0,0,0,2,1,0,0,.400,.290,.690,.226
Apr 15,@ HOU,W 3-1,4,0,0,0,0,0,0,0,1,0,0,.364,.257,.621,.200
Apr 16,@ TB,L 8-4,1,0,1,0,0,0,0,0,0,0,0,.378,.278,.656,.222
Apr 17,@ TB,W 7-2,Did not play
Apr 18,@ TB,L 4-2,Did not play
Apr 20,vs SEA,L 6-2,4,0,1,0,0,0,0,0,2,0,0,.367,.275,.642,.225
Apr 21,vs SEA,L 9-7,5,0,2,1,0,0,2,0,0,0,0,.370,.311,.681,.244
Apr 22,vs SEA,W 7-4,3,0,1,0,0,0,1,1,0,0,0,.379,.313,.692,.250
Apr 23,vs OAK,L 9-4,3,1,1,0,0,0,0,1,0,0,0,.387,.314,.701,.255
Apr 24,vs OAK,L 3-2,4,0,0,0,0,0,0,0,1,0,0,.364,.291,.655,.236
Apr 25,vs OAK,W 4-2,4,1,1,1,0,0,0,0,1,0,0,.357,.305,.662,.237
Apr 27,@ TOR,W 6-4,4,0,0,0,0,0,0,0,1,0,0,.338,.286,.624,.222
Apr 28,@ TOR,W 7-4,3,1,1,0,0,1,2,1,1,0,0,.346,.333,.679,.227
Apr 29,@ TOR,L 7-2,3,0,1,0,0,0,0,0,1,0,0,.346,.333,.679,.232
Apr 30,@ CLE,L 7-5,5,1,2,1,0,0,1,0,0,0,0,.349,.351,.700,.243
May 1,@ CLE,W 8-6,6,1,2,2,0,0,3,0,1,0,0,.348,.375,.723,.250
May 2,@ CLE,L 12-4,4,0,0,0,0,0,0,0,2,0,0,.333,.357,.690,.238
May 3,vs BOS,W 11-5,2,2,1,0,1,0,1,2,1,0,0,.350,.384,.734,.244
May 4,vs BOS,L 5-1,4,0,0,0,0,0,0,0,1,0,0,.337,.367,.704,.233
May 5,vs BOS,L 6-5,4,0,0,0,0,0,0,0,2,0,0,.324,.351,.675,.223
May 6,vs BOS,L 6-1,4,0,1,0,0,0,0,0,0,0,0,.321,.347,.668,.224
May 7,vs DET,W 7-6,4,0,1,0,1,0,1,0,0,0,0,.319,.363,.682,.225
May 8,vs DET,L 7-4,4,1,1,0,0,1,1,0,1,0,0,.317,.387,.704,.226
May 9,vs DET,W 5-4,3,0,0,0,0,0,0,0,1,0,0,.315,.376,.691,.220
May 11,@ HOU,W 1-0,3,0,1,1,0,0,1,0,0,0,0,.313,.384,.697,.223
May 12,@ HOU,L 6-1,3,0,2,1,0,0,0,0,0,0,0,.321,.400,.721,.235
May 13,@ HOU,L 6-1,4,0,1,1,0,0,0,0,1,0,0,.319,.403,.722,.235
May 15,@ SEA,L 9-8,6,1,1,0,0,0,0,0,0,0,0,.312,.392,.704,.232
May 16,@ SEA,W 5-1,5,1,1,1,0,0,0,0,0,0,0,.308,.392,.700,.231
May 17,@ CHW,L 4-2,4,0,0,0,0,0,0,0,0,0,0,.300,.381,.681,.224
May 18,@ CHW,W 12-5,4,2,2,0,0,0,3,0,0,0,0,.310,.384,.694,.232
May 19,@ CHW,L 5-3,3,1,1,1,0,0,2,0,0,0,0,.308,.390,.698,.234
May 20,@ CHW,L 3-0,4,0,0,0,0,0,0,0,1,1,0,.301,.379,.680,.228
May 21,vs NYY,L 10-5,3,1,1,1,0,0,0,1,0,1,0,.305,.385,.690,.230
May 22,vs NYY,W 6-4,4,1,1,0,0,1,3,0,2,0,0,.304,.401,.705,.230
May 23,vs NYY,W 12-10,4,1,2,1,0,0,3,1,0,0,0,.313,.410,.723,.237
May 24,vs KC,L 8-2,Did not play
May 25,vs KC,W 8-4,4,0,1,1,0,0,0,0,1,0,0,.311,.413,.724,.238
May 26,vs KC,W 4-3,4,1,2,1,1,0,0,0,0,0,0,.315,.433,.748,.244
May 27,vs KC,L 5-3,3,0,0,0,0,0,0,1,0,0,0,.314,.425,.739,.240
May 28,@ SEA,L 2-1,4,0,0,0,0,0,0,0,2,0,0,.307,.415,.722,.234
May 29,@ SEA,W 9-5,5,1,1,0,0,0,0,0,1,0,0,.305,.409,.714,.233
May 30,@ SEA,W 7-6,3,3,1,0,1,0,1,1,0,0,0,.312,.419,.731,.235
May 31,@ SEA,L 6-1,4,0,1,1,0,0,0,0,0,0,0,.311,.421,.732,.235
Jun 1,@ LAA,L 6-0,4,0,1,0,0,0,0,0,2,0,0,.310,.417,.727,.235
Jun 2,@ LAA,W 3-2,4,1,1,1,0,0,0,0,0,0,0,.308,.419,.727,.236
Jun 3,@ LAA,L 3-1,4,0,0,0,0,0,0,0,0,0,0,.303,.410,.713,.231
Jun 5,vs OAK,W 7-4,3,2,1,0,0,1,1,1,0,0,0,.306,.424,.730,.232
Jun 6,vs OAK,W 8-2,4,2,3,0,0,2,5,0,0,0,0,.314,.460,.774,.243
Jun 7,vs HOU,L 5-2,4,0,1,0,0,0,0,0,0,0,0,.313,.456,.769,.243
Jun 8,vs HOU,L 7-3,4,0,0,0,0,0,0,0,1,0,0,.308,.448,.756,.238
Jun 9,vs HOU,L 4-3,2,0,1,0,0,0,0,0,0,1,0,.318,.448,.766,.241
Jun 10,vs HOU,L 8-7,5,1,0,0,0,0,0,0,1,0,0,.311,.438,.749,.235
Jun 12,@ LAD,L 12-5,5,0,1,0,0,0,1,0,0,0,0,.309,.432,.741,.234
Jun 13,@ LAD,L 3-2,5,1,2,0,0,0,1,0,0,0,0,.311,.432,.743,.238
Jun 15,vs COL,L 9-5,3,1,1,0,0,1,2,1,0,0,0,.314,.443,.757,.239
Jun 16,vs COL,W 5-2,4,1,1,0,0,0,0,0,0,0,0,.313,.440,.753,.239
Jun 17,vs COL,W 13-12,5,1,2,1,0,1,4,0,0,0,0,.315,.456,.771,.243
Jun 18,@ KC,W 6-3,4,1,0,0,0,0,0,1,0,0,0,.313,.449,.762,.239
Jun 19,@ KC,W 4-1,3,1,1,0,0,0,0,2,0,0,0,.318,.447,.765,.240
Jun 20,@ KC,W 3-2,4,1,1,0,0,0,0,0,1,0,0,.317,.444,.761,.240
Jun 22,@ MIN,W 8-1,Did not play
Jun 23,@ MIN,W 9-6,2,1,0,0,0,0,0,0,1,1,0,.322,.440,.762,.238
Jun 24,@ MIN,L 2-0,4,0,0,0,0,0,0,0,3,0,0,.317,.434,.751,.234
Jun 25,vs SD,W 7-4,3,1,1,0,0,0,0,1,0,0,0,.320,.432,.752,.236
Jun 26,vs SD,L 3-2,3,0,0,0,0,0,0,1,2,1,0,.319,.427,.746,.233
Jun 27,vs SD,W 5-2,4,0,2,1,0,0,1,0,0,0,0,.321,.432,.753,.237
Jun 29,vs CHW,W 11-3,4,1,1,1,0,0,0,0,0,0,0,.320,.433,.753,.237
Jun 30,vs CHW,W 13-4,4,2,2,1,0,0,2,1,1,0,0,.325,.438,.763,.241
Jul 1,vs CHW,L 10-5,5,1,1,0,0,0,0,0,2,0,0,.323,.434,.757,.240
Jul 3,vs HOU,L 5-3,Did not play
Jul 4,vs HOU,L 5-4,4,2,2,0,0,0,1,0,0,1,0,.327,.435,.762,.244
Jul 5,@ DET,W 7-5,4,2,2,0,0,0,0,0,0,1,0,.329,.436,.765,.247
Jul 6,@ DET,L 3-1,Did not play
Jul 7,@ DET,L 7-2,4,1,1,1,0,0,0,0,0,0,0,.328,.436,.764,.247
Jul 8,@ DET,W 3-0,5,1,1,0,0,1,1,0,0,0,0,.326,.443,.769,.247
Jul 9,@ BOS,L 5-0,3,0,1,0,0,0,0,1,1,0,0,.328,.441,.769,.247
Jul 10,@ BOS,L 8-4,Did not play
Jul 11,@ BOS,L 4-2,3,0,1,0,0,0,0,1,0,0,0,.330,.440,.770,.248
Jul 13,@ BAL,W 5-4,Did not play
Jul 14,@ BAL,L 1-0,4,0,0,0,0,0,0,0,0,0,0,.327,.435,.762,.245
Jul 15,@ BAL,L 6-5,3,1,0,0,0,0,0,1,0,0,0,.326,.430,.756,.243
Jul 20,vs CLE,L 9-8,1,0,1,0,0,0,0,0,0,0,0,.328,.432,.760,.245
Jul 21,vs CLE,L 16-3,3,0,1,0,0,0,0,1,1,0,0,.330,.431,.761,.246
Jul 22,vs CLE,W 5-0,4,0,1,0,0,0,0,0,0,0,0,.329,.429,.758,.246
Jul 23,vs OAK,L 15-3,4,0,2,0,0,0,0,0,0,0,0,.331,.430,.761,.249
Jul 24,vs OAK,L 13-10,Did not play
