DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs CHW,L 5-3,1.2,0,0,0,0,1,1,3,1,22,6,-,-,-,3.19
Jul 22,vs HOU,W 14-5,0.1,0,0,0,0,0,0,0,1,1,1,-,-,H(13),3.34
Jul 14,@ LAD,W 5-4,0.2,0,0,0,0,0,1,0,1,7,2,-,-,H(12),3.38
Jul 13,@ LAD,L 3-2,1.2,0,0,0,0,2,2,2,1,24,7,-,-,-,3.44
Jul 8,vs LAD,W 4-3,1.0,1,0,0,0,0,1,1,1,14,3,-,-,Sv(4),3.62
Jul 6,vs LAD,W 3-2,1.0,0,0,0,0,0,1,2,0,13,3,-,-,-,3.73
Jul 4,@ SEA,W 7-4,1.0,2,1,1,0,0,3,0,2,24,5,-,-,-,3.86
Jun 30,@ BAL,W 6-2,1.1,0,0,0,0,0,1,2,1,20,4,-,W(2-2),-,3.68
Jun 27,@ BOS,L 9-6,1.0,0,0,0,0,0,0,1,2,8,3,-,-,-,3.86
Jun 23,vs TOR,L 4-1,0.2,3,3,3,1,1,0,0,4,28,5,-,L(1-2),-,4.00
Jun 21,vs TOR,W 8-5,1.0,1,0,0,0,0,1,1,1,17,3,-,-,Sv(3),3.08
Jun 19,vs ARI,W 5-4,0.1,0,0,0,0,1,1,0,0,9,2,-,-,H(11),3.20
Jun 18,vs ARI,L 7-4,1.2,3,0,0,0,0,3,4,1,27,8,-,-,-,3.24
Jun 15,@ OAK,W 8-4,1.0,2,1,1,0,1,1,3,1,28,6,-,-,-,3.47
Jun 13,@ SEA,L 8-6,1.0,3,0,0,0,0,2,0,3,27,5,-,-,-,3.22
Jun 12,@ SEA,L 6-3,1.0,0,0,0,0,1,0,1,1,12,3,-,-,-,3.38
Jun 9,@ MIN,W 2-1,1.0,1,0,0,0,0,1,1,2,17,4,-,-,H(10),3.54
Jun 6,vs KC,W 4-3,0.2,2,2,2,0,2,1,2,1,29,6,-,-,H(9),3.72
Jun 3,vs TEX,W 3-1,1.0,0,0,0,0,3,1,0,2,34,6,-,-,Sv(2),2.89
Jun 2,vs TEX,L 3-2,1.0,0,0,0,0,1,2,0,1,18,4,-,-,H(8),3.06
May 31,@ DET,L 6-2,1.0,1,0,0,0,1,2,1,1,22,5,-,-,-,3.24
May 29,@ DET,W 9-2,1.0,0,0,0,0,0,0,2,1,10,4,-,-,-,3.45
May 26,@ NYY,W 11-4,1.2,0,0,0,0,1,2,1,2,28,6,-,-,-,3.68
May 23,@ TOR,W 5-4,1.0,0,0,0,0,1,1,0,2,19,4,-,W(1-1),-,4.15
May 20,vs TB,W 5-2,0.1,0,0,0,0,1,1,0,0,7,2,-,-,H(7),4.50
May 19,vs TB,L 5-3,1.1,1,0,0,0,0,2,2,1,24,5,-,-,-,4.63
May 14,vs HOU,W 2-1,1.0,2,0,0,0,1,0,3,1,17,5,-,-,Sv(1),5.23
May 11,vs MIN,L 5-4,1.1,2,3,3,1,1,3,0,3,33,7,-,L(0-1),H(6),5.79
May 9,@ COL,W 8-0,1.2,0,0,0,0,0,3,2,0,22,6,-,-,-,3.38
May 5,@ SEA,L 9-8,0.0,2,3,3,1,1,0,1,1,13,3,-,-,BlSv(1),INF
May 4,@ SEA,W 5-0,1.1,1,0,0,0,0,2,1,1,22,5,-,-,H(5),0.00
May 1,vs BAL,W 3-2,0.2,0,0,0,0,0,1,1,0,10,2,-,-,H(4),0.00
Apr 29,vs NYY,L 2-1,1.2,0,0,0,0,1,3,2,0,25,6,-,-,-,0.00
Apr 27,vs NYY,L 4-3,1.0,0,0,0,0,1,1,0,2,17,4,-,-,H(3),0.00
Apr 24,@ HOU,W 8-7,0.2,1,0,0,0,1,1,1,1,17,4,-,-,H(2),0.00
Apr 23,@ HOU,W 2-0,1.0,2,0,0,0,0,1,2,2,20,5,-,-,H(1),0.00
