DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs NYY,L 6-1,3,0,0,0,0,0,0,1,2,0,0,.250,.000,.250,.000
Mar 30,vs NYY,L 4-2,4,0,1,1,0,0,0,0,2,0,0,.250,.286,.536,.143
Mar 31,vs NYY,W 5-3,4,0,3,1,0,0,2,0,0,0,0,.417,.545,.962,.364
Apr 1,vs NYY,W 7-4,4,2,3,0,0,2,6,1,1,0,0,.529,1.000,1.529,.467
Apr 2,vs CHW,W 4-2,4,0,0,0,0,0,0,0,2,0,0,.429,.789,1.218,.368
Apr 3,vs CHW,W 14-5,3,2,1,1,0,0,1,1,0,0,0,.462,.773,1.235,.364
Apr 4,vs CHW,L 4-3,4,1,1,1,0,0,0,0,1,0,0,.433,.731,1.164,.346
Apr 6,@ TEX,W 8-5,3,1,1,0,0,0,1,1,1,0,0,.429,.690,1.119,.345
Apr 7,@ TEX,L 5-1,3,0,0,0,0,0,0,1,3,0,0,.410,.625,1.035,.313
Apr 8,@ TEX,W 7-4,5,2,2,0,0,0,0,0,0,0,0,.409,.595,1.004,.324
Apr 9,@ BAL,W 7-1,5,0,2,0,0,0,0,0,2,0,0,.408,.571,.979,.333
Apr 10,@ BAL,W 2-1,3,1,0,0,0,0,0,2,1,0,0,.407,.533,.940,.311
Apr 11,@ BAL,L 5-3,3,1,0,0,0,0,0,1,0,0,0,.397,.500,.897,.292
Apr 13,@ CLE,W 8-4,4,1,0,0,0,0,0,1,3,0,0,.381,.462,.843,.269
Apr 17,vs KC,W 11-3,4,1,1,0,0,0,1,1,0,0,0,.382,.446,.828,.268
Apr 17,vs KC,W 5-4,4,0,0,0,0,0,0,1,3,0,0,.370,.417,.787,.250
Apr 18,vs KC,W 15-5,5,0,1,1,0,0,1,1,1,0,0,.367,.415,.782,.246
Apr 19,@ NYY,L 4-3,3,0,0,0,0,0,0,1,0,0,0,.361,.397,.758,.235
Apr 20,@ NYY,W 8-5,5,0,1,0,0,0,0,0,1,0,0,.352,.384,.736,.233
Apr 21,@ NYY,L 9-1,Did not play
Apr 22,@ NYY,L 5-1,3,0,1,1,0,0,0,1,1,0,0,.359,.395,.754,.237
Apr 24,vs BOS,W 4-3,3,0,0,0,0,0,0,1,2,0,0,.354,.380,.734,.228
Apr 25,vs BOS,L 4-3,4,0,1,0,0,0,0,0,0,0,0,.350,.373,.723,.229
Apr 26,vs BOS,L 5-4,4,1,2,0,0,1,1,0,2,0,0,.356,.414,.770,.241
Apr 27,vs TEX,L 6-4,4,0,4,1,0,0,1,0,0,0,0,.380,.451,.831,.275
