DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ MIL,W 7-3,0.1,0,0,0,0,0,0,0,1,5,1,-,-,-,3.29
Jul 24,@ MIL,L 5-4,1.0,0,0,0,0,0,1,0,2,10,3,-,-,-,3.38
Jul 22,vs ATL,W 6-2,1.2,2,0,0,0,0,1,4,2,26,7,-,-,Sv(1),3.65
Jul 15,@ NYM,W 6-1,1.0,3,0,0,0,0,0,1,5,20,6,-,-,-,4.22
Jul 12,@ NYM,W 5-4,1.0,1,1,1,1,2,1,0,3,25,6,-,-,H(2),4.66
Jul 10,@ PIT,W 5-1,1.0,2,0,0,0,1,2,2,1,20,6,-,-,-,4.15
Jul 5,vs MIA,W 14-12,1.0,1,1,1,1,0,2,1,1,14,4,-,-,-,4.70
Jul 4,vs BOS,L 3-0,0.2,2,1,1,0,1,1,0,3,30,6,-,-,-,4.05
Jul 1,@ PHI,L 4-3,1.0,0,0,0,0,0,0,1,2,7,3,-,-,-,3.00
Jun 30,@ PHI,L 3-2,1.0,0,0,0,0,0,1,2,0,15,3,-,-,-,3.60
Jun 26,@ TB,L 1-0,1.0,1,0,0,0,1,1,1,2,20,5,-,-,-,4.50
Jun 23,vs PHI,L 5-3,1.0,2,2,2,1,1,2,2,1,24,6,-,-,-,6.00
Jun 21,vs BAL,W 4-2,1.0,0,0,0,0,0,0,1,2,13,3,-,W(1-0),-,0.00
Jun 19,vs BAL,W 9-7,1.0,0,0,0,0,0,0,1,2,6,3,-,-,H(1),0.00
"Previously with KC, Acquired by WSH"
Jun 12,vs CIN,L 5-1,1.0,1,1,1,1,2,0,1,3,31,6,-,-,BlSv(2),1.05
Jun 9,@ OAK,W 2-0,1.0,1,0,0,0,0,2,1,1,18,4,-,-,Sv(14),0.73
Jun 7,@ OAK,L 4-1,1.0,1,0,0,0,0,1,2,0,11,3,-,-,-,0.76
Jun 2,vs OAK,W 5-4,1.0,0,0,0,0,0,1,1,1,12,3,-,-,Sv(13),0.79
May 30,vs MIN,W 11-8,1.0,0,0,0,0,0,1,0,2,9,3,-,-,Sv(12),0.83
May 29,vs MIN,W 2-1,1.0,1,0,0,0,0,0,3,1,16,4,-,-,-,0.87
May 27,@ TEX,W 5-3,1.0,1,0,0,0,0,0,1,2,11,3,-,-,Sv(11),0.92
May 23,@ STL,W 5-2,1.0,0,0,0,0,0,1,1,1,11,3,-,-,Sv(10),0.96
May 22,@ STL,W 5-1,1.0,2,0,0,0,0,1,2,1,11,4,-,-,-,1.02
May 18,vs NYY,W 5-2,1.0,0,0,0,0,0,1,0,2,9,3,-,-,Sv(9),1.08
May 15,vs TB,L 6-5,1.0,3,1,1,0,0,0,0,6,22,6,-,L(1-1),-,1.15
May 11,@ CLE,W 10-9,1.0,0,0,0,0,0,0,2,1,22,3,-,-,Sv(8),0.61
May 6,vs DET,W 4-2,1.0,1,0,0,0,0,0,2,2,14,4,-,-,Sv(7),0.66
May 4,vs DET,W 4-2,1.0,0,0,0,0,0,0,0,3,10,3,-,-,Sv(6),0.71
May 3,vs DET,W 10-6,1.0,1,0,0,0,0,2,1,1,12,4,-,-,-,0.77
May 1,@ BOS,W 7-6,1.0,2,1,1,1,0,1,0,4,16,5,-,W(1-0),BlSv(1),0.84
Apr 28,vs CHW,W 5-2,1.0,1,0,0,0,0,1,2,1,14,4,-,-,Sv(5),0.00
Apr 27,vs CHW,L 7-4,1.0,0,0,0,0,0,0,2,1,9,3,-,-,-,0.00
Apr 26,vs CHW,L 6-3,1.0,1,0,0,0,0,1,1,2,11,4,-,-,-,0.00
Apr 22,@ DET,W 8-5,1.0,0,0,0,0,0,1,0,2,13,3,-,-,Sv(4),0.00
Apr 20,@ DET,W 3-2,1.0,1,0,0,0,0,0,2,2,14,4,-,-,Sv(3),0.00
Apr 17,@ TOR,L 5-4,0.2,0,0,0,0,0,2,0,0,12,2,-,-,-,0.00
Apr 12,vs LAA,L 7-1,0.2,1,0,0,0,0,0,3,0,16,3,-,-,-,0.00
Apr 7,@ CLE,W 1-0,1.0,0,0,0,0,0,1,1,1,9,3,-,-,Sv(2),0.00
Apr 3,@ DET,W 1-0,1.0,0,0,0,0,0,2,0,1,11,3,-,-,Sv(1),0.00
Apr 2,@ DET,L 6-1,1.0,1,0,0,0,0,3,0,1,16,4,-,-,-,0.00
Mar 29,vs CHW,L 14-7,0.1,0,0,0,0,0,0,0,1,2,1,-,-,-,0.00
