DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ PHI,L 7-4,7.0,6,4,4,2,0,7,8,12,96,27,56,-,-,3.27
Jul 15,vs LAA,W 5-3,0.1,0,0,0,0,0,1,0,0,7,2,-,W(7-5),-,3.12
Jul 11,@ SD,W 4-2,5.2,4,1,1,0,1,9,5,6,92,21,65,W(6-5),-,3.13
Jul 6,@ LAA,L 3-2,5.2,3,1,1,0,2,9,6,5,86,22,66,-,-,3.24
Jun 30,vs COL,L 3-1,7.0,5,3,2,1,2,9,8,9,97,28,64,L(5-5),-,3.36
Jun 25,vs CHC,W 2-1,7.0,3,0,0,0,1,9,6,8,84,24,79,W(5-4),-,3.44
Jun 19,@ CHC,W 4-3,3.2,5,3,3,0,5,2,4,10,74,21,36,-,-,3.84
Jun 13,vs TEX,W 3-2,5.0,5,2,2,0,3,1,7,11,76,23,47,-,-,3.61
May 29,vs PHI,L 6-1,1.2,3,2,2,1,1,2,0,6,38,9,42,L(4-4),-,3.61
May 23,vs COL,W 3-0,6.2,2,0,0,0,4,12,4,5,111,25,78,W(4-3),-,3.38
May 17,@ MIA,W 7-0,8.0,2,0,0,0,0,8,6,12,96,26,86,W(3-3),-,3.89
May 11,vs CIN,L 6-2,4.2,9,5,5,1,2,5,5,13,104,25,29,L(2-3),-,4.75
May 5,@ SD,L 7-4,5.0,4,3,3,1,1,7,6,6,82,20,53,-,-,4.02
Apr 29,@ SF,L 4-2,6.0,5,4,4,1,4,3,8,11,96,26,45,L(2-2),-,3.76
Apr 24,vs MIA,L 3-2,6.0,4,1,1,1,1,7,6,9,82,23,66,-,-,3.10
Apr 18,@ SD,W 13-4,5.2,8,4,4,0,2,10,7,8,106,28,-,W(2-1),-,3.77
Apr 13,vs ARI,L 8-7,2.2,5,5,2,0,2,2,5,6,65,15,34,L(1-1),-,2.08
Apr 7,@ SF,L 7-5,1.0,2,0,0,0,0,2,1,2,18,5,-,-,-,0.00
Mar 31,vs SF,W 5-0,5.0,5,0,0,0,1,10,5,5,90,21,66,W(1-0),-,0.00
