DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs BOS,L 5-3,4.2,3,5,5,1,3,2,6,9,79,20,37,L(4-8),-,4.54
Jul 12,vs PHI,L 5-4,5.0,12,5,5,1,1,2,13,12,99,29,24,L(4-7),-,4.33
Jul 7,@ MIN,L 5-4,5.0,5,3,3,1,1,5,9,6,90,21,49,-,-,4.11
Jul 1,vs LAA,W 8-2,8.0,6,2,2,1,0,2,10,17,104,29,64,W(4-6),-,4.05
Jun 26,vs SEA,L 3-2,6.0,5,1,1,1,1,4,8,10,100,23,61,-,-,4.20
Jun 21,@ WSH,L 4-2,6.0,4,2,2,1,4,3,6,11,114,24,55,-,-,4.38
Jun 15,vs MIA,L 2-0,5.2,5,2,2,0,3,7,9,6,107,26,-,L(3-6),-,4.48
Jun 9,@ TOR,L 4-3,6.2,9,3,3,1,0,6,15,6,93,27,-,-,-,4.58
Jun 2,vs NYY,L 8-5,5.1,9,6,5,2,0,9,6,10,97,25,37,L(3-5),-,4.63
May 27,@ TB,L 8-3,2.2,6,7,7,1,2,1,6,6,74,17,17,L(3-4),-,4.31
May 22,@ CHW,L 3-2,6.1,9,0,0,0,1,10,9,9,106,29,64,-,-,3.48
May 17,@ BOS,L 6-2,4.2,8,6,6,2,2,6,8,7,101,23,28,L(3-3),-,3.88
May 11,vs TB,W 9-4,7.1,11,2,2,0,0,6,13,13,107,32,54,W(3-2),-,3.18
May 5,@ OAK,L 2-0,9.0,2,0,0,0,2,6,14,9,113,31,87,-,-,3.30
Apr 29,vs DET,W 5-3,5.2,5,1,1,1,3,4,11,6,106,24,56,W(2-2),-,4.15
Apr 23,vs CLE,L 2-1,8.0,4,2,2,1,1,7,8,13,107,29,72,L(1-2),-,4.66
Apr 18,@ DET,L 6-5,6.0,9,2,2,2,0,4,8,14,97,26,50,-,-,5.57
Apr 11,vs TOR,W 5-3,6.0,6,3,3,1,3,7,5,12,106,27,52,W(1-1),-,6.60
Apr 6,@ NYY,W 7-3,5.0,5,2,2,0,1,3,10,6,96,21,51,-,-,8.00
Apr 1,vs MIN,L 7-0,4.0,7,6,6,3,2,5,4,11,73,22,27,L(0-1),-,13.50
