DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs BOS,W 6-4,3,1,0,0,0,0,0,1,2,0,0,.250,.000,.250,.000
Mar 30,vs BOS,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.250,.143,.393,.143
Mar 31,vs BOS,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.167,.091,.258,.091
Apr 1,vs BOS,L 2-1,4,0,0,0,0,0,0,0,2,0,0,.125,.067,.192,.067
Apr 3,@ NYY,L 11-4,4,0,0,0,0,0,0,0,2,0,0,.100,.053,.153,.053
Apr 4,@ NYY,L 7-2,4,1,1,0,0,0,0,0,3,0,0,.125,.087,.212,.087
Apr 5,@ BOS,L 3-2,5,0,0,0,0,0,0,1,2,0,0,.133,.071,.204,.071
Apr 7,@ BOS,L 10-3,Did not play
Apr 8,@ BOS,L 8-7,4,0,1,0,1,0,1,1,2,0,0,.171,.156,.327,.094
Apr 9,@ CHW,W 5-4,Did not play
Apr 10,@ CHW,W 6-5,Did not play
Apr 11,@ CHW,L 2-1,3,1,1,0,0,0,0,1,1,0,0,.205,.171,.376,.114
Apr 13,vs PHI,L 2-1,3,0,0,0,0,0,0,1,2,1,0,.209,.158,.367,.105
Apr 14,vs PHI,L 9-4,4,2,2,1,0,0,0,0,1,0,0,.234,.214,.448,.143
Apr 15,vs PHI,L 10-4,1,1,1,0,0,0,0,0,0,0,0,.250,.233,.483,.163
Apr 16,vs TEX,W 8-4,Did not play
Jun 19,@ HOU,W 2-1,5,0,0,0,0,0,0,0,1,0,0,.226,.208,.434,.146
Jun 20,@ HOU,L 5-1,4,0,0,0,0,0,0,0,2,0,0,.211,.192,.403,.135
Jun 22,vs NYY,W 2-1,4,0,0,0,0,0,0,1,1,0,0,.210,.179,.389,.125
Jun 23,vs NYY,W 4-0,3,1,1,0,0,0,0,1,1,0,0,.227,.186,.413,.136
Jun 24,vs NYY,W 7-6,5,1,1,0,1,0,0,0,2,1,0,.236,.219,.455,.141
Jun 25,vs WSH,W 11-0,4,1,1,0,0,1,4,1,2,0,0,.247,.265,.512,.147
Jun 26,vs WSH,W 1-0,3,1,1,0,0,0,0,1,0,1,0,.259,.268,.527,.155
Jun 28,vs HOU,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.259,.267,.526,.160
Jun 29,vs HOU,W 3-2,3,0,0,0,0,0,0,1,1,1,0,.258,.256,.514,.154
Jun 30,vs HOU,W 5-2,3,2,1,0,0,0,0,0,2,0,0,.269,.259,.528,.160
Jul 1,vs HOU,W 3-2,1,0,0,0,0,0,0,0,1,0,0,.266,.256,.522,.159
Jul 2,@ MIA,L 3-2,4,0,0,0,0,0,0,1,2,0,0,.263,.244,.507,.151
Jul 3,@ MIA,W 9-6,8,1,1,0,0,0,0,0,1,1,0,.252,.234,.486,.149
Jul 4,@ MIA,L 3-0,4,0,0,0,0,0,0,0,1,0,1,.243,.224,.467,.143
Jul 6,@ NYM,L 5-1,4,0,1,1,0,0,0,0,2,0,0,.243,.235,.478,.147
Jul 7,@ NYM,W 3-0,5,0,1,0,0,0,0,0,1,1,0,.242,.234,.476,.150
Jul 8,@ NYM,W 9-0,Did not play
Jul 9,vs DET,W 10-9,5,1,1,0,1,0,0,1,1,0,0,.246,.250,.496,.152
Jul 10,vs DET,W 5-2,3,1,1,0,0,0,1,1,0,0,0,.254,.252,.506,.157
Jul 11,vs DET,W 4-2,5,2,3,0,0,1,1,0,1,0,0,.267,.292,.559,.175
Jul 12,@ MIN,L 5-1,3,0,0,0,0,0,1,0,0,0,0,.259,.285,.544,.171
Jul 13,@ MIN,L 11-8,5,1,1,0,0,0,0,0,2,0,0,.257,.281,.538,.172
Jul 14,@ MIN,W 19-6,6,2,2,0,0,0,2,0,2,0,0,.260,.284,.544,.179
Jul 15,@ MIN,L 11-7,6,0,1,0,0,0,1,0,3,0,0,.256,.279,.535,.179
Jul 20,vs MIA,L 6-5,2,1,1,1,0,0,0,0,0,0,0,.259,.289,.548,.183
Jul 21,vs MIA,L 3-2,Did not play
Jul 22,vs MIA,W 6-4,Did not play
Jul 23,vs NYY,W 7-6,5,1,1,0,0,0,0,0,1,0,0,.258,.286,.544,.184
Jul 24,vs NYY,L 4-0,4,0,0,0,0,0,0,0,2,0,0,.251,.278,.529,.179
Jul 25,vs NYY,W 3-2,4,1,1,0,0,1,2,0,2,0,0,.251,.297,.548,.181
