DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ CLE,L 4-0,0.2,0,1,1,0,1,1,1,0,17,3,-,-,-,2.13
Jul 21,@ CIN,W 6-2,1.0,0,0,0,0,0,2,0,1,15,3,-,-,-,1.93
Jul 14,vs MIL,W 2-1,1.0,1,0,0,0,0,1,1,2,16,4,-,-,H(8),1.98
Jul 13,vs MIL,W 7-3,1.1,2,0,0,0,0,1,2,3,20,6,-,-,Sv(2),2.04
Jul 11,vs WSH,W 2-0,1.0,0,0,0,0,0,0,0,3,12,3,-,-,H(7),2.12
Jul 8,vs PHI,W 4-1,1.0,0,0,0,0,0,2,0,1,13,3,-,-,H(6),2.18
Jul 7,vs PHI,L 3-2,1.0,2,0,0,0,0,0,1,4,21,5,-,-,-,2.25
Jul 4,@ LAD,L 6-4,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,2.32
Jul 1,@ SD,W 7-5,1.1,0,0,0,0,2,2,0,2,37,6,-,W(1-1),-,2.40
Jun 29,@ SD,W 6-3,0.2,1,0,0,0,0,1,0,2,18,3,-,-,-,2.51
Jun 26,@ NYM,L 4-3,1.0,1,0,0,0,0,1,0,3,21,4,-,-,-,2.57
Jun 25,@ NYM,W 6-4,1.0,1,0,0,0,1,2,1,1,24,5,-,-,H(5),2.67
Jun 22,vs ARI,L 2-1,1.0,1,0,0,0,0,2,0,2,20,4,-,-,-,2.77
Jun 19,vs MIL,L 3-2,1.0,0,0,0,0,0,0,2,1,15,3,-,-,-,2.88
Jun 18,vs MIL,W 1-0,1.0,0,0,0,0,0,1,2,0,10,3,-,-,H(4),3.00
Jun 15,vs CIN,W 3-2,1.0,0,0,0,0,0,2,0,1,16,3,-,-,H(3),3.13
Jun 11,@ ARI,L 9-5,0.1,1,2,2,0,1,0,2,0,13,3,-,L(0-1),-,3.27
Jun 10,@ CHC,W 7-1,1.0,0,0,0,0,0,1,0,2,16,3,-,-,-,2.49
Jun 9,@ CHC,L 2-0,0.1,1,0,0,0,1,0,1,1,5,3,-,-,-,2.61
Jun 6,vs LAD,W 11-9,0.2,1,2,2,0,2,0,0,3,29,5,-,-,-,2.66
Jun 2,@ STL,L 3-2,1.0,0,0,0,0,1,0,1,2,15,4,-,-,-,1.83
May 31,@ STL,L 10-8,1.0,0,0,0,0,0,0,0,3,13,3,-,-,H(2),1.93
May 30,vs CHC,W 2-1,1.0,0,0,0,0,0,1,1,1,12,3,-,-,H(1),2.04
May 28,vs CHC,L 7-0,1.1,2,2,1,0,1,0,4,2,13,7,-,-,-,2.16
May 26,vs STL,L 4-1,1.0,1,0,0,0,0,2,0,2,22,4,-,-,-,1.76
May 25,vs STL,W 8-1,1.0,1,0,0,0,0,0,4,0,13,4,-,-,-,1.88
May 23,@ CIN,W 5-4,1.0,2,0,0,0,1,1,2,2,21,6,-,-,Sv(1),2.03
May 18,vs SD,L 3-2,2.0,0,0,0,0,2,2,0,4,25,8,-,-,-,2.19
May 15,vs CHW,W 7-0,1.0,1,0,0,0,0,1,2,1,19,4,-,-,-,2.61
May 11,vs SF,W 11-2,1.0,1,0,0,0,0,0,2,2,10,4,-,-,-,2.89
May 5,@ MIL,L 5-3,0.2,1,2,1,0,3,1,0,2,29,6,-,-,-,3.24
May 2,@ WSH,L 9-3,1.1,2,1,1,0,0,2,0,4,28,6,-,-,-,2.35
Apr 30,@ WSH,L 3-2,1.0,1,0,0,0,0,1,2,1,16,4,-,-,-,1.42
Apr 27,vs STL,W 6-5,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,1.69
Apr 25,vs DET,L 13-10,0.1,2,1,1,1,0,1,1,1,7,3,-,-,-,1.80
Apr 22,@ PHI,L 3-2,1.0,1,0,0,0,0,1,3,1,19,5,-,-,-,0.00
Apr 21,@ PHI,L 6-2,0.2,0,0,0,0,0,2,0,0,10,2,-,-,-,0.00
Apr 18,vs COL,W 10-2,1.0,0,0,0,0,0,2,2,0,16,4,-,-,-,0.00
Apr 16,vs COL,L 6-2,1.0,1,0,0,0,1,1,2,1,19,5,-,-,-,0.00
Apr 13,@ MIA,L 7-2,1.0,0,0,0,0,0,1,1,1,9,3,-,-,-,0.00
