DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs PIT,L 9-2,1.0,0,0,0,0,0,1,0,2,14,3,-,-,-,4.91
Jul 21,vs PIT,L 6-2,0.2,1,0,0,0,0,1,0,2,10,3,-,-,-,5.68
Jul 14,@ STL,W 8-2,0.1,1,0,0,0,0,0,1,1,7,2,-,-,-,6.35
Jul 11,@ CLE,L 19-4,1.0,4,2,2,0,1,1,1,4,30,7,-,-,-,6.75
Jul 10,@ CLE,W 7-4,0.2,0,0,0,0,0,1,0,1,6,2,-,W(1-0),-,4.15
Jul 8,@ CHC,L 6-5,0.0,1,1,1,0,0,0,0,1,3,1,-,-,-,INF
Jul 6,@ CHC,W 3-2,0.0,1,0,0,0,0,0,1,0,3,1,-,-,-,2.45
Jul 3,vs CHW,L 12-8,0.0,0,0,0,0,0,0,1,0,4,1,-,-,-,2.45
Jun 30,vs MIL,W 12-3,0.1,0,0,0,0,0,1,0,0,3,1,-,-,-,2.45
Jun 29,vs MIL,L 8-2,0.2,2,2,1,0,0,0,2,2,17,4,-,-,-,2.70
Jun 27,@ ATL,W 6-5,0.1,0,0,0,0,1,1,0,0,3,2,-,-,-,0.00
Jun 25,@ ATL,L 5-4,1.0,0,1,0,0,0,1,2,1,13,4,-,-,-,0.00
Jun 24,vs CHC,W 8-6,1.0,0,0,0,0,0,1,1,1,10,3,-,-,-,0.00
Jun 22,vs CHC,W 6-3,0.1,0,0,0,0,0,1,0,0,5,1,-,-,H(1),0.00
