DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs ARI,L 5-1,5.0,7,3,3,0,2,8,7,7,106,24,47,L(6-9),-,4.05
Jul 19,vs STL,W 9-6,4.2,9,3,3,1,1,4,8,10,113,24,37,-,-,3.99
Jul 14,@ SD,W 11-6,5.0,5,2,2,1,0,3,5,11,102,19,52,W(6-8),-,3.92
Jul 9,@ SF,L 2-1,8.1,5,1,0,0,1,8,13,9,109,31,78,-,-,3.93
Jul 3,vs DET,W 5-3,5.0,7,3,3,0,1,2,7,11,78,21,42,-,-,4.27
Jun 27,@ LAD,L 7-5,2.2,8,6,6,2,2,1,7,8,72,18,-,L(5-8),-,4.21
Jun 21,@ CIN,L 6-2,5.2,3,4,4,0,4,5,9,4,89,23,48,L(5-7),-,3.73
Jun 16,@ STL,W 6-3,6.0,7,3,3,1,4,3,5,15,95,27,-,W(5-6),-,3.55
Jun 10,vs PIT,L 7-1,5.0,3,1,1,1,2,4,6,7,87,19,59,L(4-6),-,3.48
Jun 5,vs PHI,L 6-1,5.0,5,5,5,1,3,5,8,7,87,23,39,L(4-5),-,3.59
May 30,@ PIT,L 2-1,5.0,7,2,2,1,1,1,8,12,71,22,45,L(4-4),-,3.19
May 25,vs SF,W 6-2,7.0,2,1,1,1,2,7,8,8,88,25,74,W(4-3),-,3.16
May 19,@ CIN,L 5-4,5.0,6,4,3,0,2,6,8,7,71,23,45,-,-,3.40
May 13,vs CHW,L 5-3,6.0,6,4,3,1,0,6,7,11,97,24,52,L(3-3),-,3.20
May 7,vs MIA,W 14-2,8.0,6,2,2,0,0,3,12,13,98,28,65,W(3-2),-,3.02
May 1,vs COL,L 3-1,7.2,4,3,3,3,2,5,11,10,104,28,62,L(2-2),-,3.19
Apr 26,vs MIL,W 1-0,7.0,4,0,0,0,0,5,13,6,94,24,74,W(2-1),-,3.10
Apr 20,@ COL,W 16-5,5.0,5,3,3,1,0,6,9,5,95,21,-,W(1-1),-,4.09
Apr 12,vs PIT,L 6-1,6.0,5,2,2,2,3,7,6,11,91,27,58,L(0-1),-,3.71
Apr 6,@ MIL,L 5-4,5.0,9,4,4,2,1,1,9,15,84,26,33,-,-,4.09
Mar 30,@ MIA,L 2-1,6.0,4,1,1,0,3,5,10,6,88,25,62,-,-,1.50
