DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CLE,W 2-1,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Mar 31,vs CLE,L 6-5,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 1,vs CLE,W 5-4,3,0,1,1,0,0,1,1,1,0,0,.182,.200,.382,.100
Apr 3,@ SF,W 6-4,4,0,2,0,0,0,1,1,0,0,0,.313,.286,.599,.214
Apr 4,@ SF,L 10-1,4,0,0,0,0,0,0,0,1,0,0,.250,.222,.472,.167
Apr 5,@ MIN,L 4-2,3,0,0,0,0,0,0,1,0,0,0,.250,.190,.440,.143
Apr 7,@ MIN,W 11-4,5,2,2,0,0,1,2,0,0,0,0,.276,.346,.622,.192
Apr 9,@ KC,L 10-0,4,0,0,0,0,0,0,0,0,0,0,.242,.300,.542,.167
Apr 10,@ KC,W 8-3,5,0,1,1,0,0,2,0,0,0,0,.237,.314,.551,.171
Apr 11,@ KC,W 4-2,3,1,2,0,0,1,3,0,0,0,0,.262,.421,.683,.211
Apr 13,vs OAK,W 7-4,4,1,3,1,0,0,1,0,0,0,0,.304,.476,.780,.262
Apr 14,vs OAK,W 10-8,4,2,3,1,0,1,1,1,0,0,0,.353,.587,.940,.304
Apr 15,vs OAK,L 2-1,4,0,1,0,0,0,0,0,1,0,0,.345,.560,.905,.300
Apr 16,vs HOU,W 2-1,3,0,0,0,0,0,0,0,2,0,0,.328,.528,.856,.283
Apr 17,vs HOU,L 4-1,3,0,0,0,0,0,0,0,2,0,0,.311,.500,.811,.268
Apr 18,vs HOU,L 7-1,4,0,0,0,0,0,0,0,2,0,0,.292,.467,.759,.250
Apr 19,vs HOU,L 9-2,4,0,0,0,0,0,0,0,1,0,0,.275,.438,.713,.234
Apr 20,@ TEX,W 6-2,5,0,2,0,0,0,1,0,2,0,0,.284,.435,.719,.246
Apr 21,@ TEX,W 9-7,5,0,0,0,0,0,0,0,0,0,0,.266,.405,.671,.230
Apr 22,@ TEX,L 7-4,4,0,0,0,0,0,0,0,1,0,0,.262,.385,.647,.218
Apr 23,@ CHW,L 10-4,4,0,1,1,0,0,0,0,1,0,0,.261,.390,.651,.220
Apr 24,@ CHW,W 1-0,4,1,2,1,0,0,0,0,0,0,0,.272,.407,.679,.233
Apr 25,@ CHW,W 4-3,3,0,0,0,0,0,0,2,1,0,0,.278,.393,.671,.225
Apr 26,@ CLE,W 5-4,4,1,3,1,0,0,1,0,0,0,0,.297,.419,.716,.247
Apr 27,@ CLE,L 6-5,3,2,1,0,0,0,0,1,1,0,0,.305,.417,.722,.250
Apr 28,@ CLE,W 12-4,5,1,1,0,0,1,2,0,0,0,0,.300,.436,.736,.248
Apr 29,@ CLE,W 10-4,5,0,0,0,0,0,0,0,1,0,0,.287,.415,.702,.236
May 1,vs OAK,W 6-3,3,1,1,1,0,0,0,1,1,0,0,.294,.422,.716,.239
May 2,vs OAK,L 3-2,4,0,2,0,0,0,0,0,0,0,0,.301,.425,.726,.248
May 3,vs OAK,W 4-1,3,0,0,0,0,0,0,0,1,0,0,.299,.414,.713,.241
May 4,vs LAA,L 5-0,3,0,0,0,0,0,0,0,1,0,0,.292,.403,.695,.235
May 5,vs LAA,W 9-8,6,1,1,1,0,0,1,0,2,0,0,.287,.400,.687,.232
May 6,vs LAA,L 8-2,4,0,2,0,0,0,0,0,0,0,0,.293,.403,.696,.240
May 8,@ TOR,W 5-0,5,0,1,0,0,0,0,0,2,0,0,.290,.396,.686,.239
May 9,@ TOR,L 5-2,2,0,0,0,0,0,0,1,0,0,0,.295,.390,.685,.235
May 10,@ TOR,W 9-3,5,2,2,0,0,2,5,0,0,0,0,.299,.433,.732,.241
May 12,@ DET,L 4-3,2,1,0,0,0,0,0,1,1,0,0,.304,.427,.731,.238
May 12,@ DET,W 9-5,5,2,3,2,0,0,2,0,1,0,0,.313,.446,.759,.250
May 13,@ DET,L 5-4,5,1,1,0,0,1,1,0,0,0,0,.310,.458,.768,.248
May 14,@ MIN,W 1-0,4,0,0,0,0,0,0,0,2,0,0,.302,.446,.748,.242
May 15,vs TEX,W 9-8,5,0,1,1,0,0,3,1,1,0,0,.303,.444,.747,.241
May 16,vs TEX,L 5-1,4,1,1,0,0,1,1,0,0,0,0,.302,.458,.760,.241
May 17,vs DET,L 3-2,4,1,1,1,0,0,0,0,3,0,0,.301,.459,.760,.241
May 18,vs DET,W 5-4,3,1,0,0,0,0,0,1,0,0,0,.300,.451,.751,.237
May 19,vs DET,W 7-2,3,1,0,0,0,0,0,1,1,0,0,.299,.443,.742,.233
May 20,vs DET,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.293,.433,.726,.228
May 22,@ OAK,W 3-2,5,0,0,0,0,0,0,0,1,0,0,.286,.422,.708,.222
May 23,@ OAK,W 1-0,4,0,1,0,0,0,1,0,2,0,0,.285,.418,.703,.222
May 24,@ OAK,L 4-3,4,0,2,1,0,0,1,0,1,0,0,.289,.425,.714,.228
May 25,vs MIN,W 2-1,3,0,0,0,0,0,0,0,0,0,0,.285,.418,.703,.224
May 26,vs MIN,W 4-3,5,0,0,0,0,0,0,0,1,0,0,.279,.408,.687,.219
May 27,vs MIN,W 3-1,4,2,2,0,0,1,1,0,0,0,0,.283,.424,.707,.224
May 28,vs TEX,W 2-1,3,0,1,0,0,0,1,1,0,0,1,.286,.423,.709,.226
May 29,vs TEX,L 9-5,5,0,0,0,0,0,0,0,3,0,0,.280,.413,.693,.221
May 30,vs TEX,L 7-6,4,1,2,1,0,0,0,0,1,0,0,.284,.419,.703,.226
May 31,vs TEX,W 6-1,3,0,0,0,0,0,0,1,0,0,0,.283,.414,.697,.223
Jun 1,vs TB,W 4-3,6,0,2,0,0,0,0,0,1,0,0,.285,.412,.697,.226
Jun 2,vs TB,W 3-1,4,0,1,1,0,0,1,0,0,0,0,.284,.413,.697,.226
Jun 3,vs TB,W 2-1,3,0,0,0,0,0,0,0,2,0,0,.281,.408,.689,.223
Jun 5,@ HOU,W 7-1,4,1,1,0,0,1,3,0,1,0,0,.280,.418,.698,.224
Jun 6,@ HOU,L 7-5,4,1,1,0,0,1,1,0,0,0,0,.280,.427,.707,.224
Jun 7,@ TB,W 5-4,4,0,0,0,0,0,0,0,1,0,0,.275,.420,.695,.220
Jun 8,@ TB,W 4-3,4,0,2,0,0,0,0,0,1,0,0,.279,.422,.701,.225
Jun 9,@ TB,L 7-3,5,0,0,0,0,0,2,0,2,0,0,.274,.413,.687,.220
Jun 10,@ TB,W 5-4,4,1,2,0,0,1,2,0,0,0,0,.277,.426,.703,.225
Jun 11,vs LAA,W 5-3,4,1,1,0,0,0,0,0,1,0,0,.277,.424,.701,.225
Jun 12,vs LAA,W 6-3,4,0,1,0,0,0,0,0,1,0,0,.276,.421,.697,.226
Jun 13,vs LAA,W 8-6,Did not play
Jun 14,vs BOS,L 2-1,4,1,1,0,0,0,0,0,2,1,0,.276,.419,.695,.226
Jun 15,vs BOS,W 7-6,4,1,1,1,0,0,0,0,2,0,0,.276,.420,.696,.226
Jun 16,vs BOS,W 1-0,3,0,1,0,0,0,0,0,0,0,0,.276,.419,.695,.227
Jun 17,vs BOS,L 9-3,4,0,0,0,0,0,0,0,2,0,0,.272,.413,.685,.224
Jun 19,@ NYY,L 7-2,3,0,0,0,0,0,0,0,3,0,0,.270,.408,.678,.222
Jun 20,@ NYY,L 7-5,2,2,1,1,0,0,0,2,0,0,0,.276,.413,.689,.224
Jun 21,@ NYY,L 4-3,4,1,2,0,0,1,2,0,1,0,0,.279,.424,.703,.228
Jun 22,@ BOS,L 14-10,5,0,0,0,0,0,0,0,2,0,0,.274,.417,.691,.224
Jun 23,@ BOS,W 7-2,5,0,2,1,0,0,1,0,1,0,0,.276,.420,.696,.227
Jun 24,@ BOS,L 5-0,3,0,0,0,0,0,0,0,3,0,0,.274,.416,.690,.224
Jun 25,@ BAL,W 5-3,4,0,0,0,0,0,0,1,1,0,0,.273,.410,.683,.221
Jun 26,@ BAL,W 3-2,4,1,2,0,0,1,3,0,1,0,0,.275,.421,.696,.225
Jun 27,@ BAL,W 8-7,6,2,3,1,0,1,2,0,1,0,0,.279,.435,.714,.230
Jun 28,@ BAL,W 4-2,1,0,0,0,0,0,0,0,0,0,0,.279,.434,.713,.230
Jun 29,vs KC,W 4-1,2,0,1,0,0,0,0,2,0,0,0,.284,.434,.718,.231
Jun 30,vs KC,W 6-4,4,0,0,0,0,0,0,0,1,0,0,.281,.429,.710,.228
Jul 1,vs KC,W 1-0,3,1,2,1,0,0,0,0,1,0,0,.284,.434,.718,.232
Jul 3,vs LAA,W 4-1,4,0,2,1,0,0,2,0,0,0,0,.287,.438,.725,.236
Jul 4,vs LAA,L 7-4,4,1,2,0,0,1,2,0,2,0,0,.289,.448,.737,.239
Jul 5,vs LAA,W 4-1,4,0,0,0,0,0,0,0,1,0,0,.286,.442,.728,.236
Jul 6,vs COL,L 7-1,4,0,0,0,0,0,0,0,2,0,0,.283,.437,.720,.233
Jul 7,vs COL,L 5-1,2,0,2,0,0,0,0,2,0,0,0,.290,.441,.731,.238
Jul 8,vs COL,W 6-4,3,1,1,0,0,0,1,0,1,0,0,.290,.440,.730,.239
Jul 10,@ LAA,L 9-3,4,0,1,0,0,0,0,0,2,0,0,.289,.438,.727,.239
Jul 11,@ LAA,W 3-0,4,0,0,0,0,0,0,0,0,0,0,.286,.433,.719,.236
Jul 12,@ LAA,L 11-2,4,0,1,0,0,0,1,0,1,0,0,.286,.431,.717,.236
Jul 13,@ COL,L 10-7,5,1,2,1,0,0,1,0,0,0,0,.288,.433,.721,.238
Jul 14,@ COL,L 4-1,4,0,0,0,0,0,0,0,1,0,0,.285,.428,.713,.236
Jul 15,@ COL,L 4-3,4,0,0,0,0,0,0,0,1,0,0,.282,.424,.706,.233
Jul 20,vs CHW,W 3-1,3,1,1,1,0,0,0,1,1,1,0,.284,.426,.710,.234
Jul 21,vs CHW,L 5-0,3,0,0,0,0,0,0,0,1,0,0,.282,.422,.704,.232
Jul 22,vs CHW,W 8-2,3,2,1,0,0,0,1,1,0,0,0,.284,.421,.705,.233
Jul 24,vs SF,L 4-3,4,0,2,0,0,0,0,0,0,0,0,.286,.422,.708,.236
Jul 25,vs SF,W 3-2,3,0,0,0,0,0,0,0,1,0,0,.284,.419,.703,.234
