DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs PIT,L 13-10,6,1,1,1,0,0,0,1,2,0,0,.286,.333,.619,.167
Apr 1,vs PIT,L 1-0,3,0,0,0,0,0,0,1,0,0,0,.273,.222,.495,.111
Apr 1,vs PIT,L 8-6,Did not play
Apr 2,vs KC,W 6-1,4,1,2,0,0,0,0,1,1,0,0,.375,.308,.683,.231
Apr 3,vs KC,L 1-0,4,0,0,0,0,0,0,0,2,0,0,.300,.235,.535,.176
Apr 5,@ CHW,W 9-7,6,1,2,0,0,0,2,0,1,0,1,.308,.261,.569,.217
Apr 7,@ CHW,W 6-1,4,1,0,0,0,0,0,1,2,0,0,.290,.222,.512,.185
Apr 8,@ CHW,W 1-0,3,1,2,0,0,0,0,1,0,1,0,.343,.267,.610,.233
Apr 9,@ CLE,L 2-0,2,0,0,0,0,0,0,1,0,0,0,.342,.250,.592,.219
Apr 10,@ CLE,L 2-1,3,0,0,0,0,0,0,0,1,0,0,.317,.229,.546,.200
Apr 11,@ CLE,L 5-1,4,1,3,1,0,1,1,0,0,0,1,.356,.385,.741,.256
Apr 12,@ CLE,L 9-3,5,2,3,1,0,0,0,0,0,0,0,.380,.432,.812,.295
Apr 13,vs NYY,L 8-6,4,0,0,0,0,0,0,0,1,0,0,.352,.396,.748,.271
Apr 17,vs BAL,W 4-2,4,1,2,0,0,0,0,0,0,0,0,.362,.404,.766,.288
Apr 18,vs BAL,W 6-5,4,0,0,0,0,0,0,0,2,0,0,.339,.375,.714,.268
Apr 19,vs BAL,W 13-8,5,3,3,0,1,1,4,0,1,0,0,.358,.475,.833,.295
Apr 20,vs KC,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.338,.446,.784,.277
Apr 20,vs KC,L 3-2,Did not play
Apr 21,vs KC,W 12-4,5,2,2,1,0,0,1,1,0,0,0,.351,.457,.808,.286
Apr 22,vs KC,L 8-5,3,1,0,0,0,0,0,0,1,0,0,.346,.438,.784,.274
Apr 25,@ PIT,W 13-10,6,1,2,0,0,1,1,0,1,0,0,.345,.468,.813,.278
Apr 25,@ PIT,L 8-3,4,1,1,0,0,1,2,0,1,0,0,.341,.494,.835,.277
Apr 26,@ PIT,L 1-0,4,0,2,0,1,0,0,0,0,0,0,.347,.517,.864,.287
Apr 27,@ BAL,L 6-0,4,0,0,0,0,0,0,0,1,0,0,.333,.495,.828,.275
Apr 28,@ BAL,W 9-5,4,1,1,0,0,0,1,1,1,0,0,.337,.484,.821,.274
Apr 29,@ BAL,L 5-3,1,0,0,0,0,0,0,0,1,0,0,.333,.479,.812,.271
Apr 30,vs TB,L 3-2,0,0,0,0,0,0,0,0,0,0,0,.333,.479,.812,.271
May 1,vs TB,W 2-1,4,0,2,1,0,0,1,0,0,0,0,.339,.490,.829,.280
May 2,vs TB,W 3-2,5,0,0,0,0,0,0,0,2,0,0,.325,.467,.792,.267
May 3,@ KC,L 10-6,4,2,3,0,0,0,0,1,1,0,0,.345,.477,.822,.284
May 4,@ KC,L 4-2,4,0,0,0,0,0,0,0,3,0,0,.333,.460,.793,.274
May 5,@ KC,W 3-2,4,1,2,1,0,0,0,1,0,0,1,.344,.470,.814,.282
May 6,@ KC,L 4-2,5,0,2,1,0,0,0,0,1,0,0,.346,.475,.821,.287
May 7,@ TEX,L 7-6,4,2,2,1,0,1,2,1,0,0,0,.355,.508,.863,.294
May 8,@ TEX,W 7-4,Did not play
May 9,@ TEX,L 5-4,Did not play
May 12,vs SEA,W 4-3,Did not play
May 12,vs SEA,L 9-5,Did not play
May 13,vs SEA,W 5-4,Did not play
May 14,vs CLE,W 6-3,Did not play
May 15,vs CLE,W 9-8,Did not play
May 16,vs CLE,L 6-0,Did not play
May 17,@ SEA,W 3-2,Did not play
May 18,@ SEA,L 5-4,4,1,0,0,0,0,0,0,0,0,0,.345,.492,.837,.285
May 19,@ SEA,L 7-2,4,0,0,0,0,0,0,0,2,0,0,.336,.478,.814,.276
May 20,@ SEA,L 3-2,4,0,0,0,0,0,0,1,1,0,0,.331,.464,.795,.268
May 21,@ MIN,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.323,.451,.774,.261
May 22,@ MIN,L 6-0,4,0,0,0,0,0,0,0,1,0,0,.314,.438,.752,.253
May 23,@ MIN,W 4-1,5,1,1,0,0,0,0,0,1,0,0,.311,.430,.741,.252
May 25,vs CHW,W 5-4,3,2,2,0,0,0,1,1,0,0,0,.321,.435,.756,.260
May 26,vs CHW,L 8-4,1,0,0,0,0,0,0,0,0,0,0,.320,.432,.752,.258
May 27,vs CHW,W 3-2,4,0,0,0,0,0,0,0,2,0,0,.312,.421,.733,.252
May 28,vs LAA,W 9-3,5,1,1,0,0,1,1,0,2,0,0,.309,.433,.742,.250
May 29,vs LAA,L 9-2,5,0,1,1,0,0,0,0,0,0,0,.306,.432,.738,.249
May 30,vs LAA,W 6-1,3,1,2,0,0,0,1,2,0,1,0,.319,.436,.755,.256
May 31,vs LAA,W 6-2,Did not play
Jun 1,vs TOR,W 5-2,4,0,1,1,0,0,1,0,0,0,0,.318,.438,.756,.256
Jun 2,vs TOR,W 7-4,Did not play
Jun 3,vs TOR,L 8-4,3,2,1,0,0,1,1,2,1,0,0,.325,.453,.778,.257
Jun 4,vs NYY,L 7-4,4,1,0,0,0,0,0,0,2,0,0,.318,.443,.761,.251
Jun 4,vs NYY,W 4-2,3,2,2,1,0,0,0,1,0,0,0,.327,.452,.779,.258
Jun 5,@ BOS,L 6-0,3,0,0,0,0,0,0,1,0,0,0,.325,.444,.769,.254
Jun 6,@ BOS,L 7-1,4,0,1,0,0,0,0,0,0,0,0,.324,.440,.764,.254
Jun 7,@ BOS,W 7-2,4,2,2,0,1,1,2,0,2,0,0,.327,.467,.794,.259
Jun 8,vs CLE,L 4-1,4,1,2,1,0,0,0,0,2,1,0,.330,.473,.803,.264
Jun 9,vs CLE,W 4-2,5,1,1,0,0,0,0,1,2,2,0,.330,.466,.796,.262
Jun 10,vs CLE,L 9-2,4,1,1,0,0,1,2,0,2,0,0,.329,.476,.805,.262
Jun 12,vs MIN,L 6-4,3,0,0,0,0,0,1,1,0,0,0,.326,.469,.795,.258
Jun 13,vs MIN,W 5-2,4,0,2,0,0,0,1,1,1,1,0,.332,.470,.802,.263
Jun 14,vs MIN,W 3-1,4,0,0,0,0,0,0,0,1,0,0,.327,.462,.789,.258
Jun 15,@ CHW,W 4-3,5,1,2,0,0,0,0,0,3,0,0,.328,.460,.788,.261
Jun 16,@ CHW,W 7-5,4,1,0,0,0,0,0,1,2,0,0,.325,.452,.777,.257
Jun 17,@ CHW,W 3-1,4,0,1,1,0,0,0,0,2,0,0,.324,.453,.777,.256
Jun 19,@ CIN,L 9-5,3,1,3,1,0,0,2,2,0,0,0,.337,.464,.801,.266
Jun 20,@ CIN,L 5-3,5,0,0,0,0,0,0,0,2,0,0,.331,.455,.786,.260
Jun 22,@ CLE,L 10-0,3,0,0,0,0,0,0,1,2,0,0,.330,.449,.779,.257
Jun 23,@ CLE,L 4-1,3,0,0,0,0,0,0,0,1,1,0,.329,.444,.773,.254
Jun 24,@ CLE,L 12-2,4,0,1,0,0,0,0,0,1,0,0,.327,.440,.767,.254
Jun 25,vs OAK,L 5-4,5,1,2,1,0,0,0,0,1,0,0,.329,.444,.773,.257
Jun 26,vs OAK,L 9-7,4,1,2,0,0,0,0,1,1,0,0,.333,.444,.777,.261
Jun 27,vs OAK,L 3-0,4,0,0,0,0,0,0,0,0,0,0,.329,.438,.767,.257
Jun 28,vs OAK,L 4-2,Did not play
Jun 29,@ TOR,L 3-2,4,0,1,0,0,0,0,0,0,0,0,.328,.435,.763,.257
Jun 30,@ TOR,L 4-3,4,0,1,0,0,0,0,0,2,0,0,.327,.432,.759,.256
Jul 1,@ TOR,W 9-1,3,0,1,0,0,0,1,0,0,0,0,.327,.431,.758,.257
Jul 2,@ TOR,W 3-2,Did not play
Jul 3,@ CHC,L 5-3,Did not play
Jul 4,@ CHC,L 5-2,Did not play
Jul 5,vs TEX,L 7-5,Did not play
Jul 6,vs TEX,W 3-1,Did not play
Jul 7,vs TEX,W 7-2,Did not play
Jul 8,vs TEX,L 3-0,Did not play
Jul 9,@ TB,L 10-9,Did not play
Jul 10,@ TB,L 5-2,Did not play
Jul 11,@ TB,L 4-2,Did not play
Jul 13,@ HOU,L 3-0,Did not play
Jul 14,@ HOU,L 9-1,Did not play
Jul 15,@ HOU,W 6-3,Did not play
Jul 20,vs BOS,L 1-0,3,0,1,0,0,0,0,0,1,0,0,.329,.430,.759,.258
Jul 21,vs BOS,W 5-0,4,0,0,0,0,0,0,0,2,0,0,.325,.424,.749,.254
Jul 22,vs BOS,L 9-1,Did not play
Jul 23,@ KC,W 5-4,3,0,0,0,0,0,0,2,1,0,0,.326,.420,.746,.252
Jul 24,@ KC,L 5-4,4,0,0,0,0,0,0,0,2,0,0,.322,.414,.736,.248
