DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ KC,W 14-7,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,1.000
Mar 31,@ KC,W 4-3,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,1.000
Apr 2,@ TOR,L 4-2,3,0,0,0,0,0,0,1,2,0,0,.500,.250,.750,.250
Apr 3,@ TOR,L 14-5,Did not play
Apr 4,@ TOR,W 4-3,0,0,0,0,0,0,0,0,0,0,0,.500,.250,.750,.250
Apr 5,vs DET,L 9-7,5,0,2,1,0,0,2,0,1,0,0,.455,.444,.899,.333
Apr 7,vs DET,L 6-1,Did not play
Apr 8,vs DET,L 1-0,3,0,0,0,0,0,0,0,1,0,0,.357,.333,.690,.250
Apr 9,vs TB,L 5-4,5,1,2,0,0,0,0,0,0,2,0,.368,.353,.721,.294
Apr 10,vs TB,L 6-5,1,1,0,0,0,0,0,0,0,0,0,.350,.333,.683,.278
Apr 11,vs TB,W 2-1,0,0,0,0,0,0,0,0,0,0,0,.381,.333,.714,.278
Apr 12,@ MIN,L 4-0,Did not play
Apr 16,@ OAK,L 8-1,1,0,0,0,0,0,0,0,0,0,0,.364,.316,.680,.263
Apr 17,@ OAK,L 10-2,4,0,1,0,0,0,0,0,2,0,0,.346,.304,.650,.261
Apr 18,@ OAK,L 12-11,6,1,1,0,0,0,1,1,1,2,0,.333,.276,.609,.241
Apr 20,vs HOU,L 10-0,Did not play
Apr 21,vs HOU,L 10-1,3,0,0,0,0,0,0,0,2,0,0,.306,.250,.556,.219
Apr 22,vs HOU,L 7-1,3,0,0,0,0,0,0,0,1,0,0,.282,.229,.511,.200
Apr 23,vs SEA,W 10-4,Did not play
Apr 24,vs SEA,L 1-0,3,0,0,0,0,0,0,0,2,0,0,.262,.211,.473,.184
Apr 25,vs SEA,L 4-3,Did not play
Apr 26,@ KC,W 6-3,3,0,0,0,0,0,0,1,1,0,0,.261,.195,.456,.171
Apr 27,@ KC,W 7-4,5,1,3,0,1,0,2,0,0,0,0,.294,.283,.577,.217
Apr 28,@ KC,W 8-0,4,1,2,0,0,0,1,0,0,0,0,.309,.300,.609,.240
Apr 28,@ KC,L 5-2,3,1,1,0,0,0,0,0,1,1,0,.310,.302,.612,.245
Apr 29,@ KC,L 5-4,4,0,2,0,1,0,1,0,0,0,0,.323,.351,.674,.263
May 1,@ STL,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.317,.345,.662,.259
May 2,@ STL,L 3-2,4,0,1,0,0,0,0,0,2,0,0,.313,.339,.652,.258
May 3,vs MIN,W 6-5,Did not play
May 4,vs MIN,L 6-4,4,1,2,0,0,1,1,0,0,0,0,.324,.394,.718,.273
May 5,vs MIN,L 8-4,4,0,1,0,0,0,0,0,1,1,0,.320,.386,.706,.271
May 6,vs MIN,L 5-3,3,0,1,0,0,0,1,0,1,0,0,.321,.384,.705,.274
May 8,vs PIT,L 10-6,5,1,1,0,0,0,0,0,1,0,0,.313,.372,.685,.269
May 9,vs PIT,L 6-5,4,0,0,0,0,0,0,0,0,0,0,.299,.354,.653,.256
May 11,@ CHC,L 11-2,4,0,0,0,0,0,0,0,1,0,0,.286,.337,.623,.244
May 12,@ CHC,L 8-4,3,0,1,0,0,0,0,1,1,0,0,.295,.337,.632,.247
May 13,@ CHC,W 5-3,1,0,1,0,0,0,1,0,0,0,0,.302,.344,.646,.256
May 15,@ PIT,L 7-0,4,0,1,0,0,0,0,0,0,0,0,.300,.340,.640,.255
May 16,@ PIT,L 3-2,3,1,2,1,0,1,1,0,0,0,0,.317,.392,.709,.268
May 17,vs TEX,W 4-2,4,0,1,0,0,0,0,0,1,1,0,.315,.386,.701,.267
May 18,vs TEX,L 12-5,3,0,0,0,0,0,0,0,1,0,0,.306,.375,.681,.260
May 19,vs TEX,W 5-3,4,0,1,0,0,0,0,0,1,0,0,.304,.370,.674,.259
May 20,vs TEX,W 3-0,4,0,2,0,0,0,2,0,1,0,0,.311,.375,.686,.268
May 21,vs BAL,L 3-2,4,0,2,1,0,0,1,0,0,0,0,.317,.388,.705,.276
May 22,vs BAL,W 3-2,4,0,0,0,0,0,0,0,3,0,0,.307,.375,.682,.267
May 23,vs BAL,W 11-1,2,0,0,0,0,0,0,1,0,2,0,.308,.369,.677,.262
May 24,vs BAL,L 9-3,Did not play
May 25,@ DET,L 5-4,Did not play
May 26,@ DET,W 8-4,Did not play
May 27,@ DET,L 3-2,Did not play
May 28,@ CLE,L 9-6,Did not play
May 29,@ CLE,L 7-3,Did not play
May 30,@ CLE,L 9-1,Did not play
Jun 1,vs MIL,W 8-3,Did not play
Jun 2,vs MIL,L 5-0,Did not play
Jun 3,vs MIL,W 6-1,Did not play
Jun 5,@ MIN,L 4-2,Did not play
Jun 5,@ MIN,W 6-3,Did not play
Jun 6,@ MIN,W 5-2,Did not play
Jun 7,@ MIN,L 7-2,Did not play
Jun 8,@ BOS,W 1-0,Did not play
Jun 9,@ BOS,L 4-2,Did not play
Jun 10,@ BOS,W 5-2,Did not play
Jun 11,vs CLE,L 4-0,Did not play
Jun 12,vs CLE,W 5-1,Did not play
Jun 13,vs CLE,W 3-2,Did not play
Jun 14,vs CLE,L 5-2,Did not play
Jun 15,vs DET,L 4-3,Did not play
Jun 16,vs DET,L 7-5,Did not play
Jun 17,vs DET,L 3-1,Did not play
Jun 18,@ CLE,L 6-2,Did not play
Jun 19,@ CLE,L 6-3,Did not play
Jun 20,@ CLE,L 12-0,Did not play
Jun 22,vs OAK,L 11-2,4,0,2,0,0,0,0,0,0,0,0,.313,.373,.686,.270
Jun 22,vs OAK,W 6-4,Did not play
Jun 23,vs OAK,L 7-6,0,0,0,0,0,0,0,0,0,0,0,.313,.373,.686,.270
Jun 24,vs OAK,W 10-3,4,1,1,0,0,0,0,0,1,0,0,.312,.369,.681,.269
Jun 26,vs MIN,W 8-4,5,1,3,0,0,0,0,0,2,0,0,.322,.378,.700,.281
Jun 27,vs MIN,W 6-1,4,1,2,1,0,0,1,0,1,0,0,.327,.388,.715,.288
Jun 28,vs MIN,L 2-1,1,0,1,0,0,0,0,0,0,0,0,.331,.393,.724,.293
Jun 29,@ TEX,L 11-3,4,0,0,0,0,0,0,0,2,0,0,.322,.382,.704,.285
Jun 30,@ TEX,L 13-4,5,0,0,0,0,0,0,0,0,0,0,.312,.369,.681,.275
Jul 1,@ TEX,W 10-5,3,0,0,0,0,0,0,0,2,0,0,.306,.362,.668,.270
Jul 2,@ CIN,L 5-3,Did not play
Jul 3,@ CIN,W 12-8,1,0,1,0,0,0,1,0,0,0,0,.311,.366,.677,.275
Jul 4,@ CIN,L 7-4,1,0,1,0,0,0,0,0,0,0,0,.315,.370,.685,.279
Jul 5,@ HOU,L 4-3,3,1,1,0,0,1,1,0,2,0,0,.315,.389,.704,.280
Jul 6,@ HOU,L 11-4,3,0,0,0,0,0,0,0,3,0,0,.310,.381,.691,.275
Jul 7,@ HOU,L 12-6,Did not play
Jul 8,@ HOU,L 2-1,4,0,1,0,0,0,0,0,1,0,0,.308,.378,.686,.274
Jul 10,vs STL,L 14-2,4,0,1,0,0,0,0,0,1,0,0,.307,.375,.682,.274
Jul 11,vs STL,W 4-0,2,1,0,0,0,0,0,1,2,0,0,.307,.371,.678,.271
Jul 13,vs KC,W 9-6,5,2,3,1,0,1,3,0,0,0,0,.315,.400,.715,.280
Jul 14,vs KC,L 5-0,4,0,1,0,0,0,0,0,0,0,0,.314,.397,.711,.279
Jul 15,vs KC,W 10-1,4,1,3,0,0,0,1,0,1,1,0,.323,.404,.727,.290
Jul 20,@ SEA,L 3-1,4,1,1,1,0,0,0,0,0,0,0,.321,.406,.727,.289
Jul 21,@ SEA,W 5-0,4,0,1,0,0,0,0,0,1,0,0,.320,.403,.723,.288
Jul 22,@ SEA,L 8-2,4,0,0,0,0,0,0,0,2,0,0,.314,.395,.709,.282
Jul 23,@ LAA,W 5-3,3,1,1,0,1,0,1,0,1,0,0,.313,.404,.717,.283
Jul 24,@ LAA,W 4-2,0,0,0,0,0,0,0,0,0,0,0,.313,.404,.717,.283
