DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ SEA,L 2-1,3,1,1,1,0,0,0,0,0,1,0,.500,.667,1.167,.333
Mar 31,@ SEA,W 6-5,4,0,1,0,0,0,0,0,1,0,0,.375,.429,.804,.286
Apr 1,@ SEA,L 5-4,3,1,1,0,0,0,0,1,1,0,0,.417,.400,.817,.300
Apr 2,@ LAA,W 6-0,4,1,1,0,0,0,0,0,0,0,0,.375,.357,.732,.286
Apr 3,@ LAA,L 13-2,2,0,0,0,0,0,0,1,1,0,0,.368,.313,.681,.250
Apr 4,@ LAA,L 3-2,1,0,0,0,0,0,0,1,1,0,0,.381,.294,.675,.235
Apr 6,vs KC,W 3-2,Did not play
Apr 7,vs KC,L 1-0,0,0,0,0,0,0,0,0,0,0,0,.381,.294,.675,.235
Apr 8,vs KC,W 3-1,Did not play
Apr 9,vs DET,W 2-0,Did not play
Apr 10,vs DET,W 2-1,Did not play
Apr 11,vs DET,W 5-1,Did not play
Apr 12,vs DET,W 9-3,Did not play
Apr 13,vs TOR,L 8-4,Did not play
Apr 17,@ MIN,W 6-1,Did not play
Apr 18,@ MIN,L 2-1,Did not play
Apr 20,@ BAL,L 3-1,Did not play
Apr 21,@ BAL,W 4-0,Did not play
Apr 22,@ BAL,W 7-3,Did not play
Apr 23,@ BAL,W 2-1,Did not play
Apr 24,vs CHC,L 10-3,Did not play
Apr 25,vs CHC,W 4-1,Did not play
Apr 26,vs SEA,L 5-4,Did not play
Apr 27,vs SEA,W 6-5,Did not play
Apr 28,vs SEA,L 12-4,Did not play
Apr 29,vs SEA,L 10-4,Did not play
Apr 30,vs TEX,W 7-5,Did not play
May 1,vs TEX,L 8-6,Did not play
May 2,vs TEX,W 12-4,Did not play
May 3,vs TOR,L 13-11,Did not play
May 3,vs TOR,W 13-4,Did not play
May 4,@ NYY,L 7-6,Did not play
May 5,@ NYY,L 5-2,Did not play
May 6,@ NYY,L 7-4,Did not play
May 8,@ MIL,L 3-2,Did not play
May 9,@ MIL,W 6-2,Did not play
May 11,vs KC,L 10-9,Did not play
May 12,vs KC,W 6-2,Did not play
May 13,vs KC,W 11-2,Did not play
