DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ LAA,W 5-3,6.0,5,3,3,1,4,5,8,10,101,27,51,W(7-8),-,6.09
Jul 15,vs KC,W 10-1,6.1,2,0,0,0,3,6,6,7,102,22,72,W(6-8),-,6.18
Jul 8,@ HOU,L 2-1,7.1,3,2,2,1,3,3,13,8,100,28,64,L(5-8),-,6.59
Jul 3,@ CIN,W 12-8,5.0,8,7,7,3,3,3,7,14,91,27,23,-,-,6.93
Jun 28,vs MIN,L 2-1,6.1,4,1,1,1,4,3,10,10,104,27,60,-,-,6.59
Jun 22,vs OAK,W 6-4,7.0,7,4,4,1,2,8,6,13,100,29,53,W(5-7),-,7.01
Jun 16,vs DET,L 7-5,5.1,6,5,5,2,2,6,4,13,88,25,-,-,-,7.19
Jun 11,vs CLE,L 4-0,5.0,4,4,4,1,4,3,7,9,93,23,42,L(4-7),-,7.09
Jun 5,@ MIN,W 6-3,6.0,6,2,2,0,2,1,10,11,95,24,51,W(4-6),-,7.08
May 29,@ CLE,L 7-3,6.0,9,5,5,2,0,3,9,13,98,25,37,L(3-6),-,7.53
May 24,vs BAL,L 9-3,1.1,6,7,7,2,3,0,3,7,54,14,11,L(3-5),-,7.53
May 19,vs TEX,W 5-3,6.0,4,3,2,0,2,3,8,11,102,26,55,W(3-4),-,6.42
May 13,@ CHC,W 5-3,5.2,2,3,3,0,7,3,8,7,100,26,49,W(2-4),-,6.91
May 8,vs PIT,L 10-6,4.0,7,4,4,0,2,3,8,7,98,21,33,-,-,7.25
May 2,@ STL,L 3-2,6.1,4,3,3,2,2,7,8,6,87,24,58,L(1-4),-,7.03
Apr 26,@ KC,W 6-3,5.2,6,2,2,1,2,2,9,11,93,24,-,W(1-3),-,7.71
Apr 21,vs HOU,L 10-1,2.0,5,9,9,1,7,1,2,8,72,18,-,L(0-3),-,9.00
Apr 12,@ MIN,L 4-0,6.1,5,4,3,0,5,3,7,13,103,28,47,L(0-2),-,5.50
Apr 7,vs DET,L 6-1,5.2,4,5,5,0,3,4,6,11,94,27,42,L(0-1),-,6.17
Mar 31,@ KC,W 4-3,6.0,4,3,3,0,4,1,7,13,89,26,49,-,-,4.50
