DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs MIN,W 3-2,4,0,2,1,0,0,0,1,1,1,0,.600,.750,1.350,.500
Mar 31,vs MIN,L 6-2,1,0,0,0,0,0,0,3,0,0,0,.667,.600,1.267,.400
Apr 1,vs MIN,L 7-0,4,0,1,0,0,0,0,0,1,0,0,.538,.444,.982,.333
Apr 2,@ HOU,L 6-1,4,0,0,0,0,0,0,0,1,0,0,.412,.308,.720,.231
Apr 3,@ HOU,L 10-6,5,1,2,0,0,0,0,0,2,0,0,.409,.333,.742,.278
Apr 4,@ HOU,L 3-2,5,0,1,0,0,0,0,0,0,0,0,.370,.304,.674,.261
Apr 5,@ NYY,W 5-2,4,0,0,0,0,0,0,0,2,0,0,.323,.259,.582,.222
Apr 6,@ NYY,W 7-3,5,3,4,0,0,2,2,2,0,0,0,.421,.531,.952,.313
Apr 7,@ NYY,L 8-3,4,0,1,1,0,0,2,0,2,0,0,.405,.528,.933,.306
Apr 8,@ NYY,W 8-7,6,0,2,0,0,0,1,0,1,0,0,.396,.500,.896,.310
Apr 9,vs TOR,L 7-1,4,1,2,0,0,1,1,1,0,0,0,.415,.565,.980,.326
Apr 10,vs TOR,L 2-1,2,0,0,0,0,0,0,2,0,0,0,.421,.542,.963,.313
Apr 11,vs TOR,W 5-3,5,1,2,1,0,0,0,0,2,0,0,.419,.547,.966,.321
Apr 13,@ BOS,L 7-3,4,0,1,1,0,0,2,0,0,0,0,.409,.544,.953,.316
Apr 14,@ BOS,L 10-3,4,0,1,0,0,0,0,0,1,0,0,.400,.525,.925,.311
Apr 15,@ BOS,L 3-1,4,0,1,1,0,0,1,0,0,0,0,.392,.523,.915,.308
Apr 17,@ DET,L 4-2,3,0,1,0,0,0,0,1,0,0,0,.397,.515,.912,.309
Apr 18,@ DET,L 6-5,4,1,2,1,0,0,1,0,1,0,0,.402,.528,.930,.319
Apr 19,@ DET,L 13-8,5,3,3,1,0,2,4,0,0,0,0,.414,.623,1.037,.338
Apr 20,vs CLE,W 3-1,3,1,1,0,0,1,1,1,0,0,0,.418,.650,1.068,.338
Apr 21,vs CLE,L 4-0,3,0,1,0,0,0,0,1,1,0,0,.421,.639,1.060,.337
Apr 22,vs CLE,L 7-3,4,2,3,0,0,2,2,0,0,0,0,.434,.713,1.147,.356
Apr 23,vs CLE,L 2-1,2,0,1,0,0,0,0,2,0,0,0,.447,.708,1.155,.360
Apr 25,vs TB,L 8-4,4,0,0,0,0,0,0,0,0,0,0,.430,.677,1.107,.344
Apr 26,vs TB,L 9-5,5,0,2,0,0,0,1,0,1,0,0,.429,.663,1.092,.347
Apr 27,vs DET,W 6-0,3,1,2,0,0,1,2,1,0,0,0,.440,.693,1.133,.356
Apr 28,vs DET,L 9-5,5,0,2,0,0,0,2,0,0,0,0,.438,.679,1.117,.358
Apr 29,vs DET,W 5-3,2,0,1,0,0,0,0,2,0,1,0,.448,.676,1.124,.361
May 1,@ LAA,L 3-2,4,1,2,2,0,0,1,0,0,0,0,.450,.688,1.138,.366
May 2,@ LAA,L 10-7,4,0,0,0,0,0,2,0,1,0,0,.433,.664,1.097,.353
May 3,@ LAA,L 12-3,4,1,2,0,0,0,2,0,0,0,0,.435,.658,1.093,.358
May 4,@ OAK,L 6-4,3,1,1,0,0,0,0,1,1,0,0,.437,.650,1.087,.358
May 5,@ OAK,L 2-0,4,0,1,0,0,0,0,1,2,0,1,.435,.638,1.073,.354
May 6,@ OAK,L 2-1,3,0,0,0,0,0,0,1,0,0,0,.430,.623,1.053,.346
May 8,vs KC,L 15-7,3,0,1,0,0,0,0,1,0,0,0,.432,.617,1.049,.346
May 9,vs KC,W 5-3,4,1,1,0,0,0,0,0,0,0,0,.428,.606,1.034,.343
May 10,vs KC,W 11-6,3,1,2,0,0,1,2,2,1,0,0,.439,.629,1.068,.350
May 11,vs TB,W 9-4,4,2,2,0,0,2,6,0,0,0,0,.440,.667,1.107,.354
May 12,vs TB,W 6-3,4,1,1,0,0,1,1,0,0,0,0,.436,.676,1.112,.351
May 12,vs TB,L 10-3,4,0,0,0,0,0,0,0,2,0,0,.426,.658,1.084,.342
May 13,vs TB,W 17-1,5,3,3,2,0,0,2,0,0,0,0,.431,.669,1.100,.350
May 16,vs PHI,L 4-1,4,0,0,0,0,0,0,0,0,0,0,.422,.652,1.074,.342
May 17,@ BOS,L 6-2,4,1,1,0,0,1,2,0,1,0,0,.418,.661,1.079,.339
May 18,@ BOS,W 7-4,5,0,3,2,0,0,2,0,2,0,0,.423,.671,1.094,.347
May 19,@ BOS,L 6-3,3,0,1,0,0,0,0,1,1,0,0,.424,.665,1.089,.347
May 20,@ BOS,L 5-0,5,0,1,0,0,0,0,0,1,0,0,.419,.652,1.071,.343
May 21,@ CHW,W 3-2,3,1,1,0,0,1,1,1,1,0,0,.420,.663,1.083,.343
May 22,@ CHW,L 3-2,4,0,0,0,0,0,0,0,1,0,0,.412,.649,1.061,.335
May 23,@ CHW,L 11-1,4,0,0,0,0,0,0,0,0,0,0,.405,.635,1.040,.328
May 24,@ CHW,W 9-3,5,0,3,0,0,0,1,0,1,0,0,.409,.634,1.043,.335
May 25,@ TB,W 2-0,4,0,0,0,0,0,0,0,0,0,0,.402,.621,1.023,.328
May 26,@ TB,L 5-1,4,1,1,1,0,0,0,0,1,0,0,.399,.619,1.018,.327
May 27,@ TB,L 8-3,5,1,1,0,0,0,0,0,0,0,0,.395,.609,1.004,.324
May 28,vs WSH,L 6-0,4,0,1,0,0,0,0,0,0,0,0,.392,.602,.994,.322
May 29,vs WSH,L 3-2,4,1,2,0,0,1,1,0,1,0,0,.394,.614,1.008,.326
May 30,vs WSH,L 2-0,4,0,1,1,0,0,0,0,1,0,0,.392,.612,1.004,.324
Jun 1,vs NYY,L 4-1,3,1,2,0,0,1,1,1,0,0,0,.398,.626,1.024,.329
Jun 2,vs NYY,L 8-5,4,1,1,0,0,1,1,1,2,0,0,.398,.633,1.031,.327
Jun 5,@ NYM,W 2-1,4,0,1,0,0,0,1,0,0,1,0,.395,.626,1.021,.326
Jun 6,@ NYM,W 1-0,2,0,0,0,0,0,1,1,0,0,0,.393,.621,1.014,.323
Jun 7,@ TOR,L 5-4,4,0,1,0,0,0,1,0,1,0,0,.390,.614,1.004,.322
Jun 8,@ TOR,L 5-1,4,0,0,0,0,0,0,0,0,0,0,.384,.604,.988,.317
Jun 9,@ TOR,L 4-3,4,0,0,0,0,0,0,1,2,1,0,.380,.594,.974,.311
Jun 10,@ TOR,L 13-3,3,0,1,0,0,0,0,0,1,0,0,.380,.591,.971,.312
Jun 11,vs BOS,L 2-0,Did not play
Jun 12,vs BOS,L 6-4,4,0,1,0,0,0,0,1,1,0,0,.380,.586,.966,.311
Jun 13,vs BOS,L 5-1,3,0,0,0,0,0,0,1,0,0,0,.378,.579,.957,.307
Jun 15,vs MIA,L 2-0,4,0,1,0,0,0,0,0,1,0,0,.377,.574,.951,.306
Jun 16,vs MIA,L 5-4,5,0,2,0,0,0,2,0,0,0,0,.377,.570,.947,.308
Jun 17,vs MIA,W 10-4,5,1,2,0,0,0,1,0,2,0,0,.377,.567,.944,.310
Jun 19,@ WSH,L 9-7,4,0,0,0,0,0,0,0,0,0,0,.373,.559,.932,.305
Jun 20,@ WSH,W 3-0,4,0,1,0,0,0,0,0,0,0,0,.371,.554,.925,.304
Jun 21,@ WSH,L 4-2,4,0,1,1,0,0,0,0,1,0,0,.369,.554,.923,.304
Jun 22,@ ATL,W 10-7,5,2,2,0,0,1,2,2,0,1,0,.374,.561,.935,.305
Jun 23,@ ATL,W 7-5,3,1,1,0,1,0,0,1,0,0,0,.375,.566,.941,.306
Jun 24,@ ATL,L 7-3,4,0,0,0,0,0,0,0,0,0,0,.371,.558,.929,.301
Jun 25,vs SEA,L 5-3,3,1,2,0,0,0,0,1,0,0,0,.375,.559,.934,.305
Jun 26,vs SEA,L 3-2,4,0,0,0,0,0,0,0,1,0,0,.371,.552,.923,.301
Jun 27,vs SEA,L 8-7,5,2,2,0,0,0,0,0,0,0,0,.371,.549,.920,.303
Jun 28,vs SEA,L 4-2,3,1,1,0,0,1,1,1,1,0,0,.373,.557,.930,.303
Jun 29,vs LAA,L 7-1,4,0,2,0,0,0,0,0,0,0,0,.374,.556,.930,.305
Jun 30,vs LAA,L 6-2,4,0,2,0,0,0,1,0,1,0,0,.376,.556,.932,.308
Jul 1,vs LAA,W 8-2,4,1,2,0,0,1,2,0,0,0,0,.377,.564,.941,.310
Jul 3,@ PHI,L 3-2,3,1,1,1,0,0,0,1,1,1,0,.378,.565,.943,.311
Jul 4,@ PHI,L 4-1,3,0,0,0,0,0,0,1,1,1,0,.377,.560,.937,.308
Jul 5,@ MIN,L 5-2,3,0,1,1,0,0,0,1,0,0,0,.378,.561,.939,.308
Jul 6,@ MIN,L 6-2,4,1,2,0,0,0,0,1,0,0,0,.381,.560,.941,.310
Jul 7,@ MIN,L 5-4,4,0,1,0,0,0,1,0,0,0,0,.380,.557,.937,.310
Jul 8,@ MIN,L 10-1,3,0,2,1,0,0,0,0,0,0,0,.382,.560,.942,.313
Jul 9,vs NYY,W 5-4,4,1,1,1,0,0,0,0,1,0,0,.381,.560,.941,.312
Jul 9,vs NYY,L 10-2,3,0,0,0,0,0,0,1,0,0,0,.379,.555,.934,.309
Jul 10,vs NYY,W 6-5,4,2,3,0,0,2,3,1,0,0,0,.385,.574,.959,.314
Jul 11,vs NYY,L 9-0,4,0,1,1,0,0,0,0,0,0,0,.383,.573,.956,.314
Jul 12,vs PHI,L 5-4,4,0,2,0,0,0,1,0,0,0,0,.385,.573,.958,.316
Jul 13,vs TEX,L 5-4,3,0,0,0,0,0,0,1,0,0,0,.383,.568,.951,.313
Jul 14,vs TEX,W 1-0,3,0,1,0,0,0,0,1,0,1,0,.384,.566,.950,.313
Jul 15,vs TEX,W 6-5,1,2,1,0,0,1,1,1,0,0,0,.387,.575,.962,.315
 ,"Previously with BAL, Acquired by LAD"
Jul 20,@ MIL,W 6-4,3,0,2,0,0,0,0,2,0,0,0,.800,.667,1.467,.667
Jul 21,@ MIL,L 4-2,5,0,1,0,0,0,0,0,0,0,0,.500,.375,.875,.375
Jul 22,@ MIL,W 11-2,5,1,2,1,0,0,1,0,1,0,0,.467,.462,.929,.385
Jul 23,@ PHI,W 7-6,5,1,1,0,1,0,0,0,2,0,0,.400,.500,.900,.333
Jul 24,@ PHI,L 7-4,6,0,0,0,0,0,0,1,1,0,0,.333,.375,.708,.250
Jul 25,@ PHI,L 7-3,3,0,1,0,0,0,0,1,2,1,0,.355,.370,.725,.259
