DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ NYM,L 9-4,4,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000
Mar 31,@ NYM,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 1,@ NYM,W 5-1,5,0,3,1,0,0,2,0,2,0,0,.231,.308,.539,.231
Apr 2,@ MIL,W 8-4,5,1,1,0,0,0,0,0,1,0,0,.222,.278,.500,.222
Apr 3,@ MIL,L 5-4,4,1,1,0,0,1,2,0,1,0,0,.227,.409,.636,.227
Apr 4,@ MIL,W 6-0,4,1,2,0,0,0,1,0,2,0,0,.269,.423,.692,.269
Apr 5,vs ARI,L 3-1,4,0,1,0,0,0,0,0,1,0,0,.267,.400,.667,.267
Apr 7,vs ARI,W 5-3,4,1,3,0,0,0,0,0,0,0,0,.324,.441,.765,.324
Apr 8,vs ARI,L 4-1,4,0,1,0,0,0,0,0,1,0,0,.316,.421,.737,.316
Apr 9,vs MIL,L 5-4,5,0,2,1,0,0,2,0,2,0,0,.326,.442,.768,.326
Apr 10,vs MIL,W 5-3,5,0,1,0,0,0,0,0,1,0,0,.313,.417,.730,.313
Apr 11,vs MIL,L 3-2,4,0,1,0,0,0,0,0,0,0,0,.308,.404,.712,.308
Apr 12,@ CIN,W 13-4,6,1,1,0,0,1,1,0,1,0,0,.293,.431,.724,.293
Apr 13,@ CIN,W 5-3,5,1,2,0,0,0,1,0,2,0,0,.302,.429,.731,.302
Apr 14,@ CIN,W 6-1,3,0,0,0,0,0,1,1,0,0,0,.294,.409,.703,.288
Apr 15,@ CIN,W 3-2,Did not play
Apr 17,@ CHC,W 5-3,4,0,0,0,0,0,1,1,1,0,0,.288,.386,.674,.271
Apr 19,@ CHC,L 8-5,4,0,0,0,0,0,0,0,3,0,0,.273,.365,.638,.257
Apr 20,vs CIN,W 4-2,3,1,0,0,0,0,0,1,0,0,0,.272,.351,.623,.247
Apr 21,vs CIN,W 4-3,4,1,1,0,0,0,0,0,1,0,0,.271,.346,.617,.247
Apr 22,vs CIN,W 9-2,Did not play
Apr 24,vs NYM,L 6-5,5,0,0,0,0,0,0,0,0,0,0,.256,.326,.582,.233
Apr 25,vs NYM,W 9-1,4,0,1,0,0,0,2,0,2,0,0,.255,.322,.577,.233
Apr 26,vs NYM,W 4-3,6,0,2,0,0,0,1,0,1,0,0,.260,.323,.583,.240
Apr 27,@ PIT,L 6-5,5,0,3,1,0,0,2,0,0,0,0,.276,.347,.623,.257
Apr 28,@ PIT,L 6-2,4,0,1,0,0,0,1,0,0,0,0,.275,.343,.618,.257
Apr 29,@ PIT,L 5-0,3,0,0,0,0,0,0,0,1,0,0,.268,.333,.601,.250
May 1,vs CHW,W 3-2,4,1,1,1,0,0,0,0,0,1,0,.267,.339,.606,.250
May 2,vs CHW,W 3-2,3,0,0,0,0,0,0,0,1,0,0,.261,.330,.591,.243
May 4,vs CHC,W 3-2,3,0,3,0,0,0,0,1,0,0,0,.285,.347,.632,.263
May 5,vs CHC,W 8-6,5,0,1,1,0,0,2,0,2,0,0,.281,.350,.631,.260
May 6,vs CHC,W 4-3,5,0,1,0,0,0,0,1,2,0,0,.284,.344,.628,.258
May 7,vs MIN,L 6-0,3,0,0,0,0,0,0,1,3,0,0,.283,.336,.619,.252
May 8,vs MIN,L 7-1,3,0,0,0,0,0,0,0,0,0,0,.277,.328,.605,.246
May 10,@ SD,W 2-1,4,0,2,0,0,0,0,0,2,1,0,.283,.333,.616,.254
May 11,@ SD,W 9-5,4,3,2,0,0,1,1,1,0,0,0,.293,.359,.652,.261
May 12,@ SD,L 2-1,5,0,1,0,0,0,0,1,0,0,0,.295,.354,.649,.259
May 13,@ SD,L 5-3,4,0,2,0,0,0,0,0,0,0,0,.300,.358,.658,.265
May 15,@ MIN,L 4-1,4,0,0,0,0,0,0,0,1,0,0,.293,.348,.641,.258
May 16,@ MIN,W 7-5,5,0,0,0,0,0,0,0,1,0,0,.284,.338,.622,.250
May 17,vs PHI,L 6-2,5,1,0,0,0,0,1,0,1,0,0,.276,.327,.603,.242
May 18,vs PHI,W 12-4,2,1,0,0,0,0,0,2,0,0,0,.281,.323,.604,.240
May 19,vs PHI,L 7-6,4,1,0,0,0,0,0,0,0,0,0,.275,.316,.591,.234
May 20,vs PHI,W 5-1,Did not play
May 21,vs KC,W 6-0,3,2,2,0,0,0,1,1,1,0,0,.285,.322,.607,.241
May 22,vs KC,L 5-1,4,0,3,0,0,0,0,0,0,0,0,.295,.331,.626,.253
May 23,vs KC,L 5-2,0,0,0,0,0,0,0,0,0,0,0,.295,.331,.626,.253
May 25,@ PIT,L 8-1,3,0,2,1,0,0,0,0,0,0,0,.301,.343,.644,.260
May 26,@ PIT,W 4-1,4,1,2,0,0,0,0,0,0,0,0,.305,.346,.651,.265
May 27,@ PIT,W 6-4,4,1,1,0,0,0,1,1,0,0,0,.307,.344,.651,.265
May 28,@ MIL,L 8-3,4,0,1,0,0,0,0,0,0,0,0,.306,.342,.648,.264
May 29,@ MIL,W 6-1,3,0,0,0,0,0,0,0,1,0,0,.301,.337,.638,.260
May 30,@ MIL,L 3-2,0,0,0,0,0,0,0,1,0,0,0,.305,.337,.642,.260
May 31,vs PIT,W 10-8,0,1,0,0,0,0,0,1,0,0,0,.308,.337,.645,.260
Jun 1,vs PIT,L 4-0,4,0,2,0,0,0,0,0,0,0,0,.312,.340,.652,.265
Jun 2,vs PIT,W 3-2,3,1,2,0,0,1,1,1,0,0,0,.320,.360,.680,.271
Jun 3,vs PIT,W 5-0,3,1,1,0,0,1,4,1,0,0,0,.323,.374,.697,.272
Jun 5,vs MIA,L 7-4,4,1,3,0,0,0,1,0,0,0,0,.330,.381,.711,.281
Jun 6,vs MIA,L 11-3,4,0,0,0,0,0,0,0,1,0,0,.325,.374,.699,.276
Jun 7,vs MIA,W 4-1,4,0,1,0,0,0,1,0,0,0,0,.323,.372,.695,.275
