DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,vs BAL,W 4-1,7.0,5,1,1,0,2,7,12,5,107,27,68,W(3-7),-,5.42
Jul 15,@ BOS,L 5-2,5.0,5,4,3,1,1,4,6,10,95,21,46,L(2-7),-,5.86
Jul 10,@ ATL,W 6-2,7.0,6,1,1,0,2,5,17,4,93,28,64,W(2-6),-,5.90
Jul 4,vs NYM,L 6-3,4.2,6,6,6,1,4,2,8,7,85,21,26,L(1-6),-,6.50
Jun 29,vs DET,W 3-2,7.0,4,2,1,1,0,4,14,6,90,24,-,W(1-5),-,6.02
Jun 23,@ LAA,W 4-1,5.0,6,0,0,0,1,5,12,3,81,21,59,-,-,6.80
May 8,vs SEA,L 5-0,5.0,9,5,5,1,2,2,13,9,88,26,29,L(0-5),-,7.71
May 2,@ MIN,L 4-0,7.0,6,2,2,1,1,5,10,12,99,28,61,L(0-4),-,7.52
Apr 27,vs TEX,L 6-4,5.1,8,6,6,1,1,4,11,9,91,25,31,L(0-3),-,8.88
Apr 21,@ NYY,L 9-1,5.1,5,8,6,1,4,5,10,5,94,25,31,L(0-2),-,8.55
Apr 13,@ CLE,W 8-4,5.0,9,4,4,0,2,5,14,5,99,26,36,-,-,7.98
Apr 7,@ TEX,L 5-1,4.2,6,5,5,0,5,3,10,6,95,24,30,L(0-1),-,8.38
Apr 1,vs NYY,W 7-4,5.0,3,4,4,1,3,8,8,3,85,22,50,-,-,7.20
