DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,@ OAK,L 6-5,1.0,1,1,1,1,1,1,1,1,19,4,-,-,BlSv(3),2.65
Jul 20,@ OAK,W 5-1,1.0,1,0,0,0,1,0,1,3,14,5,-,-,-,2.25
Jul 14,vs OAK,L 4-3,1.0,1,0,0,0,0,0,1,3,17,4,-,-,-,2.40
Jul 11,vs CHC,W 5-4,1.0,0,0,0,0,0,2,1,0,15,3,-,-,-,2.57
Jul 9,vs CHC,W 2-1,1.0,0,0,0,0,0,0,3,0,8,3,-,-,-,2.77
Jul 7,vs STL,L 3-2,1.0,0,0,0,0,1,1,0,2,23,4,-,-,-,3.00
Jul 1,@ ARI,W 9-6,0.2,3,1,1,0,0,0,2,3,15,5,-,-,-,3.27
Jun 28,vs COL,L 9-8,1.0,1,0,0,0,0,1,1,1,15,3,-,-,-,2.61
Jun 26,vs COL,W 3-2,0.2,2,1,1,0,0,0,3,1,14,4,-,-,BlSv(2),2.89
Jun 24,vs SD,W 3-2,1.0,1,0,0,0,1,0,2,1,12,4,-,-,-,2.08
Jun 21,vs SD,W 3-0,1.0,1,0,0,0,0,1,3,0,14,4,-,-,Sv(1),2.35
Jun 19,vs MIA,W 6-3,1.0,0,0,0,0,1,0,0,3,15,4,-,-,H(4),2.70
Jun 17,@ LAD,W 4-1,0.2,1,0,0,0,0,1,1,1,9,3,-,-,H(3),3.18
Jun 13,@ MIA,L 5-4,1.0,2,1,1,0,0,0,3,1,12,4,-,-,BlSv(1),3.60
Jun 10,@ WSH,W 2-0,1.0,0,0,0,0,1,0,2,1,15,4,-,-,H(2),2.25
Jun 8,@ WSH,W 9-5,1.0,2,1,1,0,0,0,1,4,15,6,-,-,H(1),3.00
Jun 5,vs ARI,L 3-2,1.0,0,0,0,0,0,2,0,2,17,4,-,-,-,0.00
Jun 3,vs PHI,W 6-1,1.0,0,0,0,0,0,3,0,0,14,3,-,-,-,0.00
