DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
May 12,@ ARI,W 2-1,Did not play
May 13,@ ARI,W 6-4,4,2,3,0,0,2,3,0,0,0,0,.750,2.250,3.000,.750
May 15,vs NYY,W 5-3,3,0,1,0,0,0,0,0,1,0,0,.571,1.429,2.000,.571
May 19,vs LAD,L 4-1,1,0,0,0,0,0,0,0,1,0,0,.500,1.250,1.750,.500
May 19,vs LAD,L 5-4,3,1,1,1,0,0,1,1,0,0,0,.500,1.091,1.591,.455
May 20,vs LAD,L 7-2,3,0,1,0,0,0,0,1,0,0,0,.500,.929,1.429,.429
May 21,vs SD,W 10-2,5,3,3,0,0,2,2,0,0,0,0,.524,1.158,1.682,.474
May 22,vs SD,W 2-1,4,0,2,0,0,0,0,0,1,0,0,.520,1.043,1.563,.478
May 23,vs SD,L 3-1,1,0,1,0,0,0,0,0,0,0,0,.538,1.042,1.580,.500
May 25,@ MIA,W 9-5,Did not play
May 26,@ MIA,W 4-1,4,1,1,0,0,1,1,0,1,0,0,.500,1.036,1.536,.464
May 27,@ MIA,W 5-2,2,1,1,0,0,0,0,0,0,0,0,.500,1.000,1.500,.467
May 28,@ BAL,W 6-0,3,0,0,0,0,0,0,1,1,0,0,.472,.909,1.381,.424
May 29,@ BAL,W 3-2,4,2,2,0,0,1,1,0,1,0,0,.475,.946,1.421,.432
May 30,@ BAL,W 2-0,4,0,0,0,0,0,0,0,0,0,0,.432,.854,1.286,.390
May 31,@ ATL,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.396,.778,1.174,.356
Jun 1,@ ATL,L 4-0,Did not play
Jun 2,@ ATL,W 5-3,3,0,0,0,0,0,0,1,1,0,0,.385,.729,1.114,.333
Jun 3,@ ATL,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.357,.673,1.030,.308
Jun 5,vs TB,W 4-2,Did not play
Jun 6,vs TB,W 11-2,4,0,1,0,0,0,0,1,2,0,0,.361,.643,1.004,.304
Jun 8,vs SF,L 9-5,4,0,1,0,0,0,0,0,2,0,0,.354,.617,.971,.300
Jun 9,vs SF,W 7-5,Did not play
Jun 10,vs SF,L 2-0,3,0,1,0,0,0,0,0,1,0,0,.353,.603,.956,.302
Jun 12,@ NYY,L 3-0,3,0,0,0,0,0,0,0,1,0,0,.338,.576,.914,.288
Jun 13,@ NYY,W 5-4,Did not play
Jun 15,@ TOR,L 6-5,2,0,0,0,0,0,0,1,1,0,0,.338,.559,.897,.279
Jun 16,@ TOR,L 2-0,Did not play
Jun 17,@ TOR,L 8-6,Did not play
Jun 18,vs NYY,L 4-2,3,0,0,0,0,0,2,0,2,0,0,.321,.535,.856,.268
Jun 19,vs BAL,W 9-7,2,0,0,0,0,0,0,0,2,0,0,.313,.521,.834,.260
Jun 20,vs BAL,L 3-0,2,0,0,0,0,0,0,0,2,0,0,.305,.507,.812,.253
Jun 21,vs BAL,W 4-2,4,0,0,0,0,0,0,0,1,0,0,.291,.481,.772,.241
Jun 22,vs PHI,L 12-2,1,0,0,0,0,0,0,0,0,0,0,.287,.475,.762,.238
Jun 23,vs PHI,L 5-3,Did not play
Jun 24,vs PHI,W 8-6,Did not play
Jun 25,@ TB,L 11-0,2,0,0,0,0,0,0,1,1,0,0,.289,.463,.752,.232
Jun 26,@ TB,L 1-0,Did not play
Jun 28,@ PHI,L 4-3,1,0,0,0,0,0,0,0,1,0,0,.286,.458,.744,.229
Jun 29,@ PHI,W 17-7,4,1,1,0,0,1,2,1,2,0,0,.289,.483,.772,.230
Jun 30,@ PHI,L 3-2,3,0,1,0,0,0,0,1,0,0,0,.297,.478,.775,.233
Jul 1,@ PHI,L 4-3,4,1,2,0,0,0,0,1,2,0,0,.311,.479,.790,.245
Jul 2,vs BOS,L 4-3,0,0,0,0,0,0,0,1,0,0,0,.318,.479,.797,.245
Jul 3,vs BOS,L 11-4,4,1,2,0,0,0,1,0,1,0,0,.324,.480,.804,.255
Jul 4,vs BOS,L 3-0,2,0,0,0,0,0,0,0,2,0,0,.319,.470,.789,.250
Jul 5,vs MIA,W 14-12,0,1,0,0,0,0,0,1,0,0,0,.325,.470,.795,.250
Jul 6,vs MIA,W 3-2,1,1,1,0,0,1,1,0,0,0,0,.330,.505,.835,.257
Jul 7,vs MIA,W 18-4,5,3,5,1,0,2,10,0,0,0,0,.358,.594,.952,.292
Jul 8,vs MIA,L 10-2,4,1,2,1,0,0,0,1,1,0,0,.368,.600,.968,.300
Jul 9,@ PIT,L 6-3,1,0,0,0,0,0,0,0,0,0,0,.365,.595,.960,.297
Jul 10,@ PIT,W 5-1,0,0,0,0,0,0,1,1,0,0,0,.370,.595,.965,.297
Jul 11,@ PIT,L 2-0,Did not play
Jul 12,@ NYM,W 5-4,5,0,0,0,0,0,0,0,2,0,0,.356,.569,.925,.284
Jul 13,@ NYM,L 4-2,Did not play
Jul 14,@ NYM,L 7-4,Did not play
Jul 15,@ NYM,W 6-1,1,0,1,0,0,0,0,0,0,0,0,.361,.573,.934,.291
Jul 20,vs ATL,L 8-5,Did not play
Jul 22,vs ATL,W 6-2,1,0,0,0,0,0,0,0,0,0,0,.358,.568,.926,.288
Jul 23,@ MIL,L 6-1,1,0,0,0,0,0,0,0,0,0,0,.356,.563,.919,.286
Jul 24,@ MIL,L 5-4,0,0,0,0,0,0,0,0,0,0,0,.356,.563,.919,.286
Jul 25,@ MIL,W 7-3,1,0,0,0,0,0,0,0,1,0,0,.353,.558,.911,.283
