DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 20,@ DET,W 1-0,1.0,0,0,0,0,1,3,1,0,23,5,-,-,H(20),2.30
Jul 14,vs TOR,W 6-2,1.1,1,0,0,0,2,3,1,1,38,7,-,-,-,2.36
Jul 12,vs TOR,W 6-4,1.0,3,1,1,0,0,2,0,4,27,6,-,-,H(19),2.43
Jul 10,vs TEX,W 8-4,1.0,0,0,0,0,0,3,0,0,15,3,-,W(3-2),-,2.27
Jul 8,@ KC,W 7-4,1.0,0,0,0,0,0,2,1,0,14,3,-,-,-,2.33
Jul 7,@ KC,W 15-4,1.0,0,0,0,0,0,2,1,1,19,4,-,-,H(18),2.39
Jul 4,@ WSH,W 3-0,1.0,1,0,0,0,0,1,2,1,19,4,-,-,H(17),2.45
Jul 2,@ WSH,W 4-3,1.0,1,0,0,0,1,1,2,1,19,5,-,-,H(16),2.52
Jun 27,vs LAA,W 9-6,1.0,0,0,0,0,1,3,1,0,22,5,-,W(2-2),-,2.60
Jun 24,vs SEA,W 5-0,1.0,0,0,0,0,0,0,2,1,10,3,-,-,-,2.67
Jun 22,vs SEA,W 14-10,1.0,0,0,0,0,0,3,0,0,14,3,-,W(1-2),-,2.76
Jun 17,@ SEA,W 9-3,1.0,0,0,0,0,0,1,2,0,13,3,-,-,-,2.84
Jun 15,@ SEA,L 7-6,1.0,2,2,2,0,1,2,2,1,22,6,-,L(0-2),BlSv(2),2.93
Jun 12,@ BAL,W 6-4,1.0,0,0,0,0,1,1,1,2,25,5,-,-,-,2.43
Jun 10,vs CHW,L 5-2,1.0,2,2,2,0,1,2,2,1,18,6,-,-,-,2.51
Jun 9,vs CHW,W 4-2,1.0,1,0,0,0,1,1,1,2,13,5,-,-,H(15),1.95
Jun 6,vs DET,W 7-1,1.0,2,0,0,0,1,1,3,1,36,6,-,-,-,2.03
Jun 3,@ HOU,W 9-3,1.2,0,0,0,0,0,2,3,0,25,5,-,-,H(14),2.10
Jun 1,@ HOU,L 7-3,1.0,2,0,0,0,0,0,3,1,11,4,-,-,-,2.25
May 30,vs TOR,W 6-4,1.1,0,0,0,0,0,2,1,2,15,5,-,-,H(13),2.35
May 25,vs ATL,W 6-2,1.0,0,0,0,0,0,1,1,1,13,3,-,-,H(12),2.49
May 23,@ TB,W 4-1,1.0,0,0,0,0,0,2,1,0,18,3,-,-,-,2.61
May 19,vs BAL,W 6-3,1.0,0,0,0,0,0,2,0,1,18,3,-,-,H(11),2.75
May 16,vs OAK,W 6-4,1.0,1,0,0,0,0,2,1,1,16,4,-,-,H(10),2.89
May 13,@ TOR,W 5-3,1.0,2,0,0,0,0,1,1,2,14,4,-,-,H(9),3.06
May 11,@ TOR,L 5-3,1.0,0,0,0,0,2,2,0,1,27,5,-,-,-,3.24
May 10,@ NYY,W 5-4,1.0,0,0,0,0,1,0,1,2,11,4,-,-,-,3.45
May 9,@ NYY,L 9-6,0.1,1,2,2,0,1,0,1,1,13,3,-,L(0-1),H(8),3.68
May 6,@ TEX,W 6-1,1.0,0,0,0,0,0,0,3,0,9,3,-,-,-,2.51
May 4,@ TEX,W 5-1,1.0,0,0,0,0,0,2,1,0,12,3,-,-,-,2.70
May 2,vs KC,W 5-4,1.0,1,1,1,1,0,2,1,1,17,5,-,-,H(7),2.92
May 1,vs KC,L 7-6,1.0,2,0,0,0,0,1,3,1,21,5,-,-,H(6),2.38
Apr 28,vs TB,L 12-6,1.0,0,0,0,0,0,2,1,0,9,3,-,-,-,2.61
Apr 26,@ TOR,W 5-4,1.1,0,0,0,0,2,3,1,0,29,6,-,-,H(5),2.89
Apr 20,@ OAK,W 7-3,1.1,0,0,0,0,0,2,2,0,21,4,-,-,H(4),3.38
Apr 15,vs BAL,W 3-1,1.0,0,0,0,0,1,2,0,1,20,4,-,-,H(3),4.05
Apr 13,vs BAL,W 7-3,1.0,1,0,0,0,0,1,2,1,16,4,-,-,-,4.76
Apr 11,vs NYY,L 10-7,1.0,1,2,2,0,1,1,1,2,19,5,-,-,-,5.79
Apr 3,@ MIA,W 4-2,1.0,1,1,1,0,2,1,0,2,20,5,-,-,BlSv(1),2.45
Apr 1,@ TB,W 2-1,0.2,0,0,0,0,1,2,0,0,15,3,-,-,H(2),0.00
Mar 30,@ TB,W 1-0,1.0,0,0,0,0,1,1,0,2,18,4,-,-,H(1),0.00
Mar 29,@ TB,L 6-4,1.0,0,0,0,0,0,0,1,2,13,3,-,-,-,0.00
