DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs ATL,W 6-2,6.0,8,2,2,0,1,7,5,11,107,24,54,W(13-5),-,2.43
Jul 12,@ NYM,W 5-4,7.0,5,3,3,2,2,5,6,14,101,27,58,W(12-5),-,2.41
Jul 7,vs MIA,W 18-4,7.0,7,4,4,3,2,3,11,12,109,28,48,W(11-5),-,2.33
Jul 2,vs BOS,L 4-3,6.0,4,3,3,0,3,9,2,11,108,27,58,L(10-5),-,2.16
Jun 26,@ TB,L 1-0,7.0,4,1,1,0,3,4,9,12,104,28,-,L(10-4),-,2.04
Jun 21,vs BAL,W 4-2,7.0,5,2,2,2,1,9,6,11,102,27,67,-,-,2.09
Jun 16,@ TOR,L 2-0,6.0,4,2,2,1,1,10,5,7,108,24,-,L(10-3),-,2.06
Jun 10,vs SF,L 2-0,7.0,4,2,2,1,3,9,7,9,113,28,67,L(10-2),-,2.00
Jun 5,vs TB,W 4-2,8.0,5,2,2,0,0,13,7,8,99,28,77,W(10-1),-,1.95
May 30,@ BAL,W 2-0,8.0,2,0,0,0,1,12,5,9,111,27,89,W(9-1),-,1.92
May 25,@ MIA,W 9-5,6.0,7,4,4,1,2,4,7,15,114,29,44,W(8-1),-,2.13
May 19,vs LAD,L 5-4,7.0,5,2,2,1,3,13,7,6,121,29,69,-,-,1.78
May 11,@ ARI,W 3-1,7.0,4,1,1,1,0,11,2,12,99,25,76,W(7-1),-,1.69
May 6,vs PHI,W 5-4,6.1,5,1,1,0,2,15,1,7,111,26,-,-,-,1.74
May 1,vs PIT,W 12-4,6.1,3,2,2,1,2,8,4,10,106,24,65,W(6-1),-,1.79
Apr 25,@ SF,W 15-2,6.0,5,2,2,0,2,10,4,9,99,25,62,W(5-1),-,1.62
Apr 20,@ LAD,W 5-2,6.0,4,1,1,0,3,9,5,7,106,26,66,W(4-1),-,1.36
Apr 14,vs COL,W 6-2,7.0,1,2,2,1,1,11,4,7,103,23,77,W(3-1),-,1.33
Apr 9,vs ATL,W 2-0,9.0,2,0,0,0,0,10,9,9,102,28,93,W(2-1),-,0.90
Apr 4,@ ATL,L 7-1,5.0,6,5,2,1,2,7,3,12,110,24,46,L(1-1),-,1.64
Mar 30,@ CIN,W 2-0,6.0,5,0,0,0,1,10,6,7,100,24,-,W(1-0),-,0.00
