DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Sep 30,vs DET,L 3-2,2.0,0,0,0,0,0,1,4,1,22,6,-,-,-,5.14
Sep 27,@ CLE,L 4-2,0.2,2,1,1,1,1,0,2,2,30,5,-,-,-,5.68
Sep 24,@ DET,W 10-4,2.0,2,2,2,1,0,1,1,5,25,7,-,-,-,5.40
Sep 20,@ NYY,L 11-3,1.2,2,0,0,0,0,3,1,3,33,7,-,-,-,4.96
Sep 16,vs TOR,L 7-2,1.0,0,0,0,0,1,2,0,1,17,4,-,-,-,5.52
Sep 12,vs SD,W 16-0,1.0,0,0,0,0,0,1,0,2,16,3,-,-,-,5.93
Sep 10,@ KC,L 11-3,1.2,2,1,1,0,0,3,2,2,23,7,-,-,-,6.39
May 6,vs BOS,L 11-1,1.1,2,1,1,1,3,1,1,4,34,9,-,-,-,6.55
May 4,vs OAK,L 8-5,1.1,1,0,0,0,1,2,0,3,29,6,-,-,-,6.52
May 2,vs OAK,W 9-1,1.0,2,1,1,1,0,1,1,3,19,5,-,-,-,7.56
Apr 26,@ TEX,L 14-3,0.1,2,3,3,1,1,0,1,2,13,4,-,-,-,7.36
Apr 23,vs DET,L 13-4,0.2,2,3,0,0,2,3,0,2,31,7,-,-,-,3.86
Apr 22,vs DET,L 5-4,1.0,1,1,1,0,1,2,3,0,28,6,-,L(0-1),-,4.26
Apr 18,vs CLE,L 11-4,1.0,1,2,2,1,0,1,1,2,15,5,-,-,-,3.38
Apr 11,@ DET,L 2-1,1.2,1,0,0,0,1,1,0,5,27,7,-,-,-,0.00
Apr 8,@ CHW,L 6-2,2.2,2,0,0,0,1,2,5,1,35,9,-,-,-,0.00
