DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jun 20,@ PHI,L 4-3,3.2,6,3,1,1,2,2,7,9,75,20,-,-,-,3.20
Jun 15,vs CHC,L 13-5,4.0,7,9,8,3,4,2,10,7,84,24,12,L(8-2),-,3.24
Jun 9,@ CIN,W 6-4,5.2,4,2,2,1,3,6,4,11,96,24,56,W(8-1),-,2.47
Jun 3,vs PIT,W 5-0,8.0,1,0,0,0,2,8,12,5,111,27,86,W(7-1),-,2.41
May 29,@ MIL,W 6-1,6.2,2,1,1,0,4,3,10,9,102,26,65,W(6-1),-,2.71
May 23,vs KC,L 5-2,6.2,4,2,1,1,0,6,7,11,102,24,66,-,-,2.88
May 18,vs PHI,W 12-4,6.0,5,2,2,0,2,8,8,7,101,25,60,W(5-1),-,3.08
May 12,@ SD,L 2-1,6.0,3,1,1,0,1,5,8,8,89,22,66,-,-,3.09
May 6,vs CHC,W 4-3,5.1,6,2,1,1,3,5,6,9,96,23,52,-,-,3.35
May 1,vs CHW,W 3-2,5.0,5,2,2,0,3,3,6,11,96,23,49,-,-,3.62
Apr 25,vs NYM,W 9-1,6.0,5,1,1,0,1,8,6,9,98,24,65,W(4-1),-,3.62
Apr 20,vs CIN,W 4-2,6.2,6,1,1,0,1,3,10,11,92,25,60,W(3-1),-,4.22
Apr 12,@ CIN,W 13-4,5.0,5,4,3,0,3,5,7,8,93,23,-,W(2-1),-,5.52
Apr 7,vs ARI,W 5-3,5.0,4,2,2,0,5,5,8,5,89,23,51,W(1-1),-,5.59
Mar 31,@ NYM,L 6-2,4.2,5,4,4,2,2,2,6,11,95,22,38,L(0-1),-,7.71
