DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,@ WSH,L 6-2,5.2,9,4,4,0,3,5,8,13,112,29,37,L(7-6),-,2.85
Jul 11,vs TOR,W 9-5,6.2,6,5,5,2,2,6,10,9,98,27,46,W(7-5),-,2.66
Jul 6,@ MIL,L 5-4,6.0,6,5,5,2,0,7,5,12,105,25,47,L(6-5),-,2.37
Jul 1,@ STL,W 6-5,5.0,1,0,0,0,3,9,2,4,86,18,71,W(6-4),-,2.02
Jun 25,vs CIN,W 5-4,5.0,1,1,1,1,4,4,9,3,91,20,61,-,-,2.14
Jun 12,vs NYM,W 8-2,5.0,2,0,0,0,0,6,5,6,73,18,69,-,-,2.16
Jun 6,@ SD,L 3-1,5.0,5,2,2,0,3,8,6,6,100,23,54,L(5-4),-,2.31
Jun 1,vs WSH,W 4-0,9.0,2,0,0,0,1,11,10,7,106,29,93,W(5-3),-,2.22
May 27,@ BOS,W 7-1,7.0,3,1,1,0,3,7,7,9,113,26,71,W(4-3),-,2.55
May 21,@ PHI,L 3-0,6.0,6,1,1,1,2,5,7,11,105,25,59,L(3-3),-,2.72
May 15,vs CHC,L 3-2,5.0,3,1,0,0,5,10,5,3,107,23,-,-,-,2.87
May 10,@ MIA,W 9-2,5.0,3,1,0,0,2,4,6,9,86,21,61,W(3-2),-,3.21
May 4,vs SF,L 9-4,5.0,9,6,6,0,2,4,7,14,96,27,-,L(2-2),-,3.65
Apr 28,@ PHI,W 4-1,6.0,3,1,1,1,2,6,3,11,91,22,66,W(2-1),-,2.53
Apr 23,@ CIN,L 10-4,4.2,3,2,2,1,4,7,2,8,103,21,53,-,-,2.77
Apr 17,vs PHI,L 5-1,6.0,4,1,1,0,4,8,6,5,105,23,-,-,-,2.53
Apr 10,@ WSH,L 4-1,5.0,5,3,2,0,2,3,7,11,104,23,48,L(1-1),-,2.93
Apr 4,vs WSH,W 7-1,5.1,4,1,1,0,2,8,6,5,95,22,62,W(1-0),-,2.61
Mar 30,vs PHI,L 5-4,5.0,5,3,2,2,1,7,5,8,93,22,-,-,-,3.60
