DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHW,L 14-7,5,2,2,1,0,0,1,0,0,0,0,.400,.600,1.000,.400
Mar 31,vs CHW,L 4-3,3,1,1,0,1,0,0,1,1,0,0,.444,.750,1.194,.375
Apr 2,@ DET,L 6-1,4,0,0,0,0,0,0,0,1,0,0,.308,.500,.808,.250
Apr 3,@ DET,W 1-0,4,0,1,0,0,0,0,0,0,0,0,.294,.438,.732,.250
Apr 6,@ CLE,L 3-2,3,0,0,0,0,0,1,1,2,0,0,.286,.368,.654,.211
Apr 7,@ CLE,W 1-0,4,0,0,0,0,0,0,0,1,0,0,.240,.304,.544,.174
Apr 8,@ CLE,L 3-1,4,0,2,0,0,0,0,0,1,0,0,.276,.333,.609,.222
Apr 9,vs SEA,W 10-0,5,2,3,1,0,1,3,0,0,0,0,.324,.500,.824,.281
Apr 10,vs SEA,L 8-3,4,1,2,0,0,1,3,0,0,0,0,.342,.583,.925,.306
Apr 11,vs SEA,L 4-2,4,1,2,0,0,0,0,0,0,0,0,.357,.575,.932,.325
Apr 12,vs LAA,L 7-1,4,1,2,1,0,0,0,0,0,0,0,.370,.591,.961,.341
Apr 13,vs LAA,L 5-4,4,0,1,0,0,0,0,0,2,0,0,.360,.563,.923,.333
Apr 14,vs LAA,L 5-3,4,1,1,0,0,1,1,0,1,0,0,.352,.596,.948,.327
Apr 17,@ TOR,L 11-3,4,1,2,0,0,1,1,0,0,0,0,.362,.643,1.005,.339
Apr 17,@ TOR,L 5-4,5,0,3,1,0,0,1,0,0,0,0,.381,.656,1.037,.361
Apr 18,@ TOR,L 15-5,5,0,1,1,0,0,2,0,1,0,0,.368,.636,1.004,.348
Apr 20,@ DET,L 3-2,5,1,1,0,0,1,1,0,2,0,0,.356,.648,1.004,.338
Apr 20,@ DET,W 3-2,4,0,1,0,0,0,0,1,0,0,0,.359,.627,.986,.333
Apr 21,@ DET,L 12-4,5,0,1,0,0,0,0,0,0,0,0,.349,.600,.949,.325
Apr 22,@ DET,W 8-5,5,1,1,0,0,1,3,0,0,0,0,.341,.612,.953,.318
Apr 24,vs MIL,L 5-2,3,0,0,0,0,0,0,1,0,0,0,.337,.591,.928,.307
Apr 25,vs MIL,L 6-2,4,1,1,0,0,1,1,0,1,0,0,.333,.609,.942,.304
Apr 26,vs CHW,L 6-3,5,1,2,1,0,0,0,0,0,0,0,.337,.608,.945,.309
Apr 27,vs CHW,L 7-4,6,2,2,0,0,1,1,0,1,0,0,.336,.621,.957,.311
Apr 28,vs CHW,L 8-0,4,0,0,0,0,0,0,0,0,0,0,.324,.598,.922,.299
Apr 28,vs CHW,W 5-2,4,1,1,0,0,0,0,1,0,1,0,.328,.586,.914,.297
Apr 29,vs CHW,W 5-4,5,0,2,0,0,0,0,0,1,0,0,.331,.578,.909,.302
Apr 30,@ BOS,L 10-6,0,1,0,0,0,0,0,0,0,0,0,.336,.578,.914,.302
May 1,@ BOS,W 7-6,1,0,0,0,0,0,0,0,0,0,0,.333,.573,.906,.299
May 2,@ BOS,L 5-4,4,0,1,0,0,0,0,0,1,0,0,.331,.562,.893,.298
May 3,vs DET,W 10-6,3,2,1,1,0,0,1,1,0,0,0,.333,.565,.898,.298
May 4,vs DET,W 4-2,4,0,1,0,0,0,0,0,0,0,0,.331,.555,.886,.297
May 5,vs DET,L 3-2,3,0,0,0,0,0,0,1,2,0,0,.329,.542,.871,.290
May 6,vs DET,W 4-2,3,1,1,1,0,0,3,0,0,0,0,.326,.545,.871,.291
May 8,@ BAL,W 15-7,6,2,3,0,0,2,5,0,1,0,0,.333,.586,.919,.300
May 9,@ BAL,L 5-3,4,0,0,0,0,0,0,0,2,0,0,.325,.569,.894,.292
May 10,@ BAL,L 11-6,4,1,1,0,0,0,0,1,0,0,0,.327,.561,.888,.291
May 11,@ CLE,W 10-9,5,1,3,1,0,0,1,0,1,0,0,.335,.569,.904,.301
May 12,@ CLE,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.327,.554,.881,.293
May 13,@ CLE,L 11-2,2,0,1,0,0,0,0,0,0,0,0,.329,.553,.882,.296
May 14,vs TB,L 2-1,4,0,1,0,0,0,0,0,0,0,0,.328,.546,.874,.294
May 15,vs TB,L 6-5,4,1,2,1,0,0,0,0,0,0,0,.331,.551,.882,.299
May 16,vs TB,L 5-3,3,0,0,0,0,0,1,1,2,0,0,.328,.541,.869,.294
May 18,vs NYY,W 5-2,2,1,0,0,0,0,0,2,0,0,0,.332,.535,.867,.291
May 19,vs NYY,L 8-3,4,0,2,0,0,0,1,0,1,0,0,.335,.534,.869,.295
May 20,vs NYY,L 10-1,4,0,1,0,0,0,0,0,1,0,0,.333,.528,.861,.294
May 21,@ STL,L 6-0,3,0,1,0,0,0,0,1,0,0,0,.337,.525,.862,.295
May 22,@ STL,W 5-1,4,0,0,0,0,0,0,1,1,0,0,.333,.513,.846,.289
May 23,@ STL,W 5-2,4,0,0,0,0,0,0,1,1,0,0,.330,.503,.833,.283
May 24,@ TEX,W 8-2,4,0,1,1,0,0,0,0,2,0,0,.332,.503,.835,.282
May 25,@ TEX,L 8-4,4,1,1,0,0,1,2,1,0,0,0,.333,.513,.846,.281
May 26,@ TEX,L 4-3,3,0,0,0,0,0,0,1,0,0,0,.332,.505,.837,.277
May 27,@ TEX,W 5-3,Did not play
May 28,vs MIN,L 8-5,5,0,1,1,0,0,2,0,2,0,0,.329,.502,.831,.275
May 29,vs MIN,W 2-1,6,0,2,1,0,0,0,0,1,0,0,.329,.502,.831,.277
May 30,vs MIN,W 11-8,5,1,2,1,0,1,4,0,1,0,0,.331,.518,.849,.280
Jun 1,vs OAK,L 16-0,4,0,0,0,0,0,0,0,0,0,0,.325,.509,.834,.275
Jun 2,vs OAK,W 5-4,3,0,1,0,0,0,0,1,1,0,0,.328,.507,.835,.276
Jun 3,vs OAK,L 5-1,4,0,0,0,0,0,0,0,1,0,0,.323,.498,.821,.271
Jun 4,@ LAA,L 9-6,4,1,2,1,0,0,1,1,0,0,0,.328,.502,.830,.275
Jun 5,@ LAA,L 1-0,4,0,0,0,0,0,0,0,0,0,0,.323,.494,.817,.270
Jun 6,@ LAA,L 4-3,2,2,1,0,0,0,0,2,1,0,0,.330,.494,.824,.272
Jun 7,@ OAK,L 4-1,4,0,1,1,0,0,0,0,0,0,0,.328,.494,.822,.272
Jun 8,@ OAK,L 7-2,4,1,1,0,0,1,2,0,1,0,0,.327,.502,.829,.271
Jun 9,@ OAK,W 2-0,4,0,0,0,0,0,0,0,1,0,0,.322,.494,.816,.267
Jun 10,@ OAK,L 3-2,4,0,1,0,0,0,0,0,0,0,0,.321,.490,.811,.267
Jun 12,vs CIN,L 5-1,4,0,0,0,0,0,0,0,0,0,0,.317,.483,.800,.263
Jun 13,vs CIN,L 7-0,4,0,0,0,0,0,0,0,0,0,0,.313,.475,.788,.259
Jun 15,vs HOU,L 7-3,3,0,1,1,0,0,3,1,1,0,0,.315,.477,.792,.259
Jun 16,vs HOU,L 10-2,4,0,1,0,0,0,1,0,2,1,0,.314,.474,.788,.259
Jun 17,vs HOU,L 7-4,1,1,1,0,0,0,0,1,0,0,0,.319,.476,.795,.262
Jun 18,vs TEX,L 6-3,3,0,1,0,0,0,1,0,0,0,0,.318,.474,.792,.263
Jun 19,vs TEX,L 4-1,3,0,1,0,0,0,0,1,0,0,0,.320,.473,.793,.264
Jun 20,vs TEX,L 3-2,4,1,1,0,0,1,1,0,0,0,0,.319,.480,.799,.263
Jun 22,@ HOU,W 1-0,5,0,0,0,0,0,0,0,2,0,0,.314,.472,.786,.259
Jun 23,@ HOU,L 4-3,5,0,1,0,0,0,0,0,0,0,0,.313,.467,.780,.258
Jun 24,@ HOU,L 11-3,3,0,0,0,0,0,0,1,2,1,0,.312,.463,.775,.255
Jun 25,vs LAA,W 2-0,Did not play
Jun 26,@ MIL,L 5-1,4,0,0,0,0,0,0,0,1,0,0,.308,.456,.764,.252
Jun 27,@ MIL,W 5-4,4,1,2,0,0,1,1,0,0,0,0,.310,.467,.777,.255
Jun 29,@ SEA,L 4-1,4,0,2,0,0,0,1,0,0,0,0,.313,.467,.780,.258
Jun 30,@ SEA,L 6-4,4,1,2,0,0,1,3,1,1,0,0,.317,.477,.794,.261
Jul 1,@ SEA,L 1-0,4,0,0,0,0,0,0,0,2,0,0,.313,.471,.784,.258
Jul 2,vs CLE,L 9-3,4,1,1,1,0,0,0,0,1,0,0,.312,.472,.784,.258
Jul 3,vs CLE,L 6-4,0,0,0,0,0,0,0,0,0,0,0,.312,.472,.784,.258
Jul 4,vs CLE,L 3-2,Did not play
Jul 6,vs BOS,L 10-5,4,1,1,0,0,1,2,0,1,0,0,.312,.478,.790,.258
Jul 7,vs BOS,L 15-4,4,0,1,0,0,0,1,0,1,0,0,.313,.475,.788,.258
Jul 8,vs BOS,L 7-4,5,0,0,0,0,0,0,0,2,0,0,.309,.468,.777,.254
Jul 9,@ MIN,L 3-1,3,0,0,0,0,0,0,0,2,0,0,.308,.464,.772,.251
Jul 10,@ MIN,W 9-4,5,0,1,0,0,0,0,0,1,0,0,.306,.460,.766,.251
Jul 11,@ MIN,L 8-5,5,3,3,0,0,2,2,0,0,0,0,.310,.480,.790,.256
Jul 13,@ CHW,L 9-6,4,0,0,0,0,0,0,0,0,0,0,.309,.474,.783,.253
Jul 14,@ CHW,W 5-0,4,0,0,0,0,0,0,0,1,0,0,.306,.469,.775,.250
Jul 15,@ CHW,L 10-1,2,0,0,0,0,0,0,1,0,0,0,.306,.466,.772,.249
Jul 20,vs MIN,W 6-5,2,1,0,0,0,0,0,2,0,0,0,.308,.463,.771,.247
Jul 21,vs MIN,W 4-2,4,1,1,0,0,0,0,1,1,0,0,.309,.461,.770,.247
Jul 22,vs MIN,W 5-3,3,0,0,0,0,0,0,1,0,0,0,.308,.457,.765,.245
Jul 23,vs DET,L 5-4,2,0,1,1,0,0,1,0,0,0,0,.309,.460,.769,.247
Jul 24,vs DET,W 5-4,4,1,1,0,0,1,2,0,0,0,0,.309,.466,.775,.247
