DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs BOS,W 7-6,0.2,1,1,1,1,0,1,0,2,10,3,-,-,-,4.62
Jul 22,@ TOR,L 5-4,0.2,0,0,0,0,0,1,0,1,8,2,-,-,H(14),4.50
Jul 20,@ TOR,L 8-7,1.0,3,2,2,0,0,1,2,3,24,6,-,-,-,4.56
Jul 14,vs TEX,W 1-0,1.1,1,0,0,0,0,0,3,2,13,5,-,-,H(13),4.28
Jul 13,vs TEX,L 5-4,1.0,0,0,0,0,0,2,0,1,14,3,-,-,-,4.40
Jul 10,vs NYY,W 6-5,1.0,1,0,0,0,0,1,2,0,10,3,-,-,-,4.50
Jul 9,vs NYY,W 5-4,1.0,0,0,0,0,0,2,0,1,10,3,-,-,H(12),4.60
Jul 6,@ MIN,L 6-2,1.0,0,0,0,0,0,0,1,2,14,3,-,-,-,4.70
Jun 30,vs LAA,L 6-2,0.1,1,4,4,0,3,0,0,2,18,5,-,L(0-6),BlSv(2),4.81
Jun 27,vs SEA,L 8-7,1.1,1,1,1,0,0,1,2,2,17,5,-,L(0-5),-,4.01
Jun 26,vs SEA,L 3-2,1.0,1,0,0,0,0,1,1,2,11,4,-,-,H(11),3.92
Jun 23,@ ATL,W 7-5,1.2,2,1,0,0,2,2,4,1,30,9,-,-,H(10),4.02
Jun 21,@ WSH,L 4-2,2.0,4,2,2,0,0,2,1,6,31,9,-,L(0-4),-,4.19
Jun 19,@ WSH,L 9-7,1.0,2,0,0,0,0,1,1,2,21,4,-,-,H(9),3.93
Jun 17,vs MIA,W 10-4,0.2,0,0,0,0,0,1,0,1,7,2,-,-,H(8),4.04
Jun 16,vs MIA,L 5-4,1.0,0,0,0,0,0,1,0,2,16,3,-,-,-,4.11
Jun 13,vs BOS,L 5-1,1.0,1,0,0,0,0,1,0,3,14,4,-,-,-,4.24
Jun 11,vs BOS,L 2-0,1.1,2,2,2,0,1,1,2,3,28,8,-,L(0-3),-,4.36
Jun 9,@ TOR,L 4-3,0.2,1,1,1,0,2,1,1,1,20,6,-,L(0-2),-,3.98
Jun 7,@ TOR,L 5-4,1.0,1,0,0,0,0,0,2,2,13,4,-,-,H(7),3.77
Jun 5,@ NYM,W 2-1,1.1,1,0,0,0,1,2,1,2,21,6,-,-,H(6),3.90
Jun 2,vs NYY,L 8-5,1.0,3,2,2,0,0,2,2,2,31,6,-,-,-,4.08
May 29,vs WSH,L 3-2,1.0,1,0,0,0,2,1,1,2,22,6,-,-,-,3.58
May 25,@ TB,W 2-0,0.1,1,0,0,0,1,0,0,2,16,3,-,-,H(5),3.71
May 22,@ CHW,L 3-2,1.0,3,3,3,0,1,2,0,4,33,7,-,L(0-1),H(4),3.76
May 21,@ CHW,W 3-2,2.0,0,0,0,0,0,2,2,2,28,6,-,-,H(3),2.84
May 18,@ BOS,W 7-4,1.0,0,1,0,0,1,1,1,2,27,5,-,-,H(2),3.09
May 16,vs PHI,L 4-1,0.2,1,0,0,0,0,0,1,2,7,3,-,-,-,3.22
May 12,vs TB,W 6-3,1.2,1,0,0,0,0,1,2,3,20,6,-,-,Sv(1),3.32
May 10,vs KC,W 11-6,1.0,1,0,0,0,0,0,1,3,21,4,-,-,-,3.60
May 8,vs KC,L 15-7,1.0,1,0,0,0,0,2,1,1,19,4,-,-,-,3.79
May 5,@ OAK,L 2-0,2.0,0,0,0,0,0,5,1,0,29,6,-,-,-,4.00
May 3,@ LAA,L 12-3,2.1,2,1,1,0,1,1,3,3,29,8,-,-,-,4.50
Apr 29,vs DET,W 5-3,1.0,0,0,0,0,0,1,0,2,8,3,-,-,H(1),4.61
Apr 27,vs DET,W 6-0,1.0,1,0,0,0,0,2,1,1,18,4,-,-,-,4.97
Apr 26,vs TB,L 9-5,1.0,1,0,0,0,0,2,2,0,15,4,-,-,-,5.40
Apr 21,vs CLE,L 4-0,1.0,0,0,0,0,2,2,0,0,23,4,-,-,-,5.91
Apr 17,@ DET,L 4-2,1.0,1,1,1,0,1,2,1,1,21,5,-,-,-,6.52
Apr 14,@ BOS,L 10-3,1.0,0,0,0,0,0,1,1,1,6,3,-,-,-,6.23
Apr 9,vs TOR,L 7-1,1.2,3,3,3,0,2,1,2,4,37,10,-,-,-,7.04
Apr 6,@ NYY,W 7-3,2.0,0,0,0,0,2,3,2,0,33,7,-,-,-,4.50
Apr 5,@ NYY,W 5-2,0.2,2,1,1,0,1,0,1,3,26,5,-,-,-,6.75
Apr 3,@ HOU,L 10-6,1.0,2,2,2,1,0,2,0,3,24,5,-,-,BlSv(1),5.40
Apr 1,vs MIN,L 7-0,1.0,1,0,0,0,0,2,1,1,20,4,-,-,-,0.00
Mar 29,vs MIN,W 3-2,1.1,0,0,0,0,0,1,3,0,14,4,-,-,-,0.00
