DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jun 12,vs CLE,W 5-1,0.1,1,0,0,0,1,0,1,1,14,3,-,-,-,2.55
Jun 10,@ BOS,W 5-2,0.1,0,0,0,0,1,0,0,1,7,3,-,-,H(6),2.59
Jun 8,@ BOS,W 1-0,1.0,0,0,0,0,0,1,1,1,11,3,-,-,H(5),2.63
Jun 6,@ MIN,W 5-2,1.0,0,0,0,0,0,2,0,1,13,3,-,-,H(4),2.74
Jun 5,@ MIN,L 4-2,0.2,2,4,0,1,1,1,1,3,27,6,-,L(2-2),BlSv(3),2.86
Jun 1,vs MIL,W 8-3,1.0,0,0,0,0,1,1,1,1,19,4,-,-,-,2.95
May 30,@ CLE,L 9-1,1.0,1,0,0,0,1,0,0,4,21,5,-,-,-,3.10
May 26,@ DET,W 8-4,0.1,0,0,0,0,1,0,1,0,9,2,-,-,-,3.26
May 22,vs BAL,W 3-2,1.0,1,0,0,0,1,2,0,2,22,5,-,-,Sv(4),3.32
May 19,vs TEX,W 5-3,0.2,0,0,0,0,0,1,0,1,9,2,-,-,Sv(3),3.50
May 17,vs TEX,W 4-2,1.0,1,0,0,0,0,1,1,2,15,5,-,-,Sv(2),3.63
May 16,@ PIT,L 3-2,1.0,0,0,0,0,1,1,1,1,20,4,-,-,-,3.86
May 13,@ CHC,W 5-3,1.0,0,0,0,0,0,1,1,1,9,3,-,-,H(3),4.11
May 9,vs PIT,L 6-5,1.0,4,4,4,1,0,1,3,3,17,7,-,L(2-1),BlSv(2),4.40
May 6,vs MIN,L 5-3,1.0,1,1,1,1,0,1,1,2,23,4,-,-,-,2.03
May 3,vs MIN,W 6-5,0.1,0,0,0,0,0,0,1,0,3,1,-,W(2-0),-,1.46
May 1,@ STL,L 3-2,1.0,0,0,0,0,2,0,2,0,15,4,-,-,H(2),1.50
Apr 27,@ KC,W 7-4,1.1,1,0,0,0,0,1,3,2,24,6,-,-,BlSv(1),1.64
Apr 26,@ KC,W 6-3,1.0,3,1,1,0,0,2,1,3,26,7,-,-,-,1.86
Apr 24,vs SEA,L 1-0,1.1,0,0,0,0,0,1,2,1,16,4,-,-,-,1.04
Apr 22,vs HOU,L 7-1,0.2,1,0,0,0,0,1,1,2,12,4,-,-,-,1.23
Apr 18,@ OAK,L 12-11,1.1,0,0,0,0,3,1,1,2,27,7,-,-,-,1.35
Apr 17,@ OAK,L 10-2,1.0,0,0,0,0,0,3,0,0,13,3,-,-,-,1.69
Apr 11,vs TB,W 2-1,1.0,0,0,0,0,1,2,1,0,15,4,-,-,Sv(1),2.08
Apr 5,vs DET,L 9-7,1.0,3,1,1,0,0,0,4,1,24,5,-,-,-,2.70
Apr 4,@ TOR,W 4-3,1.1,0,0,0,0,0,1,0,3,10,4,-,W(1-0),-,0.00
Mar 31,@ KC,W 4-3,1.0,1,0,0,0,0,2,0,2,17,4,-,-,H(1),0.00
