DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs PIT,L 9-4,2.0,3,2,2,1,1,2,2,4,36,9,-,-,-,4.32
Jul 22,@ TEX,L 5-0,1.0,2,2,2,1,0,1,3,1,19,5,-,-,-,3.91
Jul 20,@ TEX,W 9-8,1.0,0,1,1,0,2,1,0,2,21,5,-,-,H(11),3.27
Jul 14,vs NYY,L 5-4,1.1,0,0,0,0,1,2,1,0,22,4,-,-,-,3.00
Jul 13,vs NYY,W 6-5,0.2,0,0,0,0,0,1,0,0,11,2,-,-,H(10),3.20
Jul 12,vs NYY,L 7-4,0.2,0,0,0,0,0,1,1,0,9,2,-,-,-,3.32
Jul 7,vs OAK,L 6-3,0.1,3,3,3,2,0,1,1,2,21,4,-,-,BlSv(1),3.44
Jul 6,vs OAK,W 10-4,0.1,1,0,0,0,1,1,1,0,10,3,-,-,H(9),2.00
Jul 3,@ KC,W 6-4,1.0,0,0,0,0,0,2,0,1,24,4,-,-,H(8),2.04
Jul 1,@ OAK,W 15-3,0.2,0,0,0,0,0,0,1,0,8,1,-,-,H(7),2.16
Jun 27,@ STL,W 5-1,1.2,0,0,0,0,0,1,1,3,19,5,-,-,-,2.25
Jun 24,vs DET,W 12-2,0.1,0,0,0,0,0,1,0,0,3,1,-,-,-,2.51
Jun 23,vs DET,W 4-1,1.0,0,0,0,0,1,2,0,1,12,4,-,-,H(6),2.57
Jun 19,vs CHW,W 6-3,0.1,0,0,0,0,0,0,1,0,2,1,-,-,-,2.77
Jun 18,vs CHW,W 6-2,0.2,0,0,0,0,0,0,0,2,6,2,-,-,-,2.84
Jun 17,vs MIN,W 4-1,1.0,0,0,0,0,1,1,1,1,19,4,-,-,H(5),3.00
Jun 14,@ CHW,W 5-2,0.2,1,0,0,0,0,0,0,3,15,3,-,-,H(4),3.27
Jun 11,@ CHW,W 4-0,1.0,0,0,0,0,0,2,0,1,11,3,-,-,-,3.48
Jun 9,@ DET,L 4-2,2.0,1,0,0,0,0,0,3,4,30,7,-,-,-,3.86
Jun 6,vs MIL,W 3-1,0.1,1,0,0,0,0,1,0,1,5,2,-,-,H(3),4.91
Jun 5,vs MIL,W 3-2,1.0,0,0,0,0,0,1,1,1,9,3,-,-,H(2),5.14
Jun 3,@ MIN,L 7-5,0.1,0,0,0,0,0,1,0,0,5,1,-,-,-,6.00
Jun 1,@ MIN,L 7-4,2.0,1,0,0,0,1,2,0,5,22,8,-,-,-,6.35
May 28,vs CHW,W 9-6,1.0,1,0,0,0,1,1,1,2,25,5,-,-,-,9.82
May 24,vs HOU,L 8-2,0.1,3,2,2,1,0,0,2,2,16,4,-,-,-,13.50
May 19,@ HOU,W 5-4,0.1,2,1,1,1,0,1,0,2,12,3,-,-,H(1),7.71
May 18,@ HOU,L 4-1,0.2,2,1,1,0,0,1,4,0,13,5,-,-,-,4.50
May 15,@ DET,L 9-8,1.1,0,0,0,0,0,1,1,2,15,4,-,-,-,0.00
