DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TOR,W 6-1,4,0,1,1,0,0,0,0,0,0,0,.250,.500,.750,.250
Mar 30,@ TOR,W 4-2,3,1,1,0,0,0,0,1,0,0,0,.375,.429,.804,.286
Mar 31,@ TOR,L 5-3,3,0,0,0,0,0,0,1,0,0,0,.333,.300,.633,.200
Apr 1,@ TOR,L 7-4,4,1,1,0,0,0,1,0,1,0,0,.313,.286,.599,.214
Apr 3,vs TB,W 11-4,3,0,1,0,0,0,0,1,2,0,0,.350,.294,.644,.235
Apr 4,vs TB,W 7-2,Did not play
Apr 5,vs BAL,L 5-2,3,0,1,0,0,0,1,1,0,0,0,.375,.300,.675,.250
Apr 6,vs BAL,L 7-3,5,0,1,0,0,0,0,1,0,0,0,.367,.280,.647,.240
Apr 7,vs BAL,W 8-3,Did not play
Apr 8,vs BAL,L 8-7,6,2,1,0,0,0,1,0,0,0,0,.333,.258,.591,.226
Apr 10,@ BOS,L 14-1,3,0,1,0,0,0,0,0,0,0,0,.333,.265,.598,.235
Apr 11,@ BOS,W 10-7,5,0,1,0,0,0,0,0,1,0,0,.318,.256,.574,.231
Apr 12,@ BOS,L 6-3,4,0,0,0,0,0,0,0,1,0,0,.292,.233,.525,.209
Apr 13,@ DET,W 8-6,5,0,0,0,0,0,0,0,2,0,0,.264,.208,.472,.188
Apr 16,vs MIA,W 12-1,Did not play
Apr 17,vs MIA,L 9-1,4,0,0,0,0,0,0,0,2,0,0,.246,.192,.438,.173
Apr 19,vs TOR,W 4-3,4,1,1,1,0,0,0,0,1,0,0,.246,.214,.460,.179
Apr 20,vs TOR,L 8-5,Did not play
Apr 21,vs TOR,W 9-1,4,0,1,0,0,0,0,0,2,0,0,.246,.217,.463,.183
Apr 22,vs TOR,W 5-1,Did not play
Apr 23,vs MIN,W 14-1,Did not play
Apr 24,vs MIN,W 8-3,4,1,0,0,0,0,0,0,2,0,0,.232,.203,.435,.172
Apr 25,vs MIN,W 7-4,Did not play
Apr 26,vs MIN,W 4-3,Did not play
Apr 27,@ LAA,W 4-3,3,0,0,0,0,0,1,0,2,0,0,.219,.194,.413,.164
Apr 28,@ LAA,W 11-1,5,2,2,0,0,0,2,0,1,0,0,.231,.208,.439,.181
Apr 29,@ LAA,W 2-1,4,0,0,0,0,0,0,0,2,0,0,.220,.197,.417,.171
Apr 30,@ HOU,L 2-1,3,0,0,0,0,0,0,0,1,0,0,.212,.190,.402,.165
May 1,@ HOU,W 4-0,Did not play
May 2,@ HOU,W 4-0,1,0,0,0,0,0,0,0,0,0,0,.209,.188,.397,.163
May 3,@ HOU,W 6-5,2,2,1,0,0,0,1,1,0,0,0,.233,.195,.428,.171
May 4,vs CLE,W 7-6,3,1,2,0,0,0,0,2,0,0,0,.263,.212,.475,.188
May 5,vs CLE,W 5-2,3,1,0,0,0,0,0,1,1,0,0,.263,.205,.468,.182
May 6,vs CLE,W 7-4,2,2,1,1,0,0,1,2,0,0,0,.282,.222,.504,.189
May 8,vs BOS,W 3-2,1,1,1,1,0,0,0,0,0,0,0,.288,.242,.530,.198
May 9,vs BOS,W 9-6,4,1,1,1,0,0,0,0,1,0,0,.287,.253,.540,.200
May 10,vs BOS,L 5-4,1,1,0,0,0,0,0,1,1,0,0,.291,.250,.541,.198
May 11,vs OAK,L 10-5,4,0,1,0,0,0,0,0,1,0,0,.289,.250,.539,.200
May 12,vs OAK,W 7-6,5,0,2,0,0,0,2,1,0,0,0,.300,.257,.557,.210
May 13,vs OAK,W 6-2,Did not play
May 15,@ WSH,L 5-3,1,0,0,0,0,0,0,0,0,0,0,.298,.255,.553,.208
May 18,@ KC,L 5-2,4,0,1,0,0,0,1,0,1,0,0,.296,.255,.551,.209
May 19,@ KC,W 8-3,Did not play
May 20,@ KC,W 10-1,Did not play
May 21,@ TEX,W 10-5,5,2,2,1,0,1,2,0,1,0,0,.300,.296,.596,.217
May 22,@ TEX,L 6-4,4,0,0,0,0,0,0,0,2,0,0,.291,.286,.577,.210
May 23,@ TEX,L 12-10,5,2,2,0,0,1,1,0,0,0,0,.295,.315,.610,.218
May 25,vs LAA,W 2-1,Did not play
May 26,vs LAA,L 11-4,Did not play
May 27,vs LAA,W 3-1,3,0,0,0,0,0,0,0,1,0,0,.289,.307,.596,.213
May 28,vs HOU,L 5-1,3,0,1,0,0,0,0,0,0,0,0,.290,.308,.598,.215
May 29,vs HOU,W 6-5,Did not play
May 30,vs HOU,W 5-3,Did not play
Jun 1,@ BAL,W 4-1,4,1,1,0,0,0,0,0,0,0,0,.289,.306,.595,.216
Jun 2,@ BAL,W 8-5,Did not play
Jun 4,@ DET,W 7-4,Did not play
Jun 4,@ DET,L 4-2,4,0,0,0,0,0,0,0,2,0,0,.281,.297,.578,.210
Jun 5,@ TOR,W 7-2,Did not play
Jun 6,@ TOR,W 3-0,Did not play
Jun 8,@ NYM,W 4-1,Did not play
Jun 9,@ NYM,W 4-3,Did not play
Jun 10,@ NYM,L 2-0,Did not play
Jun 12,vs WSH,W 3-0,3,0,1,0,0,0,0,0,0,0,0,.282,.298,.580,.213
Jun 13,vs WSH,L 5-4,Did not play
Jun 14,vs TB,W 4-3,3,0,0,0,0,0,0,0,2,0,0,.277,.292,.569,.208
Jun 15,vs TB,W 5-0,Did not play
Jun 16,vs TB,W 4-1,Did not play
Jun 17,vs TB,L 3-1,3,0,0,0,0,0,0,1,2,0,0,.276,.286,.562,.204
Jun 18,@ WSH,W 4-2,0,0,0,0,0,0,0,1,0,0,0,.280,.286,.566,.204
Jun 19,vs SEA,W 7-2,Did not play
Jun 20,vs SEA,W 7-5,Did not play
Jun 21,vs SEA,W 4-3,3,0,0,0,0,0,0,1,1,0,0,.280,.280,.560,.200
Jun 22,@ TB,L 2-1,Did not play
Jun 23,@ TB,L 4-0,3,0,0,0,0,0,0,0,0,0,0,.275,.275,.550,.196
Jun 24,@ TB,L 7-6,3,0,0,0,0,0,0,0,2,0,0,.270,.269,.539,.192
Jun 25,@ PHI,W 4-2,2,0,0,0,0,0,0,0,2,0,0,.267,.266,.533,.190
Jun 26,@ PHI,W 6-0,1,0,0,0,0,0,0,0,0,0,0,.266,.264,.530,.189
Jun 27,@ PHI,L 3-0,3,0,0,0,0,0,0,0,1,0,0,.261,.259,.520,.185
Jun 29,vs BOS,W 8-1,Did not play
Jun 30,vs BOS,L 11-0,Did not play
Jul 1,vs BOS,W 11-1,2,0,1,0,0,0,1,0,0,0,0,.264,.262,.526,.189
Jul 2,vs ATL,L 5-3,1,0,0,0,0,0,0,0,1,0,0,.262,.261,.523,.188
Jul 3,vs ATL,W 8-5,3,0,0,0,0,0,0,1,1,0,0,.262,.256,.518,.185
